PLAYER_NAME,PLAYER_NORM,TEAM,season_avg,games,category,team_slate,team_def_key,rank_on_team,leader_side,PLAYER_NAME_split,n_games,n_elite,n_weak,avg_delta_all,avg_delta_vs_elite,avg_delta_vs_weak,avg_delta_vs_mid,def_rank_corr,weak_over_rate,elite_over_rate,def_boost,overperform_vs_weak,fades_vs_elite,player,team,opp_team,prop_norm,line,bet_direction,final_bet_direction,rank_score,edge,tier,slate_opp_def_rank,slate_opp_def_tier,line_hit_rate_over_ou_5,stat_last5_avg,player_norm,on_slate,slate_edge_signal
Keaton Wallace,keaton wallace,ATL,0.1875,16,stl,ATL,ATL,1,bottom,Keaton Wallace,13,3,5,-0.28241181895028045,-0.06785714285714285,-0.3312121212121212,-0.3623443223443223,-0.3230721396503033,0.0,0.3333333333333333,-0.26335497835497834,False,False,,,,,,,,,,,,,,,,False,False
Corey Kispert,corey kispert,ATL,0.2222222222222222,27,stl,ATL,ATL,2,bottom,Corey Kispert,25,6,9,-0.21079089062176962,-0.1789021164021164,-0.32863414363414356,-0.12386522744242492,-0.1524541102143376,0.1111111111111111,0.3333333333333333,-0.14973202723202717,False,False,,,,,,,,,,,,,,,,False,False
Christian Koloko,christian koloko,ATL,0.3,10,stl,ATL,ATL,3,bottom,Christian Koloko,10,3,5,-0.24637390387390384,-0.25661375661375657,-0.3597319347319347,0.05238095238095236,-0.011524432965646545,0.2,0.3333333333333333,-0.10311817811817814,False,False,,,,,,,,,,,,,,,,False,False
Dyson Daniels,dyson daniels,ATL,1.896551724137931,29,stl,ATL,ATL,1,top,Dyson Daniels,26,5,10,0.20776834657602075,0.3205329311211663,0.2860250277098103,0.08536927984296407,-0.017864993713123715,0.6,0.6,-0.03450790341135601,False,False,,,,,,,,,,,,,,,,False,False
Nickeil Alexander-Walker,nickeil alexander-walker,ATL,1.6129032258064515,31,stl,ATL,ATL,2,top,Nickeil Alexander-Walker,28,6,9,0.061957642432048494,-0.25246188996188995,0.14913101604278073,0.14672355257566697,0.14703757023809247,0.5555555555555556,0.3333333333333333,0.4015929060046707,False,False,,,,,,,,,,,,,,,,False,False
Onyeka Okongwu,onyeka okongwu,ATL,1.4074074074074074,27,stl,ATL,ATL,3,top,Onyeka Okongwu,24,5,6,-0.485900016855773,-0.6324175824175824,-0.9107944772805454,-0.23344197144364362,-0.07729434176647731,0.0,0.4,-0.278376894862963,False,True,,,,,,,,,,,,,,,,False,False
Keaton Wallace,keaton wallace,ATL,0.25,16,stocks,ATL,ATL,1,bottom,Keaton Wallace,13,3,5,-0.2850961004807158,0.17619047619047623,-0.4416161616161617,-0.40534798534798533,-0.4242692069235255,0.0,0.3333333333333333,-0.6178066378066379,False,False,,,,,,,,,,,,,,,,False,False
Corey Kispert,corey kispert,ATL,0.37037037037037035,27,stocks,ATL,ATL,2,bottom,Corey Kispert,25,6,9,-0.1300892030550127,-0.04497354497354498,-0.29724688891355555,-0.03071668063120478,-0.19628503624986388,0.2222222222222222,0.3333333333333333,-0.25227334394001055,False,False,,,,,,,,,,,,,,,,False,False
Gabe Vincent,gabe vincent,ATL,0.6,10,stocks,ATL,ATL,3,bottom,Gabe Vincent,10,0,3,0.018273998178426787,,-0.2863933452168746,0.14884571677641306,-0.48993532669157824,0.3333333333333333,,,False,False,,,,,,,,,,,,,,,,False,False
Onyeka Okongwu,onyeka okongwu,ATL,2.6296296296296298,27,stocks,ATL,ATL,1,top,Onyeka Okongwu,24,5,6,-0.1765827667512787,-0.4930769230769231,0.17754232208566578,-0.21829659378154356,0.14296193294020862,0.6666666666666666,0.4,0.6706192451625889,True,True,,,,,,,,,,,,,,,,False,False
