sport,dimension,direction,n,hits,mean_ml,hit_rate,prop,minutes_tier,def_tier,h2h_bucket,role,pick_type,tier,bucket
nba,def_tier,,15395,9119.0,0.71791902746175,0.5923351737577135,,,Weak,,,,,best
nba,def_tier,,17926,10328.0,0.6878027824827436,0.576146379560415,,,Avg,,,,,best
nba,def_tier,,15377,8662.0,0.7229290816021355,0.563308837874748,,,Above Avg,,,,,best
nba,direction,OVER,69192,38173.0,0.7310211009464556,0.5516967279454272,,,,,,,,best
nba,direction,UNDER,21113,11351.0,0.4769998286682071,0.5376308435561029,,,,,,,,best
nba,minutes_tier,,656,470.0,0.8351344512195122,0.7164634146341463,,1,,,,,,best
nba,minutes_tier,,393,248.0,0.8569765903307889,0.6310432569974554,,2,,,,,,best
nba,minutes_tier,,416,255.0,0.8842814903846155,0.6129807692307693,,3,,,,,,best
nba,pick_type,,36569,23856.0,0.7786723076724446,0.6523558205037053,,,,,,Goblin,,best
nba,pick_type,,18903,9455.0,0.5954460299948052,0.5001851557953764,,,,,,Standard,,best
nba,pick_type,,25868,12934.0,,0.5,,,,,,,,best
nba,prop,,2673,1580.0,0.693355215210139,0.5910961466517022,3-PT Made,,,,,,,best
nba,prop,,9829,5767.0,0.7403029223841872,0.5867331366364839,Points,,,,,,,best
nba,prop,,5039,2907.0,0.7735438476591293,0.5769001786068665,Fantasy Score,,,,,,,best
nba,tier,,8181,5524.0,0.8403503535795384,0.6752230778633419,,,,,,,A,best
nba,tier,,4993,3206.0,0.8048749849818903,0.6420989385139195,,,,,,,B,best
nba,tier,,7914,5033.0,0.7760232897178273,0.6359615870609048,,,,,,,C,best
nba1h,direction,OVER,574,391.0,0.8914498139711208,0.681184668989547,,,,,,,,best
nba1h,minutes_tier,,207,161.0,0.9038266490429898,0.7777777777777778,,MEDIUM,,,,,,best
nba1h,minutes_tier,,205,95.0,0.8060107317073171,0.4634146341463415,,UNKNOWN,,,,,,best
nba1h,pick_type,,657,428.0,0.8451681784161694,0.6514459665144596,,,,,,Standard,,best
nba1h,prop,,268,178.0,0.8556537844347932,0.664179104477612,Pts+Rebs+Asts,,,,,,,best
nba1h,prop,,307,174.0,0.8177534778708604,0.5667752442996743,Points,,,,,,,best
nba1h,tier,,397,251.0,0.8247160180314592,0.6322418136020151,,,,,,,D,best
nba1q,def_tier,,893,670.0,0.881601772976696,0.7502799552071668,,,Above Avg,,,,,best
nba1q,def_tier,,842,622.0,0.8670646896732838,0.7387173396674585,,,Weak,,,,,best
nba1q,def_tier,,852,614.0,0.8746984224615818,0.7206572769953051,,,Avg,,,,,best
nba1q,direction,OVER,3142,2333.0,0.8819709402502046,0.7425206874602164,,,,,,,,best
nba1q,minutes_tier,,323,270.0,0.8603092879256966,0.8359133126934984,,0,,,,,,best
nba1q,minutes_tier,,803,638.0,0.8971385482414312,0.7945205479452054,,MEDIUM,,,,,,best
nba1q,minutes_tier,,655,473.0,0.89776019453974,0.7221374045801526,,HIGH,,,,,,best
nba1q,pick_type,,1344,1165.0,0.9019814646285612,0.8668154761904762,,,,,,Goblin,,best
nba1q,pick_type,,435,299.0,0.82055390687207,0.6873563218390805,,,,,,Standard,,best
nba1q,pick_type,,1449,894.0,0.8636052148488659,0.6169772256728778,,,,,,Demon,,best
nba1q,prop,,638,501.0,0.8732618707015162,0.7852664576802508,Assists,,,,,,,best
nba1q,prop,,1804,1300.0,0.8735936149911186,0.720620842572062,Points,,,,,,,best
nba1q,prop,,786,557.0,0.8746361823340942,0.7086513994910941,Rebounds,,,,,,,best
nba1q,tier,,802,734.0,0.9115722499942618,0.9152119700748128,,,,,,,A,best
nba1q,tier,,408,346.0,0.904934882481546,0.8480392156862745,,,,,,,B,best
