projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,stat_norm,player_role,opponent,is_home,nhl_player_id,combo_prop,combo_player_ids,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,pp_toi_per_game,pp_toi_pct,pp_toi_total_sec,pp_goals_season,pp_points_season,pp_unit_tier,line_combo,line_combo_toi_pct,line_combo_cf_pct,line_combo_xgf_pct,line_sit,on_pp1_line,nst_data_source,hit_rate_over_L5,over_L5,under_L5,sample_L5,hit_rate_over_L10,over_L10,under_L10,l10_over,l10_under,sample_L10,hit_rate_over_L20,over_L20,under_L20,sample_L20,hit_rate_over_season,sample_season,composite_hit_rate,recommended_side,edge,l10_over_pct,l10_games_played,line_hits_over_10,line_hits_under_10,l10_streak,player_avg_shots_L5,player_avg_shots_L10,open_line,line_movement,line_direction_shift,implied_team_total,game_total
10876176,218572,Connor Bedard,CHI,F,Shots On Goal,5.5,demon,False,NYR,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,shots_on_goal,SKATER,NYR,0,8484144,False,,3.203,0.0,0.0,2.841,0.0,0.0,69.0,22.0,AVERAGE,6.0,3.0,7.0,2.0,3.0,0.0,6.0,3.0,4.0,4.0,,,,,,,,,,,,NO_DATA,3.492,0.722,14456.0,7.0,21.0,PP1,,,,,,True,nhl_api_pp,0.4,2,3,5,0.3,3,7,3,7,10,0.2,4,16,20,0.1667,30,0.3117,OVER,-0.1883,0.3,10.0,3.0,7.0,COLD,4.2,3.8,5.5,0.0,stable,,
10876201,218655,Mika Zibanejad,NYR,F,Shots On Goal,5.5,demon,False,CHI,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,shots_on_goal,SKATER,CHI,1,8476459,False,,3.217,0.0,0.0,2.623,0.0,0.0,69.0,23.0,AVERAGE,1.0,2.0,2.0,1.0,0.0,2.0,3.0,3.0,10.0,3.0,,,,,,,,,,,,NO_DATA,3.28,0.762,15941.0,16.0,35.0,PP1,,,,,,True,nhl_api_pp,0.0,0,5,5,0.1,1,9,1,9,10,0.05,1,19,20,0.0667,30,0.0492,OVER,-0.4508,0.1,10.0,1.0,9.0,COLD,1.2,2.7,5.5,0.0,stable,,
10876157,59488,Alexis Lafreniere,NYR,F,Shots On Goal,4.5,demon,False,CHI,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,shots_on_goal,SKATER,CHI,1,8482109,False,,3.217,0.0,0.0,2.623,0.0,0.0,69.0,23.0,AVERAGE,1.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,7.0,0.0,,,,,,,,,,,,NO_DATA,2.421,0.557,11909.0,9.0,15.0,PP2,,,,,,False,nhl_api_pp,0.0,0,5,5,0.1,1,9,1,9,10,0.15,3,17,20,0.1,30,0.0675,OVER,-0.4325,0.1,10.0,1.0,9.0,COLD,2.2,2.3,4.5,0.0,stable,,
10876166,309659,Anton Frondell,CHI,F,Shots On Goal,4.5,demon,False,NYR,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,shots_on_goal,SKATER,NYR,0,8485391,False,,3.203,0.0,0.0,2.841,0.0,0.0,69.0,22.0,AVERAGE,6.0,5.0,4.0,1.0,1.0,3.0,3.0,1.0,4.0,2.0,,,,,,,,,,,,NO_DATA,3.543,0.708,2551.0,0.0,2.0,PP1,,,,,,True,nhl_api_pp,0.4,2,3,5,0.2,2,8,2,8,10,0.2,2,8,10,0.2,10,0.28,OVER,-0.22,0.2,10.0,2.0,8.0,COLD,3.4,3.0,4.5,0.0,stable,,
10876175,218572,Connor Bedard,CHI,F,Shots On Goal,4.5,demon,False,NYR,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,shots_on_goal,SKATER,NYR,0,8484144,False,,3.203,0.0,0.0,2.841,0.0,0.0,69.0,22.0,AVERAGE,6.0,3.0,7.0,2.0,3.0,0.0,6.0,3.0,4.0,4.0,,,,,,,,,,,,NO_DATA,3.492,0.722,14456.0,7.0,21.0,PP1,,,,,,True,nhl_api_pp,0.4,2,3,5,0.3,3,7,3,7,10,0.25,5,15,20,0.2333,30,0.3258,OVER,-0.1742,0.3,10.0,3.0,7.0,COLD,4.2,3.8,4.5,0.0,stable,,
10876191,234283,J.T. Miller,NYR,F,Shots On Goal,4.5,demon,False,CHI,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,shots_on_goal,SKATER,CHI,1,8476468,False,,3.217,0.0,0.0,2.623,0.0,0.0,69.0,23.0,AVERAGE,2.0,1.0,3.0,2.0,3.0,1.0,1.0,0.0,5.0,4.0,,,,,,,,,,,,NO_DATA,3.129,0.712,12768.0,6.0,19.0,PP1,,,,,,True,nhl_api_pp,0.0,0,5,5,0.1,1,9,1,9,10,0.1,2,18,20,0.1,30,0.06,OVER,-0.44,0.1,10.0,1.0,9.0,COLD,2.2,2.2,4.5,0.0,stable,,
10876200,218655,Mika Zibanejad,NYR,F,Shots On Goal,4.5,demon,False,CHI,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,shots_on_goal,SKATER,CHI,1,8476459,False,,3.217,0.0,0.0,2.623,0.0,0.0,69.0,23.0,AVERAGE,1.0,2.0,2.0,1.0,0.0,2.0,3.0,3.0,10.0,3.0,,,,,,,,,,,,NO_DATA,3.28,0.762,15941.0,16.0,35.0,PP1,,,,,,True,nhl_api_pp,0.0,0,5,5,0.1,1,9,1,9,10,0.05,1,19,20,0.1667,30,0.0592,OVER,-0.4408,0.1,10.0,1.0,9.0,COLD,1.2,2.7,4.5,0.0,stable,,
10876216,218652,Vincent Trocheck,NYR,F,Shots On Goal,4.5,demon,False,CHI,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,shots_on_goal,SKATER,CHI,1,8476389,False,,3.217,0.0,0.0,2.623,0.0,0.0,69.0,23.0,AVERAGE,4.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,NO_DATA,3.073,0.717,12354.0,2.0,16.0,PP1,,,,,,True,nhl_api_pp,0.0,0,5,5,0.0,0,10,0,10,10,0.0,0,20,20,0.0667,30,0.0067,OVER,-0.4933,0.0,10.0,0.0,10.0,COLD,1.8,1.4,4.5,0.0,stable,,
10876148,218657,Adam Fox,NYR,D,Shots On Goal,3.5,demon,False,CHI,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,shots_on_goal,SKATER,CHI,1,8479323,False,,3.217,0.0,0.0,2.623,0.0,0.0,69.0,23.0,AVERAGE,3.0,1.0,1.0,3.0,1.0,0.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,NO_DATA,3.308,0.793,10915.0,5.0,24.0,PP1,,,,,,True,nhl_api_pp,0.0,0,5,5,0.0,0,10,0,10,10,0.0,0,20,20,0.0,30,0.0,OVER,-0.5,0.0,10.0,0.0,10.0,COLD,1.8,1.5,3.5,0.0,stable,,
10876156,59488,Alexis Lafreniere,NYR,F,Shots On Goal,3.5,demon,False,CHI,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,shots_on_goal,SKATER,CHI,1,8482109,False,,3.217,0.0,0.0,2.623,0.0,0.0,69.0,23.0,AVERAGE,1.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,7.0,0.0,,,,,,,,,,,,NO_DATA,2.421,0.557,11909.0,9.0,15.0,PP2,,,,,,False,nhl_api_pp,0.2,1,4,5,0.2,2,8,2,8,10,0.25,5,15,20,0.2,30,0.2075,OVER,-0.2925,0.2,10.0,2.0,8.0,COLD,2.2,2.3,3.5,0.0,stable,,
