espn_player_id,player_name,team_abbr,position,jersey,status
4698598,Toriano Pride Jr.,BUF,CB,32,Active
4362506,Greg Rousseau,BUF,LB,15,Active
4684527,T.J. Sanders,BUF,DT,98,Active
4428548,Javon Solomon,BUF,LB,56,Active
4240575,Geno Stone,BUF,S,25,Active
4568703,Dorian Strong,BUF,CB,43,Active
4831989,Deone Walker,BUF,DT,96,Active
4682749,Kani Walker,BUF,CB,,Active
4568624,Dorian Williams,BUF,LB,42,Active
3917232,Tyler Bass,BUF,PK,16,Active
4682758,Tommy Doman Jr.,BUF,P,39,Active
2976549,Reid Ferguson,BUF,LS,69,Active
4696109,Mark Langston,BUF,LS,,Active
4035685,Mitch Wishnowsky,BUF,P,19,Active
5091739,Chris Brazzell II,CAR,WR,19,Active
4678008,Jonathon Brooks,CAR,RB,25,Active
4369950,Ja'Tyre Carter,CAR,G,65,Active
4242230,Saahdiq Charles,CAR,G,78,Active
3929637,Dan Chisena,CAR,WR,88,Active
4695883,Jalen Coker,CAR,WR,18,Active
4613105,Miles Davis,CAR,RB,2,Active
4239934,AJ Dillon,CAR,RB,28,Active
4427132,Ikem Ekwonu,CAR,OT,79,Active
4685350,Trevor Etienne,CAR,RB,23,Active
4683243,Mitchell Evans,CAR,TE,84,Active
4034962,Stone Forsythe,CAR,OT,73,Active
4035048,Luke Fortner,CAR,C,77,Active
4034948,Feleipe Franks,CAR,TE,81,Active
4870694,Monroe Freeling,CAR,OT,57,Active
4686358,Isaia Glass,CAR,OT,74,Active
4570485,Joshua Gray,CAR,G,67,Active
3115252,Will Grier,CAR,QB,14,Active
4683263,Heinrich Haarberg,CAR,TE,,Active
4874515,Sam Hecht,CAR,C,75,Active
4708486,Jimmy Horn Jr.,CAR,WR,15,Active
4241416,Chuba Hubbard,CAR,RB,30,Active
3917592,Robert Hunt,CAR,G,50,Active
4428993,Haynes King,CAR,QB,16,Active
4430034,Xavier Legette,CAR,WR,17,Active
4362647,Damien Lewis,CAR,G,68,Active
4685472,Tetairoa McMillan,CAR,WR,4,Active
4567096,John Metchie III,CAR,WR,13,Active
4361988,James Mitchell,CAR,TE,85,Active
4212909,David Moore,CAR,WR,83,Active
2973051,Taylor Moton,CAR,OT,72,Active
4240703,Kenny Pickett,CAR,QB,12,Active
4869965,Kobe Prentice,CAR,WR,39,Active
4876995,Ja'seem Reed,CAR,WR,86,Active
4683506,Albert Reese IV,CAR,OT,76,Active
4428421,Nick Samac,CAR,C,60,Active
4431588,Ja'Tavion Sanders,CAR,TE,0,Active
4428532,Ainias Smith,CAR,WR,80,Active
4360763,Brycen Tremayne,CAR,WR,87,Active
4372780,Tommy Tremble,CAR,TE,82,Active
4709392,Anthony Tyus III,CAR,RB,34,Active
4361429,Rasheed Walker,CAR,OT,63,Active
4685720,Bryce Young,CAR,QB,9,Active
