projection_id,player_id,player_name,team,position,stat_type,line_score,standard_line,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,delta_pct,stat_norm,player_role,opponent,is_home,nhl_player_id,combo_prop,combo_player_ids
12076746,218218,Rasmus Dahlin,BUF,D,Shots On Goal,4.5,2.5,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.8,shots_on_goal,SKATER,MTL,1,8480839,False,
12076750,218270,Tage Thompson,BUF,F,Shots On Goal,4.5,,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,MTL,1,8479420,False,
12076668,171835,Alex Newhook,MTL,F,Shots On Goal,3.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,BUF,0,8481618,False,
12076669,218653,Alex Tuch,BUF,F,Shots On Goal,3.5,2.5,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.4,shots_on_goal,SKATER,MTL,1,8477949,False,
12076687,218266,Cole Caufield,MTL,F,Shots On Goal,3.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,BUF,0,8481540,False,
12076692,235084,Ivan Demidov,MTL,F,Shots On Goal,3.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,BUF,0,8484984,False,
12076693,92751,Jack Quinn,BUF,F,Shots On Goal,3.5,,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,MTL,1,8482097,False,
12076704,220168,Jason Zucker,BUF,F,Shots On Goal,3.5,1.5,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,2.333333,shots_on_goal,SKATER,MTL,1,8475722,False,
12076712,268183,Josh Doan,BUF,F,Shots On Goal,3.5,,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,MTL,1,8482659,False,
12076721,218237,Juraj Slafkovský,MTL,F,Shots On Goal,3.5,2.5,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.4,shots_on_goal,SKATER,BUF,0,8483515,False,
12076726,218267,Lane Hutson,MTL,D,Shots On Goal,3.5,1.5,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,2.333333,shots_on_goal,SKATER,BUF,0,8483457,False,
12076737,218322,Nick Suzuki,MTL,F,Shots On Goal,3.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,BUF,0,8480018,False,
12076741,267670,Noah Dobson,MTL,D,Shots On Goal,3.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,BUF,0,8480865,False,
12076745,218218,Rasmus Dahlin,BUF,D,Shots On Goal,3.5,2.5,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.4,shots_on_goal,SKATER,MTL,1,8480839,False,
12076754,180709,Zach Benson,BUF,F,Shots On Goal,3.5,,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,MTL,1,8484145,False,
12095146,267913,Alexandre Carrier,MTL,D,Blocked Shots,3.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,blocked_shots,SKATER,BUF,0,8478851,False,
12095147,92038,Mattias Samuelsson,BUF,D,Blocked Shots,3.5,,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,blocked_shots,SKATER,MTL,1,8480807,False,
12065331,218653,Alex Tuch,BUF,F,Shots On Goal,2.5,2.5,standard,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,shots_on_goal,SKATER,MTL,1,8477949,False,
12065332,267913,Alexandre Carrier,MTL,D,Blocked Shots,2.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,blocked_shots,SKATER,BUF,0,8478851,False,
12065344,218266,Cole Caufield,MTL,F,Shots On Goal,2.5,,goblin,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,BUF,0,8481540,False,
12065360,268183,Josh Doan,BUF,F,Shots On Goal,2.5,,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,MTL,1,8482659,False,
12065374,218353,Mike Matheson,MTL,D,Blocked Shots,2.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,blocked_shots,SKATER,BUF,0,8476875,False,
12065378,218322,Nick Suzuki,MTL,F,Shots On Goal,2.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,BUF,0,8480018,False,
12067208,218322,Nick Suzuki,MTL,F,Points,2.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,points,SKATER,BUF,0,8480018,False,
12067211,218270,Tage Thompson,BUF,F,Points,2.5,,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,points,SKATER,MTL,1,8479420,False,
12068375,218237,Juraj Slafkovský,MTL,F,Shots On Goal,2.5,2.5,standard,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,shots_on_goal,SKATER,BUF,0,8483515,False,
12068491,267670,Noah Dobson,MTL,D,Blocked Shots,2.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,blocked_shots,SKATER,BUF,0,8480865,False,
12076667,171835,Alex Newhook,MTL,F,Shots On Goal,2.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,BUF,0,8481618,False,
12076676,282765,Alexandre Texier,MTL,F,Shots On Goal,2.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,BUF,0,8480074,False,
12076686,192709,Bowen Byram,BUF,D,Shots On Goal,2.5,1.5,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.666667,shots_on_goal,SKATER,MTL,1,8481524,False,
12076690,272442,Conor Timmins,BUF,D,Blocked Shots,2.5,,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,blocked_shots,SKATER,MTL,1,8479982,False,
12076691,235084,Ivan Demidov,MTL,F,Shots On Goal,2.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,BUF,0,8484984,False,
12076703,220168,Jason Zucker,BUF,F,Shots On Goal,2.5,1.5,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.666667,shots_on_goal,SKATER,MTL,1,8475722,False,
12076710,59156,Josh Anderson,MTL,F,Shots On Goal,2.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,BUF,0,8476981,False,
12076719,230933,Josh Norris,BUF,F,Shots On Goal,2.5,,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,MTL,1,8480064,False,
12076724,218267,Lane Hutson,MTL,D,Blocked Shots,2.5,1.5,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.666667,blocked_shots,SKATER,BUF,0,8483457,False,
12076725,218267,Lane Hutson,MTL,D,Shots On Goal,2.5,1.5,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.666667,shots_on_goal,SKATER,BUF,0,8483457,False,
