projection_id,player_id,player_name,team,position,stat_type,line_score,standard_line,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,delta_pct
12076741,267670,Noah Dobson,MTL,D,Shots On Goal,3.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076745,218218,Rasmus Dahlin,BUF,D,Shots On Goal,3.5,2.5,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.4
12076754,180709,Zach Benson,BUF,F,Shots On Goal,3.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12095146,267913,Alexandre Carrier,MTL,D,Blocked Shots,3.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12095147,92038,Mattias Samuelsson,BUF,D,Blocked Shots,3.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12065331,218653,Alex Tuch,BUF,F,Shots On Goal,2.5,2.5,standard,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12065332,267913,Alexandre Carrier,MTL,D,Blocked Shots,2.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12065344,218266,Cole Caufield,MTL,F,Shots On Goal,2.5,,goblin,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12065360,268183,Josh Doan,BUF,F,Shots On Goal,2.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12065374,218353,Mike Matheson,MTL,D,Blocked Shots,2.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12065378,218322,Nick Suzuki,MTL,F,Shots On Goal,2.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12067208,218322,Nick Suzuki,MTL,F,Points,2.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12067211,218270,Tage Thompson,BUF,F,Points,2.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12068375,218237,Juraj Slafkovský,MTL,F,Shots On Goal,2.5,2.5,standard,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12068491,267670,Noah Dobson,MTL,D,Blocked Shots,2.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076667,171835,Alex Newhook,MTL,F,Shots On Goal,2.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076676,282765,Alexandre Texier,MTL,F,Shots On Goal,2.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076686,192709,Bowen Byram,BUF,D,Shots On Goal,2.5,1.5,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.666667
12076690,272442,Conor Timmins,BUF,D,Blocked Shots,2.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076691,235084,Ivan Demidov,MTL,F,Shots On Goal,2.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076703,220168,Jason Zucker,BUF,F,Shots On Goal,2.5,1.5,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.666667
12076710,59156,Josh Anderson,MTL,F,Shots On Goal,2.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076719,230933,Josh Norris,BUF,F,Shots On Goal,2.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076724,218267,Lane Hutson,MTL,D,Blocked Shots,2.5,1.5,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.666667
12076725,218267,Lane Hutson,MTL,D,Shots On Goal,2.5,1.5,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.666667
12076727,92038,Mattias Samuelsson,BUF,D,Blocked Shots,2.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
