player_norm,mlb_player_id
ronald acuna jr.,660670
daylen lile,695734
garrett mitchell,669003
paul skenes,694973
brice matthews,694728
sal frelick,686217
james wood,695578
ildemaro vargas,545121
bailey ober,641927
jung lee,808982
marcell ozuna,542303
mark vientos,668901
henry davis,680779
luis torrens,620443
troy johnston,687859
leody taveras,665750
jacob young,696285
colby thomas,687515
brett sullivan,664954
logan webb,657277
miles mikolas,571945
luis garcia jr.,671277
trevor larnach,663616
rafael marchan,665561
drew gilbert,687551
jorbit vivas,678391
vlad guerrero jr.,665489
brett harris,695391
spencer horwitz,687462
jake mangum,663968
jeffrey springs,605488
michael lorenzen,547179
tyler freeman,671289
tyler black,672012
noah cameron,702070
kyle farmer,571657
andrew painter,691725
gary sanchez,596142
michael soroka,647336
james mccann,543510
elly cruz,682829
jake rogers,668670
mj melendez,669004
ronny mauricio,677595
nick loftin,679845
brice turang,668930
drew millas,686452
jeremiah jackson,669236
jace jung,690291
elias diaz,553869
zack gelof,680869
francisco alvarez,682626
brandon lockridge,663604
jj bleday,668709
jose fernandez,699912
lourdes gurriel jr.,666971
marcus semien,543760
brandon lowe,664040
oneil cruz,665833
cj abrams,682928
kody clemens,665019
nathaniel lowe,663993
tyler heineman,623168
brady house,691781
hunter dobbins,690928
chris bassitt,605135
carlos cortes,666126
david hamilton,666152
michael massey,686681
greg jones,675659
bryan reynolds,668804
christian vazquez,543877
bryce elder,693821
edmundo sosa,624641
luis rengifo,650859
dustin harris,687957
nasim nunez,683083
william contreras,661388
keibert ruiz,660688
matt vierling,663837
hao-yu lee,701678
nick yorke,694377
juan soto,665742
ryan o'hearn,656811
carson benge,701807
luis robert jr.,673357
jake bauers,641343
nick gonzales,693304
darell hernaiz,687231
daniel johnson,669288
will benson,666181
jose tena,677588
wenceel perez,672761
peter lambert,663567
brett baty,683146
yohendrick pinango,682818
framber valdez,664285
freddy peralta,642547
joey ortiz,687401
jorge mateo,622761
bo bichette,666182
eric haase,606992
dylan beavers,687637
austin wynns,642851
garrett stubbs,596117
konnor griffin,804606
jerar encarnacion,666464
brandon woodruff,605540
