date,sport,player,prop,std_dir,gob_dir,same_direction,pair_kind,std_line,gob_line,delta_pct,distance_bucket,gob_factor,std_hit,gob_hit,std_tier,gob_tier,std_ml_prob,gob_ml_prob,prior_std_n,prior_std_hr,high_std_consistent,std_ev_realized,gob_ev_realized,ev_uplift_realized
2026-06-24,MLB,A.J. Ewing,Hitter Fantasy Score,OVER,OVER,True,same_over,5.0,2.5,0.5,<0.65,0.5,0,0,A,B,0.7436,0.8313,1,0.0,False,-1.0,-1.0,0.0
2026-06-26,MLB,A.J. Ewing,Hitter Fantasy Score,OVER,OVER,True,same_over,4.5,2.5,0.5556,<0.65,0.5556,1,1,A,B,0.7293,0.8199,3,0.0,False,1.0,0.5556,-0.4444
2026-06-27,MLB,A.J. Ewing,Hitter Fantasy Score,OVER,OVER,True,same_over,5.5,2.5,0.4545,<0.65,0.4545,1,1,A,B,0.7237,0.8199,4,0.25,False,1.0,0.4545,-0.5455
2026-06-28,MLB,A.J. Ewing,Hitter Fantasy Score,OVER,OVER,True,same_over,4.5,1.5,0.3333,<0.65,0.35,1,1,A,B,0.7293,0.8242,5,0.4,False,1.0,0.35,-0.65
2026-06-29,MLB,A.J. Ewing,Hitter Fantasy Score,OVER,OVER,True,same_over,5.0,3.5,0.7,0.65–0.75,0.7,0,0,A,C,0.7383,0.8245,6,0.5,False,-1.0,-1.0,0.0
2026-07-01,MLB,A.J. Ewing,Hitter Fantasy Score,OVER,OVER,True,same_over,5.5,2.5,0.4545,<0.65,0.4545,0,0,A,B,0.736,0.8293,7,0.4286,False,-1.0,-1.0,0.0
2026-07-03,MLB,A.J. Ewing,Hitter Fantasy Score,OVER,OVER,True,same_over,5.0,2.5,0.5,<0.65,0.5,0,0,A,B,0.7376,0.8266,8,0.375,False,-1.0,-1.0,0.0
2026-07-04,MLB,A.J. Ewing,Hitter Fantasy Score,OVER,OVER,True,same_over,4.0,2.5,0.625,<0.65,0.625,0,0,A,C,0.7271,0.8194,9,0.3333,False,-1.0,-1.0,0.0
2026-07-05,MLB,A.J. Ewing,Hitter Fantasy Score,OVER,OVER,True,same_over,4.5,2.5,0.5556,<0.65,0.5556,1,1,A,B,0.749,0.8351,10,0.3,False,1.0,0.5556,-0.4444
2026-06-28,MLB,Aaron Civale,Earned Runs Allowed,OVER,OVER,True,same_over,2.5,1.5,0.6,<0.65,0.6,1,1,B,C,0.53,0.53,0,,False,1.0,0.6,-0.4
2026-06-17,MLB,Aaron Civale,Pitcher Fantasy Score,OVER,OVER,True,same_over,18.5,11.5,0.6216,<0.65,0.6216,0,0,A,A,1.0,1.0,0,,False,-1.0,-1.0,0.0
2026-06-23,MLB,Aaron Civale,Pitcher Fantasy Score,OVER,OVER,True,same_over,20.5,14.5,0.7073,0.65–0.75,0.7073,1,1,A,A,0.7163,0.8237,1,0.0,False,1.0,0.7073,-0.2927
2026-06-28,MLB,Aaron Civale,Pitcher Fantasy Score,OVER,OVER,True,same_over,20.5,13.5,0.6585,0.65–0.75,0.6585,0,0,A,A,0.7088,0.8186,2,0.5,False,-1.0,-1.0,0.0
2026-07-04,MLB,Aaron Civale,Pitcher Fantasy Score,OVER,OVER,True,same_over,17.5,10.5,0.6,<0.65,0.6,1,1,A,A,0.7082,0.8214,4,0.25,False,1.0,0.6,-0.4
2026-06-17,MLB,Aaron Civale,Pitcher Strikeouts,UNDER,OVER,False,std_under_gob_over,3.5,2.5,0.7143,0.65–0.75,0.7143,1,0,B,C,0.4593,0.63,0,,False,1.0,-1.0,-2.0
2026-06-23,MLB,Aaron Civale,Pitcher Strikeouts,UNDER,OVER,False,std_under_gob_over,3.5,2.5,0.7143,0.65–0.75,0.7143,0,1,C,C,0.527,0.63,1,1.0,False,-1.0,0.7143,1.7143
2026-06-28,MLB,Aaron Civale,Pitcher Strikeouts,UNDER,OVER,False,std_under_gob_over,4.0,2.5,0.625,<0.65,0.625,1,0,C,C,0.527,0.63,2,0.5,False,1.0,-1.0,-2.0
2026-07-04,MLB,Aaron Civale,Pitcher Strikeouts,UNDER,OVER,False,std_under_gob_over,3.5,2.5,0.7143,0.65–0.75,0.7143,0,1,C,C,0.527,0.63,3,0.6667,False,-1.0,0.7143,1.7143
2026-06-28,MLB,Aaron Civale,Pitches Thrown,UNDER,OVER,False,std_under_gob_over,85.5,79.5,0.9298,0.85–0.95,0.9298,0,1,C,A,0.527,0.8315,0,,False,-1.0,0.9298,1.9298
2026-05-31,MLB,Aaron Judge,Hits+Runs+RBIs,UNDER,OVER,False,std_under_gob_over,2.5,1.5,0.6,<0.65,0.6,0,1,B,C,0.4748,1.0,0,,False,-1.0,0.6,1.6
2026-05-31,MLB,Aaron Judge,Total Bases,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,0,1,C,C,0.5062,1.0,0,,False,-1.0,0.35,1.35
2026-06-29,MLB,Aaron Nola,Earned Runs Allowed,OVER,OVER,True,same_over,2.5,1.5,0.6,<0.65,0.6,1,1,B,C,0.53,0.53,0,,False,1.0,0.6,-0.4
2026-07-05,MLB,Aaron Nola,Earned Runs Allowed,OVER,OVER,True,same_over,2.5,1.5,0.6,<0.65,0.6,1,1,B,C,0.53,0.53,1,1.0,False,1.0,0.6,-0.4
2026-06-02,MLB,Aaron Nola,Hits Allowed,OVER,OVER,True,same_over,5.5,4.5,0.8182,0.75–0.85,0.8182,0,0,B,C,0.5364,0.7915,0,,False,-1.0,-1.0,0.0
2026-06-24,MLB,Aaron Nola,Hits Allowed,UNDER,OVER,False,std_under_gob_over,5.5,3.5,0.6364,<0.65,0.6364,1,0,C,B,0.527,0.53,1,0.0,False,1.0,-1.0,-2.0
2026-06-29,MLB,Aaron Nola,Hits Allowed,UNDER,OVER,False,std_under_gob_over,5.5,3.5,0.6364,<0.65,0.6364,0,1,C,B,0.527,0.53,2,0.5,False,-1.0,0.6364,1.6364
2026-07-05,MLB,Aaron Nola,Hits Allowed,UNDER,OVER,False,std_under_gob_over,5.5,3.5,0.6364,<0.65,0.6364,0,1,C,B,0.527,0.53,3,0.3333,False,-1.0,0.6364,1.6364
2026-06-02,MLB,Aaron Nola,Pitcher Fantasy Score,UNDER,OVER,False,std_under_gob_over,29.5,21.5,0.7288,0.65–0.75,0.7288,0,1,A,A,0.4044,0.6703,0,,False,-1.0,0.7288,1.7288
2026-06-07,MLB,Aaron Nola,Pitcher Fantasy Score,UNDER,OVER,False,std_under_gob_over,31.5,23.5,0.746,0.65–0.75,0.746,1,0,A,A,0.376,0.6703,1,0.0,False,1.0,-1.0,-2.0
2026-06-13,MLB,Aaron Nola,Pitcher Fantasy Score,OVER,OVER,True,same_over,26.5,18.5,0.6981,0.65–0.75,0.6981,0,0,A,A,1.0,1.0,2,0.5,False,-1.0,-1.0,0.0
2026-06-18,MLB,Aaron Nola,Pitcher Fantasy Score,OVER,OVER,True,same_over,26.5,18.5,0.6981,0.65–0.75,0.6981,1,1,A,A,1.0,1.0,3,0.3333,False,1.0,0.6981,-0.3019
2026-06-24,MLB,Aaron Nola,Pitcher Fantasy Score,OVER,OVER,True,same_over,27.5,19.5,0.7091,0.65–0.75,0.7091,0,1,A,A,0.6276,0.8473,4,0.5,False,-1.0,0.7091,1.7091
2026-06-29,MLB,Aaron Nola,Pitcher Fantasy Score,OVER,OVER,True,same_over,26.5,19.5,0.7358,0.65–0.75,0.7358,0,0,A,A,0.6446,0.8478,5,0.4,False,-1.0,-1.0,0.0
2026-07-05,MLB,Aaron Nola,Pitcher Fantasy Score,OVER,OVER,True,same_over,27.5,19.5,0.7091,0.65–0.75,0.7091,1,1,A,A,0.6176,0.8473,6,0.3333,False,1.0,0.7091,-0.2909
2026-06-02,MLB,Aaron Nola,Pitcher Strikeouts,UNDER,OVER,False,std_under_gob_over,5.0,3.5,0.7,0.65–0.75,0.7,0,1,B,C,0.475,0.7915,0,,False,-1.0,0.7,1.7
2026-06-07,MLB,Aaron Nola,Pitcher Strikeouts,UNDER,OVER,False,std_under_gob_over,5.5,3.5,0.6364,<0.65,0.6364,1,1,B,B,0.4617,0.7915,1,0.0,False,1.0,0.6364,-0.3636
2026-06-13,MLB,Aaron Nola,Pitcher Strikeouts,UNDER,OVER,False,std_under_gob_over,5.0,3.5,0.7,0.65–0.75,0.7,1,0,D,C,0.7273,0.63,2,0.5,False,1.0,-1.0,-2.0
2026-06-18,MLB,Aaron Nola,Pitcher Strikeouts,UNDER,OVER,False,std_under_gob_over,5.0,3.5,0.7,0.65–0.75,0.7,0,1,D,C,0.7273,0.63,3,0.6667,False,-1.0,0.7,1.7
2026-06-24,MLB,Aaron Nola,Pitcher Strikeouts,OVER,OVER,True,same_over,4.5,3.5,0.7778,0.75–0.85,0.7778,1,1,A,C,0.6597,0.63,4,0.5,False,1.0,0.7778,-0.2222
2026-06-29,MLB,Aaron Nola,Pitcher Strikeouts,UNDER,OVER,False,std_under_gob_over,5.5,3.5,0.6364,<0.65,0.6364,1,1,C,B,0.527,0.63,5,0.6,False,1.0,0.6364,-0.3636
2026-07-05,MLB,Aaron Nola,Pitcher Strikeouts,UNDER,OVER,False,std_under_gob_over,5.0,3.5,0.7,0.65–0.75,0.7,0,1,C,C,0.527,0.63,6,0.6667,False,-1.0,0.7,1.7
2026-06-02,MLB,Aaron Nola,Pitches Thrown,UNDER,OVER,False,std_under_gob_over,87.5,82.5,0.9429,0.85–0.95,0.9429,0,1,A,A,0.3905,0.6703,0,,False,-1.0,0.9429,1.9429
2026-06-07,MLB,Aaron Nola,Pitches Thrown,UNDER,OVER,False,std_under_gob_over,91.5,85.5,0.9344,0.85–0.95,0.9344,0,1,A,A,0.3917,0.6703,2,0.0,False,-1.0,0.9344,1.9344
2026-06-13,MLB,Aaron Nola,Pitches Thrown,UNDER,OVER,False,std_under_gob_over,95.5,89.5,0.9372,0.85–0.95,0.9372,1,0,C,A,0.5277,0.565,3,0.0,False,1.0,-1.0,-2.0
2026-06-18,MLB,Aaron Nola,Pitches Thrown,UNDER,OVER,False,std_under_gob_over,93.5,87.5,0.9358,0.85–0.95,0.9358,0,1,C,A,0.5025,0.565,4,0.25,False,-1.0,0.9358,1.9358
2026-06-24,MLB,Aaron Nola,Pitches Thrown,UNDER,OVER,False,std_under_gob_over,95.5,90.5,0.9476,0.85–0.95,0.9476,1,0,C,A,0.527,0.565,5,0.2,False,1.0,-1.0,-2.0
2026-06-29,MLB,Aaron Nola,Pitches Thrown,UNDER,OVER,False,std_under_gob_over,94.5,89.5,0.9471,0.85–0.95,0.9471,1,0,C,A,0.527,0.565,6,0.3333,False,1.0,-1.0,-2.0
2026-07-05,MLB,Aaron Nola,Pitches Thrown,UNDER,OVER,False,std_under_gob_over,90.5,85.5,0.9448,0.85–0.95,0.9448,0,1,C,A,0.527,0.565,7,0.4286,False,-1.0,0.9448,1.9448
2026-06-24,MLB,Aaron Nola,Pitching Outs,UNDER,OVER,False,std_under_gob_over,17.0,14.5,0.8529,0.85–0.95,0.8529,1,1,C,B,0.527,0.844,0,,False,1.0,0.8529,-0.1471
2026-06-29,MLB,Aaron Nola,Pitching Outs,UNDER,OVER,False,std_under_gob_over,16.5,14.5,0.8788,0.85–0.95,0.8788,1,0,C,B,0.527,0.8452,1,1.0,False,1.0,-1.0,-2.0
2026-07-05,MLB,Aaron Nola,Pitching Outs,UNDER,OVER,False,std_under_gob_over,16.0,14.5,0.9062,0.85–0.95,0.9062,0,1,C,B,0.527,0.8442,2,1.0,False,-1.0,0.9062,1.9062
2026-06-02,MLB,Aaron Nola,Walks Allowed,UNDER,OVER,False,std_under_gob_over,1.5,0.5,0.3333,<0.65,0.35,1,0,B,C,0.4405,1.0,0,,False,1.0,-1.0,-2.0
2026-06-24,MLB,Aaron Nola,Walks Allowed,UNDER,OVER,False,std_under_gob_over,1.5,0.5,0.3333,<0.65,0.35,0,1,C,C,0.527,0.52,1,1.0,False,-1.0,0.35,1.35
2026-06-29,MLB,Aaron Nola,Walks Allowed,UNDER,OVER,False,std_under_gob_over,1.5,0.5,0.3333,<0.65,0.35,0,1,C,C,0.527,0.52,2,0.5,False,-1.0,0.35,1.35
2026-07-05,MLB,Aaron Nola,Walks Allowed,UNDER,OVER,False,std_under_gob_over,1.5,0.5,0.3333,<0.65,0.35,1,0,C,C,0.527,0.52,3,0.3333,False,1.0,-1.0,-2.0
2026-05-31,MLB,Adley Rutschman,Hits+Runs+RBIs,UNDER,OVER,False,std_under_gob_over,1.5,0.5,0.3333,<0.65,0.35,0,1,B,C,0.4737,1.0,0,,False,-1.0,0.35,1.35
2026-06-02,MLB,Adley Rutschman,Hits+Runs+RBIs,UNDER,OVER,False,std_under_gob_over,1.5,0.5,0.3333,<0.65,0.35,0,1,B,C,0.4737,1.0,1,0.0,False,-1.0,0.35,1.35
2026-06-03,MLB,Adley Rutschman,Hits+Runs+RBIs,UNDER,OVER,False,std_under_gob_over,1.5,0.5,0.3333,<0.65,0.35,0,1,B,C,0.4737,1.0,2,0.0,False,-1.0,0.35,1.35
2026-06-06,MLB,Adley Rutschman,Hits+Runs+RBIs,UNDER,OVER,False,std_under_gob_over,1.5,0.5,0.3333,<0.65,0.35,1,0,B,C,0.4737,1.0,3,0.0,False,1.0,-1.0,-2.0
2026-06-07,MLB,Adley Rutschman,Hits+Runs+RBIs,UNDER,OVER,False,std_under_gob_over,1.5,0.5,0.3333,<0.65,0.35,1,1,B,C,0.4737,1.0,4,0.25,False,1.0,0.35,-0.65
2026-06-27,MLB,Adley Rutschman,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,1,1,B,C,0.555,0.555,5,0.4,False,1.0,0.35,-0.65
2026-06-29,MLB,Adley Rutschman,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,1,1,B,C,0.555,0.555,6,0.5,False,1.0,0.35,-0.65
2026-07-04,MLB,Adley Rutschman,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,1,1,B,C,0.555,0.555,7,0.5714,False,1.0,0.35,-0.65
2026-07-07,MLB,Adley Rutschman,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,1,1,B,C,0.555,0.555,8,0.625,True,1.0,0.35,-0.65
2026-06-30,MLB,Adley Rutschman,Hitter Fantasy Score,OVER,OVER,True,same_over,5.5,3.5,0.6364,<0.65,0.6364,0,1,B,B,0.53,0.53,0,,False,-1.0,0.6364,1.6364
2026-07-03,MLB,Adley Rutschman,Hitter Fantasy Score,OVER,OVER,True,same_over,5.5,3.5,0.6364,<0.65,0.6364,1,1,B,B,0.53,0.53,1,0.0,False,1.0,0.6364,-0.3636
2026-07-04,MLB,Adley Rutschman,Hitter Fantasy Score,OVER,OVER,True,same_over,5.0,2.5,0.5,<0.65,0.5,1,1,B,B,0.53,0.53,2,0.5,False,1.0,0.5,-0.5
2026-07-05,MLB,Adley Rutschman,Hitter Fantasy Score,OVER,OVER,True,same_over,5.5,3.5,0.6364,<0.65,0.6364,0,0,B,B,0.53,0.53,3,0.6667,False,-1.0,-1.0,0.0
2026-06-28,MLB,Adley Rutschman,Total Bases,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,0,1,B,C,0.56,0.56,0,,False,-1.0,0.35,1.35
2026-06-28,MLB,Adrian Del Castillo,Hits,UNDER,OVER,False,std_under_gob_over,0.5,0.5,1.0,near_std_(≥0.95),1.0,0,1,C,D,0.527,0.57,0,,False,-1.0,1.0,2.0
2026-06-28,MLB,Adrian Del Castillo,Hits+Runs+RBIs,UNDER,OVER,False,std_under_gob_over,0.5,0.5,1.0,near_std_(≥0.95),1.0,0,1,D,D,0.5657,0.555,0,,False,-1.0,1.0,2.0
2026-07-01,MLB,Adrian Del Castillo,Hits+Runs+RBIs,UNDER,OVER,False,std_under_gob_over,1.5,0.5,0.3333,<0.65,0.35,1,0,C,C,0.527,0.555,1,0.0,False,1.0,-1.0,-2.0
2026-05-31,MLB,Adrian Del Castillo,Total Bases,UNDER,OVER,False,std_under_gob_over,0.5,0.5,1.0,near_std_(≥0.95),1.0,1,0,B,D,0.4894,0.7915,0,,False,1.0,-1.0,-2.0
2026-06-28,MLB,Adrian Del Castillo,Total Bases,UNDER,OVER,False,std_under_gob_over,0.5,0.5,1.0,near_std_(≥0.95),1.0,0,1,C,D,0.527,0.56,1,1.0,False,-1.0,1.0,2.0
2026-06-04,MLB,Adrian Houser,Hits Allowed,UNDER,OVER,False,std_under_gob_over,5.5,4.5,0.8182,0.75–0.85,0.8182,1,1,D,C,0.57,0.53,0,,False,1.0,0.8182,-0.1818
2026-06-16,MLB,Adrian Houser,Hits Allowed,UNDER,OVER,False,std_under_gob_over,5.5,3.5,0.6364,<0.65,0.6364,1,0,C,B,0.5277,0.53,1,1.0,False,1.0,-1.0,-2.0
2026-06-04,MLB,Adrian Houser,Pitcher Fantasy Score,OVER,OVER,True,same_over,19.5,12.5,0.641,<0.65,0.641,1,1,B,A,0.53,0.53,0,,False,1.0,0.641,-0.359
2026-06-09,MLB,Adrian Houser,Pitcher Fantasy Score,OVER,OVER,True,same_over,21.5,14.5,0.6744,0.65–0.75,0.6744,1,1,A,A,0.7646,0.9082,1,1.0,False,1.0,0.6744,-0.3256
2026-06-04,MLB,Adrian Houser,Pitcher Strikeouts,UNDER,OVER,False,std_under_gob_over,3.5,2.5,0.7143,0.65–0.75,0.7143,0,1,A,C,0.37,0.63,0,,False,-1.0,0.7143,1.7143
2026-06-09,MLB,Adrian Houser,Pitcher Strikeouts,UNDER,OVER,False,std_under_gob_over,3.5,2.5,0.7143,0.65–0.75,0.7143,0,1,A,C,0.0,0.708,1,0.0,False,-1.0,0.7143,1.7143
2026-06-16,MLB,Adrian Houser,Pitcher Strikeouts,UNDER,OVER,False,std_under_gob_over,3.5,2.5,0.7143,0.65–0.75,0.7143,1,0,C,C,0.5025,0.63,2,0.0,False,1.0,-1.0,-2.0
2026-06-04,MLB,Adrian Houser,Pitches Thrown,UNDER,OVER,False,std_under_gob_over,90.5,85.5,0.9448,0.85–0.95,0.9448,1,0,A,A,0.435,0.565,0,,False,1.0,-1.0,-2.0
2026-06-09,MLB,Adrian Houser,Pitches Thrown,UNDER,OVER,False,std_under_gob_over,87.5,81.5,0.9314,0.85–0.95,0.9314,1,0,A,A,0.0,0.7582,1,1.0,False,1.0,-1.0,-2.0
2026-06-16,MLB,Adrian Houser,Walks Allowed,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,0,1,B,C,0.52,0.52,0,,False,-1.0,0.35,1.35
2026-07-02,MLB,Alan Rangel,Earned Runs Allowed,UNDER,OVER,False,std_under_gob_over,2.5,1.5,0.6,<0.65,0.6,1,0,C,C,0.527,0.53,0,,False,1.0,-1.0,-2.0
2026-06-27,MLB,Alan Rangel,Hits Allowed,UNDER,OVER,False,std_under_gob_over,4.5,3.5,0.7778,0.75–0.85,0.7778,1,1,C,C,0.527,0.53,0,,False,1.0,0.7778,-0.2222
2026-07-02,MLB,Alan Rangel,Pitcher Fantasy Score,UNDER,OVER,False,std_under_gob_over,21.5,14.5,0.6744,0.65–0.75,0.6744,0,1,C,A,0.527,0.824,0,,False,-1.0,0.6744,1.6744
2026-07-02,MLB,Alan Rangel,Pitching Outs,UNDER,OVER,False,std_under_gob_over,14.5,11.5,0.7931,0.75–0.85,0.7931,1,1,C,B,0.527,0.62,0,,False,1.0,0.7931,-0.2069
2026-06-27,MLB,Alan Rangel,Walks Allowed,UNDER,OVER,False,std_under_gob_over,1.5,0.5,0.3333,<0.65,0.35,0,1,C,C,0.527,0.52,0,,False,-1.0,0.35,1.35
2026-07-02,MLB,Alan Rangel,Walks Allowed,UNDER,OVER,False,std_under_gob_over,1.5,0.5,0.3333,<0.65,0.35,0,1,C,C,0.527,0.52,1,0.0,False,-1.0,0.35,1.35
2026-06-02,MLB,Alec Bohm,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,0,0,C,C,0.4832,1.0,0,,False,-1.0,-1.0,0.0
2026-06-04,MLB,Alec Bohm,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,1,1,B,C,0.555,0.555,1,0.0,False,1.0,0.35,-0.65
2026-06-05,MLB,Alec Bohm,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,1,1,C,C,0.4832,1.0,2,0.5,False,1.0,0.35,-0.65
2026-06-10,MLB,Alec Bohm,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,1,1,D,C,0.1602,0.8392,3,0.6667,False,1.0,0.35,-0.65
2026-06-13,MLB,Alec Bohm,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,0,1,B,C,0.555,0.555,4,0.75,False,-1.0,0.35,1.35
2026-06-15,MLB,Alec Bohm,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,0,1,B,C,0.555,0.555,5,0.6,False,-1.0,0.35,1.35
2026-06-16,MLB,Alec Bohm,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,1,1,B,C,0.555,0.555,6,0.5,False,1.0,0.35,-0.65
2026-06-17,MLB,Alec Bohm,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,1,1,B,C,0.555,0.555,7,0.5714,False,1.0,0.35,-0.65
2026-06-20,MLB,Alec Bohm,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,1,1,B,C,0.555,0.555,8,0.625,True,1.0,0.35,-0.65
2026-06-27,MLB,Alec Bohm,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,1,1,B,C,0.555,0.555,9,0.6667,True,1.0,0.35,-0.65
2026-06-29,MLB,Alec Bohm,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,0,0,B,C,0.555,0.555,10,0.7,True,-1.0,-1.0,0.0
2026-06-30,MLB,Alec Bohm,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,1,1,B,C,0.555,0.555,11,0.6364,True,1.0,0.35,-0.65
2026-07-08,MLB,Alec Bohm,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,0,1,B,C,0.555,0.555,12,0.6667,True,-1.0,0.35,1.35
2026-07-12,MLB,Alec Bohm,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,1,1,B,C,0.555,0.555,13,0.6154,True,1.0,0.35,-0.65
2026-06-23,MLB,Alec Bohm,Hitter Fantasy Score,OVER,OVER,True,same_over,5.5,2.5,0.4545,<0.65,0.4545,0,1,B,B,0.53,0.53,0,,False,-1.0,0.4545,1.4545
2026-06-24,MLB,Alec Bohm,Hitter Fantasy Score,OVER,OVER,True,same_over,5.5,2.5,0.4545,<0.65,0.4545,0,0,B,B,0.53,0.53,1,0.0,False,-1.0,-1.0,0.0
2026-06-25,MLB,Alec Bohm,Hitter Fantasy Score,OVER,OVER,True,same_over,5.5,2.5,0.4545,<0.65,0.4545,0,0,B,B,0.53,0.53,2,0.0,False,-1.0,-1.0,0.0
2026-06-26,MLB,Alec Bohm,Hitter Fantasy Score,OVER,OVER,True,same_over,5.5,2.5,0.4545,<0.65,0.4545,0,0,B,B,0.53,0.53,3,0.0,False,-1.0,-1.0,0.0
2026-06-27,MLB,Alec Bohm,Hitter Fantasy Score,OVER,OVER,True,same_over,5.5,2.5,0.4545,<0.65,0.4545,1,1,B,B,0.53,0.53,4,0.0,False,1.0,0.4545,-0.5455
2026-06-28,MLB,Alec Bohm,Hitter Fantasy Score,OVER,OVER,True,same_over,5.0,2.5,0.5,<0.65,0.5,1,1,B,B,0.53,0.53,5,0.2,False,1.0,0.5,-0.5
2026-07-01,MLB,Alec Bohm,Hitter Fantasy Score,OVER,OVER,True,same_over,4.5,2.5,0.5556,<0.65,0.5556,1,1,B,B,0.53,0.53,6,0.3333,False,1.0,0.5556,-0.4444
2026-07-04,MLB,Alec Bohm,Hitter Fantasy Score,OVER,OVER,True,same_over,5.5,2.5,0.4545,<0.65,0.4545,1,1,B,B,0.53,0.53,7,0.4286,False,1.0,0.4545,-0.5455
2026-07-05,MLB,Alec Bohm,Hitter Fantasy Score,OVER,OVER,True,same_over,5.5,2.5,0.4545,<0.65,0.4545,0,0,B,B,0.53,0.53,8,0.5,False,-1.0,-1.0,0.0
2026-06-18,MLB,Alec Bohm,Singles,OVER,OVER,True,same_over,0.5,0.5,1.0,near_std_(≥0.95),1.0,1,1,B,D,0.56,0.56,0,,False,1.0,1.0,0.0
2026-06-22,MLB,Alec Bohm,Total Bases,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,0,0,B,C,0.56,0.56,0,,False,-1.0,-1.0,0.0
2026-07-06,MLB,Alec Bohm,Total Bases,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,1,1,B,C,0.56,0.56,1,0.0,False,1.0,0.35,-0.65
