team,opp_pts,opp_reb,opp_ast,opp_stl,opp_blk,opp_tov,opp_fg3m,opp_pra,opp_pr,opp_pa,opp_ra,opp_bs,games,team_id,pts_rank,pts_tier,reb_rank,reb_tier,ast_rank,ast_tier,stl_rank,stl_tier,blk_rank,blk_tier,tov_rank,tov_tier,fg3m_rank,fg3m_tier,pra_rank,pra_tier,pr_rank,pr_tier,pa_rank,pa_tier,ra_rank,ra_tier,bs_rank,bs_tier,n_teams,overall_rank,stat_source
2885,62.0,35.5,11.5,9.0,5.5,12.5,2.5,109.0,97.5,73.5,47.0,14.5,2,2885,66.0,HARD_MID,161.0,EASY_MID,73.0,HARD_MID,137.0,EASY_MID,208.0,EASY,76.0,HARD_MID,9.0,HARD,88.0,HARD_MID,99.0,MID,57.0,HARD_MID,131.0,MID,187.0,EASY,228,66.0,box
290,82.0,36.0,23.0,9.0,4.0,18.0,4.0,141.0,118.0,105.0,59.0,13.0,1,290,218.0,EASY,170.0,EASY_MID,227.0,EASY,137.0,EASY_MID,138.0,EASY_MID,189.0,EASY,34.0,HARD,222.0,EASY,211.0,EASY,224.0,EASY,215.0,EASY,149.0,EASY_MID,228,218.0,box
2916,81.0,26.0,13.0,11.0,1.0,8.0,4.0,120.0,107.0,94.0,39.0,12.0,1,2916,214.0,EASY,18.0,HARD,105.0,MID,193.0,EASY,7.0,HARD,4.0,HARD,34.0,HARD,165.0,EASY_MID,171.0,EASY_MID,209.0,EASY,26.0,HARD,120.0,MID,228,214.0,box
292,68.5,33.75,16.0,8.25,1.75,10.0,5.5,118.25,102.25,84.5,49.75,10.0,4,292,136.0,MID,130.0,MID,182.0,EASY_MID,123.0,MID,30.0,HARD,20.0,HARD,97.0,MID,157.0,EASY_MID,147.0,EASY_MID,149.0,EASY_MID,172.0,EASY_MID,66.0,HARD_MID,228,136.0,box
294,89.5,38.0,19.5,11.5,5.0,13.0,7.0,147.0,127.5,109.0,57.5,16.5,2,294,226.0,EASY,188.0,EASY,217.0,EASY,203.0,EASY,188.0,EASY,85.0,HARD_MID,154.0,EASY_MID,226.0,EASY,226.0,EASY,225.0,EASY,211.0,EASY,208.0,EASY,228,226.0,box
30,84.0,35.5,18.0,14.5,1.0,16.0,6.0,137.5,119.5,102.0,53.5,15.5,2,30,222.0,EASY,161.0,EASY_MID,205.0,EASY,223.0,EASY,7.0,HARD,154.0,EASY_MID,105.0,MID,217.0,EASY,215.0,EASY,221.0,EASY,190.0,EASY,204.0,EASY,228,222.0,box
300,64.0,34.0,14.0,3.0,3.5,11.0,8.5,112.0,98.0,78.0,48.0,6.5,2,300,87.0,HARD_MID,131.0,MID,137.0,EASY_MID,3.0,HARD,115.0,MID,36.0,HARD,196.0,EASY,115.0,MID,100.0,MID,100.0,MID,145.0,EASY_MID,5.0,HARD,228,87.0,box
302,71.33333333333333,33.666666666666664,15.0,8.0,3.0,11.333333333333334,6.666666666666667,120.0,105.0,86.33333333333333,48.666666666666664,11.0,3,302,163.0,EASY_MID,126.0,MID,160.0,EASY_MID,104.0,MID,80.0,HARD_MID,43.0,HARD,149.0,EASY_MID,165.0,EASY_MID,162.0,EASY_MID,167.0,EASY_MID,155.0,EASY_MID,87.0,HARD_MID,228,163.0,box
304,62.0,26.0,15.0,3.0,1.0,15.0,9.0,103.0,88.0,77.0,41.0,4.0,1,304,66.0,HARD_MID,18.0,HARD,160.0,EASY_MID,3.0,HARD,7.0,HARD,136.0,MID,203.0,EASY,43.0,HARD,24.0,HARD,91.0,HARD_MID,42.0,HARD,1.0,HARD,228,66.0,box
3084,70.0,30.0,15.0,7.5,4.5,18.5,7.5,115.0,100.0,85.0,45.0,12.0,2,3084,151.0,EASY_MID,67.0,HARD_MID,160.0,EASY_MID,92.0,MID,174.0,EASY_MID,200.0,EASY,169.0,EASY_MID,135.0,MID,120.0,MID,152.0,EASY_MID,104.0,MID,120.0,MID,228,151.0,box
3101,77.0,34.0,15.0,7.0,10.0,13.0,3.0,126.0,111.0,92.0,49.0,17.0,1,3101,205.0,EASY,131.0,MID,160.0,EASY_MID,58.0,HARD_MID,228.0,EASY,85.0,HARD_MID,14.0,HARD,190.0,EASY,185.0,EASY,196.0,EASY,156.0,EASY_MID,215.0,EASY,228,205.0,box
311,58.5,29.5,13.0,3.0,3.5,11.0,5.0,101.0,88.0,71.5,42.5,6.5,2,311,30.0,HARD,58.0,HARD_MID,105.0,MID,3.0,HARD,115.0,MID,36.0,HARD,76.0,HARD_MID,32.0,HARD,24.0,HARD,44.0,HARD,66.0,HARD_MID,5.0,HARD,228,30.0,box
322,65.0,46.0,16.0,7.0,3.0,6.0,2.0,127.0,111.0,81.0,62.0,10.0,1,322,93.0,MID,222.0,EASY,182.0,EASY_MID,58.0,HARD_MID,80.0,HARD_MID,2.0,HARD,3.0,HARD,196.0,EASY,185.0,EASY,123.0,MID,221.0,EASY,66.0,HARD_MID,228,93.0,box
325,63.75,28.5,15.75,7.75,3.75,13.5,7.75,108.0,92.25,79.5,44.25,11.5,4,325,86.0,HARD_MID,45.0,HARD,181.0,EASY_MID,101.0,MID,134.0,MID,106.0,MID,177.0,EASY_MID,80.0,HARD_MID,53.0,HARD_MID,114.0,MID,99.0,MID,107.0,MID,228,86.0,box
331,66.0,35.5,12.5,7.0,3.5,12.5,6.5,114.0,101.5,78.5,48.0,10.5,2,331,105.0,MID,161.0,EASY_MID,96.0,MID,58.0,HARD_MID,115.0,MID,76.0,HARD_MID,136.0,MID,127.0,MID,137.0,EASY_MID,108.0,MID,145.0,EASY_MID,79.0,HARD_MID,228,105.0,box
333,62.0,32.5,14.0,7.0,3.5,12.5,6.5,108.5,94.5,76.0,46.5,10.5,2,333,66.0,HARD_MID,105.0,MID,137.0,EASY_MID,58.0,HARD_MID,115.0,MID,76.0,HARD_MID,136.0,MID,84.0,HARD_MID,74.0,HARD_MID,80.0,HARD_MID,128.0,MID,79.0,HARD_MID,228,66.0,box
338,66.0,32.0,15.0,8.0,5.0,13.0,6.0,113.0,98.0,81.0,47.0,13.0,1,338,105.0,MID,95.0,MID,160.0,EASY_MID,104.0,MID,188.0,EASY,85.0,HARD_MID,105.0,MID,120.0,MID,100.0,MID,123.0,MID,131.0,MID,149.0,EASY_MID,228,105.0,box
339,73.75,33.0,11.5,5.75,3.75,12.0,6.75,118.25,106.75,85.25,44.5,9.5,4,339,178.0,EASY_MID,112.0,MID,73.0,HARD_MID,32.0,HARD,134.0,MID,54.0,HARD_MID,152.0,EASY_MID,157.0,EASY_MID,170.0,EASY_MID,156.0,EASY_MID,100.0,MID,54.0,HARD_MID,228,178.0,box
349,63.0,26.0,11.6,7.6,4.8,13.2,6.2,100.6,89.0,74.6,37.6,12.4,5,349,80.0,HARD_MID,18.0,HARD,77.0,HARD_MID,95.0,MID,187.0,EASY,100.0,MID,131.0,MID,30.0,HARD,28.0,HARD,68.0,HARD_MID,18.0,HARD,137.0,EASY_MID,228,80.0,box
350,61.0,37.5,12.5,11.0,4.0,12.0,3.0,111.0,98.5,73.5,50.0,15.0,2,350,51.0,HARD_MID,183.0,EASY,96.0,MID,193.0,EASY,138.0,EASY_MID,54.0,HARD_MID,14.0,HARD,107.0,MID,106.0,MID,57.0,HARD_MID,173.0,EASY_MID,194.0,EASY,228,51.0,box
356,66.0,37.5,11.5,6.5,7.5,16.5,6.0,115.0,103.5,77.5,49.0,14.0,2,356,105.0,MID,183.0,EASY,73.0,HARD_MID,46.0,HARD_MID,222.0,EASY,164.0,EASY_MID,105.0,MID,135.0,MID,152.0,EASY_MID,98.0,MID,156.0,EASY_MID,175.0,EASY_MID,228,105.0,box
36,55.333333333333336,32.333333333333336,10.0,6.666666666666667,3.6666666666666665,8.333333333333334,4.333333333333333,97.66666666666667,87.66666666666667,65.33333333333333,42.333333333333336,10.333333333333334,3,36,16.0,HARD,103.0,MID,32.0,HARD,54.0,HARD_MID,130.0,MID,11.0,HARD,59.0,HARD_MID,19.0,HARD,21.0,HARD,15.0,HARD,61.0,HARD_MID,77.0,HARD_MID,228,16.0,box
38,66.0,25.0,10.0,9.0,1.0,8.0,4.0,101.0,91.0,76.0,35.0,10.0,1,38,105.0,MID,8.0,HARD,32.0,HARD,137.0,EASY_MID,7.0,HARD,4.0,HARD,34.0,HARD,32.0,HARD,43.0,HARD,80.0,HARD_MID,5.0,HARD,66.0,HARD_MID,228,105.0,box
45,60.25,30.25,13.75,7.0,1.5,12.0,7.5,104.25,90.5,74.0,44.0,8.5,4,45,44.0,HARD,75.0,HARD_MID,134.0,MID,58.0,HARD_MID,22.0,HARD,54.0,HARD_MID,169.0,EASY_MID,54.0,HARD_MID,41.0,HARD,62.0,HARD_MID,84.0,HARD_MID,30.0,HARD,228,44.0,box
47,53.5,35.5,9.5,7.25,5.25,17.0,5.0,98.5,89.0,63.0,45.0,12.5,4,47,8.0,HARD,161.0,EASY_MID,25.0,HARD,82.0,HARD_MID,204.0,EASY,172.0,EASY_MID,76.0,HARD_MID,21.0,HARD,28.0,HARD,9.0,HARD,104.0,MID,138.0,EASY_MID,228,8.0,box
48,59.5,32.5,10.5,9.0,2.5,17.0,6.0,102.5,92.0,70.0,43.0,11.5,2,48,37.0,HARD,105.0,MID,45.0,HARD,137.0,EASY_MID,65.0,HARD_MID,172.0,EASY_MID,105.0,MID,40.0,HARD,46.0,HARD_MID,35.0,HARD,73.0,HARD_MID,107.0,MID,228,37.0,box
50,62.0,41.5,13.5,8.0,7.0,14.0,2.5,117.0,103.5,75.5,55.0,15.0,2,50,66.0,HARD_MID,208.0,EASY,125.0,MID,104.0,MID,219.0,EASY,112.0,MID,9.0,HARD,152.0,EASY_MID,152.0,EASY_MID,74.0,HARD_MID,200.0,EASY,194.0,EASY,228,66.0,box
526,62.0,30.0,7.0,10.0,3.0,14.0,6.0,99.0,92.0,69.0,37.0,13.0,1,526,66.0,HARD_MID,67.0,HARD_MID,2.0,HARD,171.0,EASY_MID,80.0,HARD_MID,112.0,MID,105.0,MID,22.0,HARD,46.0,HARD_MID,28.0,HARD,15.0,HARD,149.0,EASY_MID,228,66.0,box
55,76.5,28.5,10.0,7.5,2.0,14.5,5.5,115.0,105.0,86.5,38.5,9.5,2,55,200.0,EASY,45.0,HARD,32.0,HARD,92.0,MID,32.0,HARD,128.0,MID,97.0,MID,135.0,MID,162.0,EASY_MID,168.0,EASY_MID,21.0,HARD,54.0,HARD_MID,228,200.0,box
56,76.0,32.0,16.0,14.0,1.0,21.0,10.0,124.0,108.0,92.0,48.0,15.0,1,56,193.0,EASY,95.0,MID,182.0,EASY_MID,219.0,EASY,7.0,HARD,219.0,EASY,215.0,EASY,181.0,EASY_MID,175.0,EASY_MID,196.0,EASY,145.0,EASY_MID,194.0,EASY,228,193.0,box
58,62.0,45.0,9.0,3.0,4.0,15.0,2.0,116.0,107.0,71.0,54.0,7.0,1,58,66.0,HARD_MID,218.0,EASY,14.0,HARD,3.0,HARD,138.0,EASY_MID,136.0,MID,3.0,HARD,145.0,EASY_MID,171.0,EASY_MID,40.0,HARD,192.0,EASY,7.0,HARD,228,66.0,box
59,69.0,25.0,17.0,10.0,5.0,15.0,7.0,111.0,94.0,86.0,42.0,15.0,1,59,143.0,EASY_MID,8.0,HARD,191.0,EASY,171.0,EASY_MID,188.0,EASY,136.0,MID,154.0,EASY_MID,107.0,MID,70.0,HARD_MID,161.0,EASY_MID,54.0,HARD_MID,194.0,EASY,228,143.0,box
6,71.0,27.5,14.5,13.0,4.0,12.0,7.0,113.0,98.5,85.5,42.0,17.0,2,6,158.0,EASY_MID,30.0,HARD,153.0,EASY_MID,213.0,EASY,138.0,EASY_MID,54.0,HARD_MID,154.0,EASY_MID,120.0,MID,106.0,MID,158.0,EASY_MID,54.0,HARD_MID,215.0,EASY,228,158.0,box
61,82.0,34.0,20.0,7.0,2.0,13.0,10.0,136.0,116.0,102.0,54.0,9.0,1,61,218.0,EASY,131.0,MID,219.0,EASY,58.0,HARD_MID,32.0,HARD,85.0,HARD_MID,215.0,EASY,212.0,EASY,207.0,EASY,221.0,EASY,192.0,EASY,37.0,HARD,228,218.0,box
62,61.333333333333336,35.0,11.0,11.0,1.6666666666666667,8.666666666666666,6.333333333333333,107.33333333333333,96.33333333333333,72.33333333333333,46.0,12.666666666666666,3,62,56.0,HARD_MID,148.0,EASY_MID,55.0,HARD_MID,193.0,EASY,29.0,HARD,14.0,HARD,134.0,MID,77.0,HARD_MID,93.0,MID,47.0,HARD_MID,119.0,MID,143.0,EASY_MID,228,56.0,box
66,72.0,39.0,15.0,8.0,5.0,8.0,9.0,126.0,111.0,87.0,54.0,13.0,1,66,165.0,EASY_MID,193.0,EASY,160.0,EASY_MID,104.0,MID,188.0,EASY,4.0,HARD,203.0,EASY,190.0,EASY,185.0,EASY,170.0,EASY_MID,192.0,EASY,149.0,EASY_MID,228,165.0,box
68,68.0,23.0,19.0,7.0,2.0,7.0,9.0,110.0,91.0,87.0,42.0,9.0,1,68,126.0,MID,4.0,HARD,212.0,EASY,58.0,HARD_MID,32.0,HARD,3.0,HARD,203.0,EASY,95.0,MID,43.0,HARD,170.0,EASY_MID,54.0,HARD_MID,37.0,HARD,228,126.0,box
