wnba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,id_status,player_1,player_2,team_1,team_2,is_combo_player
237848,11717398,11717398,237848,150439,2026-05-08T19:30:00.000-04:00,,,Sabrina Ionescu,G,NYL,,7.5,Rebounds,reb,Demon,,2,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,OK,,,,,0
237847,11717378,11717378,237847,150439,2026-05-08T19:30:00.000-04:00,,,Breanna Stewart,F,NYL,,5.5,Assists,ast,Demon,,2,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,OK,,,,,0
237847,11717383,11717383,237847,150439,2026-05-08T19:30:00.000-04:00,,,Breanna Stewart,F,NYL,,5.5,Rebounds,reb,Goblin,,1,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,OK,,,,,0
237848,11717389,11717389,237848,150439,2026-05-08T19:30:00.000-04:00,,,Sabrina Ionescu,G,NYL,,5.5,Assists,ast,Goblin,,1,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,OK,,,,,0
237848,11717397,11717397,237848,150439,2026-05-08T19:30:00.000-04:00,,,Sabrina Ionescu,G,NYL,,5.5,Rebounds,reb,Demon,,1,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,OK,,,,,0
237847,11717377,11717377,237847,150439,2026-05-08T19:30:00.000-04:00,,,Breanna Stewart,F,NYL,,3.5,Assists,ast,Demon,,1,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,OK,,,,,0
237848,11717387,11717387,237848,150439,2026-05-08T19:30:00.000-04:00,,,Sabrina Ionescu,G,NYL,,3.5,3-PT Made,3ptmade,Demon,,2,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,OK,,,,,0
237848,11717396,11717396,237848,150439,2026-05-08T19:30:00.000-04:00,,,Sabrina Ionescu,G,NYL,,3.5,Rebounds,reb,Goblin,,1,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,OK,,,,,0
237848,11717388,11717388,237848,150439,2026-05-08T19:30:00.000-04:00,,,Sabrina Ionescu,G,NYL,,2.5,3-PT Made,3ptmade,Demon,,1,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,OK,,,,,0
237848,11717386,11717386,237848,150439,2026-05-08T19:30:00.000-04:00,,,Sabrina Ionescu,G,NYL,,1.5,3-PT Made,3ptmade,Goblin,,1,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,OK,,,,,0
