wnba_player_id,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,game_date,id_status,player_1,player_2,team_1,team_2,TEAM_NAME,TEAM_ID,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,unsupported_prop,unsupported_reason,espn_athlete_id,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,min_player_avg,fga_player_avg,pts_player_avg,minutes_tier,shot_role,usage_role,game_total,spread
237848,Sabrina Ionescu,G,NYL,,24.5,Points,pts,Demon,11717394,11717394,237848,150439,2026-05-08T19:30:00.000-04:00,,,11.5,2,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:pts,4066533.0,UNSUPPORTED_PROP,,,,,,,,24.5,24.5,UNKNOWN,HIGH_VOL,PRIMARY,,
237847,Breanna Stewart,F,NYL,,19.5,Points,pts,Demon,11717381,11717381,237847,150439,2026-05-08T19:30:00.000-04:00,,,,1,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:pts,2998928.0,UNSUPPORTED_PROP,,,,,,,,19.5,19.5,UNKNOWN,HIGH_VOL,PRIMARY,,
237848,Sabrina Ionescu,G,NYL,,19.5,Points,pts,Demon,11717395,11717395,237848,150439,2026-05-08T19:30:00.000-04:00,,,11.5,1,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:pts,4066533.0,UNSUPPORTED_PROP,,,,,,,,19.5,19.5,UNKNOWN,HIGH_VOL,PRIMARY,,
237847,Breanna Stewart,F,NYL,,14.5,Points,pts,Goblin,11717380,11717380,237847,150439,2026-05-08T19:30:00.000-04:00,,,,1,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:pts,2998928.0,UNSUPPORTED_PROP,,,,,,,,14.5,14.5,UNKNOWN,HIGH_VOL,PRIMARY,,
237848,Sabrina Ionescu,G,NYL,,14.5,Points,pts,Goblin,11717393,11717393,237848,150439,2026-05-08T19:30:00.000-04:00,,,11.5,1,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:pts,4066533.0,UNSUPPORTED_PROP,,,,,,,,14.5,14.5,UNKNOWN,HIGH_VOL,PRIMARY,,
237847,Breanna Stewart,F,NYL,,9.5,Rebounds,reb,Demon,11717385,11717385,237847,150439,2026-05-08T19:30:00.000-04:00,,,,2,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:reb,2998928.0,UNSUPPORTED_PROP,,,,,,,,9.5,9.5,UNKNOWN,MID_VOL,SECONDARY,,
237848,Sabrina Ionescu,G,NYL,,9.5,Assists,ast,Demon,11717391,11717391,237848,150439,2026-05-08T19:30:00.000-04:00,,,3.5,2,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:ast,4066533.0,UNSUPPORTED_PROP,,,,,,,,9.5,9.5,UNKNOWN,MID_VOL,SECONDARY,,
237847,Breanna Stewart,F,NYL,,7.5,Rebounds,reb,Demon,11717384,11717384,237847,150439,2026-05-08T19:30:00.000-04:00,,,,1,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:reb,2998928.0,UNSUPPORTED_PROP,,,,,,,,7.5,7.5,UNKNOWN,LOW_VOL,SECONDARY,,
237848,Sabrina Ionescu,G,NYL,,7.5,Assists,ast,Demon,11717390,11717390,237848,150439,2026-05-08T19:30:00.000-04:00,,,3.5,1,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:ast,4066533.0,UNSUPPORTED_PROP,,,,,,,,7.5,7.5,UNKNOWN,LOW_VOL,SECONDARY,,
237848,Sabrina Ionescu,G,NYL,,7.5,Rebounds,reb,Demon,11717398,11717398,237848,150439,2026-05-08T19:30:00.000-04:00,,,,3,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:reb,4066533.0,UNSUPPORTED_PROP,,,,,,,,7.5,7.5,UNKNOWN,LOW_VOL,SECONDARY,,
