projection_id,pp_projection_id,player_id,pp_game_id,start_time,player,image_url,pos,team,opp_team,pp_home_team,pp_away_team,prop_type,line,pick_type
11717379,11717379,237847,150439,2026-05-08T19:30:00.000-04:00,Breanna Stewart,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,F,NYL,,,,Double-Double,0.5,Demon
11717392,11717392,237848,150439,2026-05-08T19:30:00.000-04:00,Sabrina Ionescu,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,G,NYL,,,,Double-Double,0.5,Demon
11717419,11717419,237835,150721,2026-05-09T13:00:00.000-04:00,Arike Ogunbowale,https://static.prizepicks.com/images/players/NBA/Arike_Ogunbowale_WNBA_player_li5EkQnXby20K9Lhu8gX4Ygc.webp,G,DAL,,,,Pts+Asts,29.5,Demon
11807003,11807003,237852,150721,2026-05-09T13:00:00.000-04:00,Kelsey Mitchell,https://static.prizepicks.com/images/players/NBA/Kelsey_Mitchell_WNBA_player_EIjpvNmrTSUtZ3DS46UvarB1.webp,G,IND,,,,Points,29.5,Demon
11717416,11717416,237835,150721,2026-05-09T13:00:00.000-04:00,Arike Ogunbowale,https://static.prizepicks.com/images/players/NBA/Arike_Ogunbowale_WNBA_player_li5EkQnXby20K9Lhu8gX4Ygc.webp,G,DAL,,,,Points,24.5,Demon
11717418,11717418,237835,150721,2026-05-09T13:00:00.000-04:00,Arike Ogunbowale,https://static.prizepicks.com/images/players/NBA/Arike_Ogunbowale_WNBA_player_li5EkQnXby20K9Lhu8gX4Ygc.webp,G,DAL,,,,Pts+Asts,24.5,Demon
11717434,11717434,237851,150721,2026-05-09T13:00:00.000-04:00,Caitlin Clark,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,G,IND,,,,Points,24.5,Demon
11717445,11717445,237852,150721,2026-05-09T13:00:00.000-04:00,Kelsey Mitchell,https://static.prizepicks.com/images/players/NBA/Kelsey_Mitchell_WNBA_player_EIjpvNmrTSUtZ3DS46UvarB1.webp,G,IND,,,,Points,24.5,Demon
11717462,11717462,237836,150721,2026-05-09T13:00:00.000-04:00,Paige Bueckers,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,G,DAL,,,,Points,24.5,Demon
11717446,11717446,237852,150721,2026-05-09T13:00:00.000-04:00,Kelsey Mitchell,https://static.prizepicks.com/images/players/NBA/Kelsey_Mitchell_WNBA_player_EIjpvNmrTSUtZ3DS46UvarB1.webp,G,IND,,,,Points,20.5,Standard
