espn_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,league,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,game_date,player_1,player_2,team_1,team_2,id_status,is_combo_player
231618,12011323,12011323,253071,151607,2026-05-14T13:00:00.000-04:00,,,Arnaut Danjuma,Attacker,VALENCIA,,SOCCER,0.5,Goals,goals,Demon,,1,https://static.prizepicks.com/images/manual/Arnaut Danjuma Adam Groeneveld.png,2026-05-14,,,,,OK,0
192403,12011326,12011326,252397,151607,2026-05-14T13:00:00.000-04:00,,,Baptiste Santamaría,Midfielder,VALENCIA,,SOCCER,0.5,Assists,assists,Demon,,1,https://static.prizepicks.com/images/manual/Baptiste Santamaría.png,2026-05-14,,,,,OK,0
192403,12011328,12011328,252397,151607,2026-05-14T13:00:00.000-04:00,,,Baptiste Santamaría,Midfielder,VALENCIA,,SOCCER,0.5,Goal + Assist,goal_assist,Demon,,1,https://static.prizepicks.com/images/manual/Baptiste Santamaría.png,2026-05-14,,,,,OK,0
192403,12011329,12011329,252397,151607,2026-05-14T13:00:00.000-04:00,,,Baptiste Santamaría,Midfielder,VALENCIA,,SOCCER,0.5,Goals,goals,Demon,,1,https://static.prizepicks.com/images/manual/Baptiste Santamaría.png,2026-05-14,,,,,OK,0
192403,12011330,12011330,252397,151607,2026-05-14T13:00:00.000-04:00,,,Baptiste Santamaría,Midfielder,VALENCIA,,SOCCER,0.5,Shots On Target,shots_on_target,Demon,,1,https://static.prizepicks.com/images/manual/Baptiste Santamaría.png,2026-05-14,,,,,OK,0
324192,12011331,12011331,290494,151607,2026-05-14T13:00:00.000-04:00,,,Carlos Martín,Attacker,RAYO,,SOCCER,0.5,Assists,assists,Demon,,1,https://static.prizepicks.com/images/manual/Carlos_Martín.png,2026-05-14,,,,,OK,0
324192,12011333,12011333,290494,151607,2026-05-14T13:00:00.000-04:00,,,Carlos Martín,Attacker,RAYO,,SOCCER,0.5,Goal + Assist,goal_assist,Demon,,1,https://static.prizepicks.com/images/manual/Carlos_Martín.png,2026-05-14,,,,,OK,0
324192,12011334,12011334,290494,151607,2026-05-14T13:00:00.000-04:00,,,Carlos Martín,Attacker,RAYO,,SOCCER,0.5,Goals,goals,Demon,,1,https://static.prizepicks.com/images/manual/Carlos_Martín.png,2026-05-14,,,,,OK,0
330552,12011336,12011336,213780,151607,2026-05-14T13:00:00.000-04:00,,,César Tárrega,Defender,VALENCIA,,SOCCER,0.5,Goal + Assist,goal_assist,Demon,,1,https://static.prizepicks.com/images/manual/César Tárrega.png,2026-05-14,,,,,OK,0
330552,12011338,12011338,213780,151607,2026-05-14T13:00:00.000-04:00,,,César Tárrega,Defender,VALENCIA,,SOCCER,0.5,Goals,goals,Demon,,1,https://static.prizepicks.com/images/manual/César Tárrega.png,2026-05-14,,,,,OK,0
