projection_id,pp_projection_id,player_id,pp_game_id,league,start_time,player,image_url,pos,team,opp_team,pp_home_team,pp_away_team,prop_type,line,standard_line,pick_type,game_date
12043652,12043652,148622,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Cristhian Stuani,https://static.prizepicks.com/images/players/soccer/6navc0x6p4yqy76zyo3zocwr9.webp,Attacker,GIRONA,,,,Shots,1.5,,Goblin,2026-05-14
12043654,12043654,148622,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Cristhian Stuani,https://static.prizepicks.com/images/players/soccer/6navc0x6p4yqy76zyo3zocwr9.webp,Attacker,GIRONA,,,,Tackles,1.5,,Demon,2026-05-14
12043655,12043655,148630,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Daley Blind,https://static.prizepicks.com/images/players/soccer/3kx4mltrob4yta5g6kr2u8ic5.webp,Defender,GIRONA,,,,Fouls,1.5,,Demon,2026-05-14
12043658,12043658,210713,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Donny van de Beek,https://static.prizepicks.com/images/players/soccer/6gruusc463fdln5uz1uzhne8l.webp,Midfielder,GIRONA,,,,Fouls,1.5,,Demon,2026-05-14
12043661,12043661,210713,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Donny van de Beek,https://static.prizepicks.com/images/players/soccer/6gruusc463fdln5uz1uzhne8l.webp,Midfielder,GIRONA,,,,Shots On Target,1.5,,Demon,2026-05-14
12043665,12043665,296023,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Fran Beltrán,https://static.prizepicks.com/images/manual/Fran_Beltrán.png,Midfielder,GIRONA,,,,Fouls,1.5,,Demon,2026-05-14
12043666,12043666,296023,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Fran Beltrán,https://static.prizepicks.com/images/manual/Fran_Beltrán.png,Midfielder,GIRONA,,,,Shots,1.5,,Demon,2026-05-14
12043670,12043670,265725,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Gonçalo Guedes,https://static.prizepicks.com/images/manual/Gonçalo Manuel Ganchinho Guedes.png,Attacker,REAL SOCIEDAD,,,,Fouls,1.5,,Demon,2026-05-14
12043673,12043673,265725,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Gonçalo Guedes,https://static.prizepicks.com/images/manual/Gonçalo Manuel Ganchinho Guedes.png,Attacker,REAL SOCIEDAD,,,,Tackles,1.5,,Demon,2026-05-14
12043676,12043676,284546,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Gorka Carrera,,Attacker,REAL SOCIEDAD,,,,Shots,1.5,,Goblin,2026-05-14
12043677,12043677,284546,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Gorka Carrera,,Attacker,REAL SOCIEDAD,,,,Shots On Target,1.5,,Demon,2026-05-14
12043680,12043680,284546,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Gorka Carrera,,Attacker,REAL SOCIEDAD,,,,Tackles,1.5,,Demon,2026-05-14
12043682,12043682,252162,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Hugo Rincón,https://static.prizepicks.com/images/manual/Hugo_Rincón_Lumbreras.png,Defender,GIRONA,,,,Shots,1.5,,Demon,2026-05-14
12043685,12043685,290758,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Ibai Aguirre,https://static.prizepicks.com/images/manual/Ibai Aguirre.png,Midfielder,REAL SOCIEDAD,,,,Shots,1.5,,Demon,2026-05-14
12043693,12043693,151332,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Iván Martín,https://static.prizepicks.com/images/players/soccer/9um7x9zd0e000zt57l3yearqh.webp,Midfielder,GIRONA,,,,Fouls,1.5,,Demon,2026-05-14
12043694,12043694,151332,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Iván Martín,https://static.prizepicks.com/images/players/soccer/9um7x9zd0e000zt57l3yearqh.webp,Midfielder,GIRONA,,,,Shots,1.5,,Demon,2026-05-14
12043700,12043700,295703,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Job Ochieng,https://static.prizepicks.com/images/manual/Job Ochieng.png,Attacker,REAL SOCIEDAD,,,,Shots,1.5,,Goblin,2026-05-14
12043701,12043701,295703,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Job Ochieng,https://static.prizepicks.com/images/manual/Job Ochieng.png,Attacker,REAL SOCIEDAD,,,,Shots On Target,1.5,,Demon,2026-05-14
12043702,12043702,295703,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Job Ochieng,https://static.prizepicks.com/images/manual/Job Ochieng.png,Attacker,REAL SOCIEDAD,,,,Tackles,1.5,,Demon,2026-05-14
12043705,12043705,252165,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Joel Roca,https://static.prizepicks.com/images/manual/Joel_Roca_Casals.png,Midfielder,GIRONA,,,,Shots,1.5,,Goblin,2026-05-14
12043707,12043707,252403,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Jon Gorrotxategi,https://static.prizepicks.com/images/manual/Jon Gorrotxategi Etxaniz.png,Midfielder,REAL SOCIEDAD,,,,Shots,1.5,,Demon,2026-05-14
12043710,12043710,210607,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Jon Martín,https://static.prizepicks.com/images/manual/Jon Martín.png,Defender,REAL SOCIEDAD,,,,Shots,1.5,,Demon,2026-05-14
12043719,12043719,207282,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Luka Sucic,https://static.prizepicks.com/images/players/soccer/9x5uo2wkxp9fk1arygbkl6u0a.webp,Midfielder,REAL SOCIEDAD,,,,Shots On Target,1.5,,Demon,2026-05-14
12043721,12043721,270917,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Luken Beitia,https://static.prizepicks.com/images/manual/Luken Beitia.webp,Defender,REAL SOCIEDAD,,,,Fouls,1.5,,Demon,2026-05-14
12043724,12043724,270917,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Luken Beitia,https://static.prizepicks.com/images/manual/Luken Beitia.webp,Defender,REAL SOCIEDAD,,,,Shots,1.5,,Demon,2026-05-14
12043726,12043726,270917,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Luken Beitia,https://static.prizepicks.com/images/manual/Luken Beitia.webp,Defender,REAL SOCIEDAD,,,,Tackles,1.5,,Demon,2026-05-14
12043727,12043727,148611,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Mikel Oyarzabal,https://static.prizepicks.com/images/players/soccer/b45ryclny991bm7qosieyg1cl.webp,Attacker,REAL SOCIEDAD,,,,Fouls,1.5,,Demon,2026-05-14
