slate_date,prop,bet_direction,n_rows,n_void,n_rows_ex_demon,n_void_ex_demon,n_decided,n_decided_ex_demon,n_hit,line_min,line_q25,line_median,line_q75,line_max,line_mean,n_line_present,void_rate,void_rate_ex_demon,hit_rate,decided_rate
2026-04-06,Points,OVER,131,35,92,27,96,65,63,0.5,2.5,4.5,5.5,11.5,4.255725190839694,131,0.26717557251908397,0.29347826086956524,0.65625,0.732824427480916
2026-04-06,Points,UNDER,6,0,6,0,6,6,2,2.5,3.625,4.25,4.875,8.5,4.666666666666667,6,0.0,0.0,0.3333333333333333,1.0
2026-04-06,Rebounds,OVER,62,19,35,11,43,24,28,0.5,0.5,1.5,2.25,6.5,1.6612903225806452,62,0.3064516129032258,0.3142857142857143,0.6511627906976745,0.6935483870967742
2026-04-06,Rebounds,UNDER,1,0,1,0,1,1,0,1.5,1.5,1.5,1.5,1.5,1.5,1,0.0,0.0,0.0,1.0
2026-04-07,Assists,OVER,94,43,45,20,51,25,46,0.5,0.5,0.5,1.25,2.5,0.7872340425531915,94,0.4574468085106383,0.4444444444444444,0.9019607843137255,0.5425531914893617
2026-04-07,Assists,UNDER,2,2,2,2,0,0,0,0.5,1.0,1.5,2.0,2.5,1.5,2,1.0,1.0,,0.0
2026-04-07,Points,OVER,175,50,126,36,125,90,80,0.5,2.5,3.5,4.5,9.5,3.6028571428571428,175,0.2857142857142857,0.2857142857142857,0.64,0.7142857142857143
2026-04-07,Points,UNDER,7,2,7,2,5,5,0,1.5,3.5,5.5,7.0,9.0,5.285714285714286,7,0.2857142857142857,0.2857142857142857,0.0,0.7142857142857143
2026-04-07,Rebounds,OVER,95,43,58,22,52,36,40,0.5,0.5,1.5,1.5,5.5,1.3105263157894738,95,0.45263157894736844,0.3793103448275862,0.7692307692307693,0.5473684210526316
2026-04-07,Rebounds,UNDER,4,2,4,2,2,2,0,1.5,1.5,1.5,1.5,1.5,1.5,4,0.5,0.5,0.0,0.5
2026-04-08,Assists,OVER,68,28,31,11,40,20,30,0.5,0.5,0.5,1.5,6.5,1.1323529411764706,68,0.4117647058823529,0.3548387096774194,0.75,0.5882352941176471
2026-04-08,Assists,UNDER,1,0,1,0,1,1,0,0.5,0.5,0.5,0.5,0.5,0.5,1,0.0,0.0,0.0,1.0
2026-04-08,Points,OVER,134,32,100,23,102,77,72,0.5,2.5,3.5,4.5,11.5,3.9365671641791047,134,0.23880597014925373,0.23,0.7058823529411765,0.7611940298507462
2026-04-08,Points,UNDER,5,1,5,1,4,4,0,2.5,2.5,3.5,4.5,8.5,4.3,5,0.2,0.2,0.0,0.8
2026-04-08,Rebounds,OVER,70,27,39,17,43,22,26,0.5,0.5,1.5,1.5,7.5,1.6,70,0.38571428571428573,0.4358974358974359,0.6046511627906976,0.6142857142857143
2026-04-08,Rebounds,UNDER,2,0,2,0,2,2,0,0.5,1.25,2.0,2.75,3.5,2.0,2,0.0,0.0,0.0,1.0
