team,OVERALL_DEF_RANK,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_wins,opp_gp,def_rank,def_tier,updated_at,sa_ratio,opp_gaa_rank,opp_saa_rank,opp_pk_pct_rank,opp_gf_rank,pace_fast_rank,pace_slow_rank,OVERALL_DEF_SCORE
MIN,4.0,2.927,0.0,0.0,3.317,0.0,0.0,46.0,82.0,5,Elite,2026-05-22T17:42:44.717354+00:00,0.0,4,1,1,11,1,1,2.2
MTL,18.0,3.122,0.0,0.0,3.451,0.0,0.0,48.0,82.0,18,Avg,2026-05-22T17:42:44.717354+00:00,0.0,18,1,1,6,1,1,7.8
NJD,17.0,3.098,0.0,0.0,2.805,0.0,0.0,42.0,82.0,17,Avg,2026-05-22T17:42:44.717354+00:00,0.0,17,1,1,27,1,1,7.4
NSH,25.0,3.28,0.0,0.0,3.012,0.0,0.0,38.0,82.0,26,Below Avg,2026-05-22T17:42:44.717354+00:00,0.0,25,1,1,21,1,1,10.6
NYI,7.0,2.939,0.0,0.0,2.841,0.0,0.0,43.0,82.0,8,Above Avg,2026-05-22T17:42:44.717354+00:00,0.0,7,1,1,24,1,1,3.4000000000000004
NYR,13.0,3.049,0.0,0.0,2.902,0.0,0.0,34.0,82.0,14,Avg,2026-05-22T17:42:44.717354+00:00,0.0,13,1,1,23,1,1,5.8
OTT,11.0,3.0,0.0,0.0,3.39,0.0,0.0,44.0,82.0,11,Above Avg,2026-05-22T17:42:44.717354+00:00,0.0,11,1,1,9,1,1,5.0
PHI,9.0,2.963,0.0,0.0,3.049,0.0,0.0,43.0,82.0,9,Above Avg,2026-05-22T17:42:44.717354+00:00,0.0,9,1,1,20,1,1,4.2
PIT,24.0,3.268,0.0,0.0,3.573,0.0,0.0,41.0,82.0,24,Below Avg,2026-05-22T17:42:44.717354+00:00,0.0,24,1,1,3,1,1,10.200000000000001
SEA,23.0,3.207,0.0,0.0,2.756,0.0,0.0,34.0,82.0,23,Below Avg,2026-05-22T17:42:44.717354+00:00,0.0,23,1,1,28,1,1,9.8
SJS,30.0,3.561,0.0,0.0,3.061,0.0,0.0,39.0,82.0,30,Weak,2026-05-22T17:42:44.717354+00:00,0.0,30,1,1,18,1,1,12.6
STL,19.0,3.146,0.0,0.0,2.817,0.0,0.0,37.0,82.0,20,Avg,2026-05-22T17:42:44.717354+00:00,0.0,19,1,1,25,1,1,8.200000000000001
TBL,3.0,2.817,0.0,0.0,3.537,0.0,0.0,50.0,82.0,3,Elite,2026-05-22T17:42:44.717354+00:00,0.0,3,1,1,4,1,1,1.8000000000000003
TOR,31.0,3.646,0.0,0.0,3.085,0.0,0.0,32.0,82.0,31,Weak,2026-05-22T17:42:44.717354+00:00,0.0,31,1,1,16,1,1,13.0
UTA,4.0,2.927,0.0,0.0,3.268,0.0,0.0,43.0,82.0,6,Elite,2026-05-22T17:42:44.717354+00:00,0.0,4,1,1,13,1,1,2.2
VAN,32.0,3.854,0.0,0.0,2.634,0.0,0.0,25.0,82.0,32,Weak,2026-05-22T17:42:44.717354+00:00,0.0,32,1,1,30,1,1,13.4
VGK,13.0,3.049,0.0,0.0,3.232,0.0,0.0,39.0,82.0,15,Avg,2026-05-22T17:42:44.717354+00:00,0.0,13,1,1,14,1,1,5.8
WPG,22.0,3.171,0.0,0.0,2.817,0.0,0.0,35.0,82.0,22,Below Avg,2026-05-22T17:42:44.717354+00:00,0.0,22,1,1,25,1,1,9.4
WSH,10.0,2.976,0.0,0.0,3.207,0.0,0.0,43.0,82.0,10,Above Avg,2026-05-22T17:42:44.717354+00:00,0.0,10,1,1,15,1,1,4.6
