mlb_player_id,player,pos,player_type,team,opp_team,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,player_name,image_url,line_score,sport,game_date,player_1,player_2,team_1,team_2,id_status,SP_ERA,WHIP,OBP_ALLOWED,ERA_RANK,WHIP_RANK,OBP_ALLOWED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,def_rank,def_tier,inningsPitched,gamesPlayed,is_combo_player
621438,Tyrone Taylor,OF,hitter,NYM,COL,3.5,Total Bases,total_bases,Demon,11860101,11860101,193639,155588,2026-05-04T17:40:00.000-04:00,,,,3,Tyrone Taylor,https://static.prizepicks.com/images/players/MLB/Tyrone_Taylor_MLB_player_kvp5FExNTFB17yZ5Z1BrAYZx-450.webp,3.5,MLB,2026-05-04,,,,,OK,4.28,1.38,0.332,18,19,20,18.76923076923077,19,Below Avg,18,Below Avg,290.1,33.0,0
650489,Willi Castro,OF,hitter,COL,NYM,3.5,Total Bases,total_bases,Demon,11860118,11860118,309172,155588,2026-05-04T17:40:00.000-04:00,,,,3,Willi Castro,https://static.prizepicks.com/images/manual/Willi_Castro-.png,3.5,MLB,2026-05-04,,,,,OK,4.13,1.27,0.31,14,10,9,11.615384615384617,13,Avg,14,Avg,285.2,32.0,0
701807,Carson Benge,OF,hitter,NYM,COL,3.5,Total Bases,total_bases,Demon,11861081,11861081,309858,155588,2026-05-04T17:40:00.000-04:00,,,,3,Carson Benge,https://static.prizepicks.com/images/manual/Carson Benge.png,3.5,MLB,2026-05-04,,,,,OK,4.28,1.38,0.332,18,19,20,18.76923076923077,19,Below Avg,18,Below Avg,290.1,33.0,0
691720,Kyle Karros,IF,hitter,COL,NYM,3.5,Total Bases,total_bases,Demon,11863342,11863342,251803,155588,2026-05-04T17:40:00.000-04:00,,,,3,Kyle Karros,https://static.prizepicks.com/images/manual/KyleKarros.png,3.5,MLB,2026-05-04,,,,,OK,4.13,1.27,0.31,14,10,9,11.615384615384617,13,Avg,14,Avg,285.2,32.0,0
681198,TJ Rumfield,IF,hitter,COL,NYM,3.5,Total Bases,total_bases,Demon,11863350,11863350,309910,155588,2026-05-04T17:40:00.000-04:00,,,,3,TJ Rumfield,https://static.prizepicks.com/images/manual/TJ Rumfield.png,3.5,MLB,2026-05-04,,,,,OK,4.13,1.27,0.31,14,10,9,11.615384615384617,13,Avg,14,Avg,285.2,32.0,0
687859,Troy Johnston,OF,hitter,COL,NYM,3.5,Total Bases,total_bases,Demon,11863359,11863359,310124,155588,2026-05-04T17:40:00.000-04:00,,,,3,Troy Johnston,https://static.prizepicks.com/images/manual/Troy_Johnston.png,3.5,MLB,2026-05-04,,,,,OK,4.13,1.27,0.31,14,10,9,11.615384615384617,13,Avg,14,Avg,285.2,32.0,0
664954,Brett Sullivan,C,hitter,COL,NYM,3.5,Total Bases,total_bases,Demon,11864375,11864375,310714,155588,2026-05-04T17:40:00.000-04:00,,,,3,Brett Sullivan,https://static.prizepicks.com/images/manual/Brett Sullivan COL.png,3.5,MLB,2026-05-04,,,,,OK,4.13,1.27,0.31,14,10,9,11.615384615384617,13,Avg,14,Avg,285.2,32.0,0
666182,Bo Bichette,IF,hitter,NYM,COL,2.5,Hits,hits,Demon,11859852,11859852,308572,155588,2026-05-04T17:40:00.000-04:00,,,,1,Bo Bichette,https://static.prizepicks.com/images/manual/Bo_Bichettee.png,2.5,MLB,2026-05-04,,,,,OK,4.28,1.38,0.332,18,19,20,18.76923076923077,19,Below Avg,18,Below Avg,290.1,33.0,0
696100,Hunter Goodman,C,hitter,COL,NYM,2.5,Hitter Strikeouts,hitter_strikeouts,Demon,11859949,11859949,152439,155588,2026-05-04T17:40:00.000-04:00,,,,2,Hunter Goodman,https://static.prizepicks.com/images/players/MLB/Hunter_Goodman_MLB_player_dVT1YjoNqIySmDlERNuAET8w-450.webp,2.5,MLB,2026-05-04,,,,,OK,4.13,1.27,0.31,14,10,9,11.615384615384617,13,Avg,14,Avg,285.2,32.0,0
608372,Tomoyuki Sugano,P,pitcher,COL,NYM,2.5,Walks Allowed,walks_allowed,Demon,11860071,11860071,310787,155588,2026-05-04T17:40:00.000-04:00,,,,1,Tomoyuki Sugano,https://static.prizepicks.com/images/manual/Tomoyuki_Sugano.png,2.5,MLB,2026-05-04,,,,,OK,4.13,1.27,0.31,14,10,9,11.615384615384617,13,Avg,14,Avg,285.2,32.0,0
682626,Francisco Alvarez,C,hitter,NYM,COL,2.5,Hits,hits,Demon,11861059,11861059,139591,155588,2026-05-04T17:40:00.000-04:00,,,,2,Francisco Alvarez,https://static.prizepicks.com/images/players/MLB/Francisco_Alvarez_MLB_player_4iF3hh29HItUz8Pc5WKHnrjq-450.webp,2.5,MLB,2026-05-04,,,,,OK,4.28,1.38,0.332,18,19,20,18.76923076923077,19,Below Avg,18,Below Avg,290.1,33.0,0
665742,Juan Soto,OF,hitter,NYM,COL,2.5,Hits,hits,Demon,11861061,11861061,233196,155588,2026-05-04T17:40:00.000-04:00,,,,2,Juan Soto,https://static.prizepicks.com/images/players/MLB/Juan_Soto_MLB_player_FXP0NspqHu0dMj9xxOpE0gA0-450.webp,2.5,MLB,2026-05-04,,,,,OK,4.28,1.38,0.332,18,19,20,18.76923076923077,19,Below Avg,18,Below Avg,290.1,33.0,0
