PLAYER_NAME,PLAYER_NORM,TEAM,season_avg,games,avg_toi,category,team_slate,team_def_key,rank_on_team,leader_side,PLAYER_NAME_split,n_games,n_elite,n_weak,avg_delta_all,avg_delta_vs_elite,avg_delta_vs_weak,avg_delta_vs_mid,def_rank_corr,weak_over_rate,elite_over_rate,def_boost,overperform_vs_weak,fades_vs_elite
Calle Jarnkrok,calle jarnkrok,TOR,0.631578947368421,19,12.556140350877193,shots,TOR,TOR,1,bottom,Calle Jarnkrok,16,7,3,3.689631446987529e-05,-0.40399659863945575,0.6602564102564102,0.14129955012307963,0.344552170249889,1.0,0.2857142857142857,1.064253008895866,True,True
Jacob Quillan,jacob quillan,TOR,0.6842105263157895,19,10.822807017543859,shots,TOR,TOR,2,bottom,Jacob Quillan,16,6,3,-0.24357467491658663,0.031045751633986967,-0.564102564102564,-0.3415945165945166,-0.15910248674996283,0.3333333333333333,0.5,-0.5951483157365509,False,False
Troy Stecher,troy stecher,TOR,0.75,20,18.750833333333333,shots,TOR,TOR,3,bottom,Troy Stecher,17,5,1,-0.06608748603831467,-0.22111111111111112,-0.8571428571428571,0.07629192273155122,-0.2013552965112872,0.0,0.4,-0.636031746031746,False,False
William Nylander,william nylander,TOR,2.8,25,20.811999999999998,shots,TOR,TOR,1,top,William Nylander,22,7,3,0.13982636266789894,-0.3822403269608238,2.042211328976035,-0.03123097662571343,0.39204530789044134,1.0,0.2857142857142857,2.4244516559368585,True,True
John Tavares,john tavares,TOR,2.08,25,18.842,shots,TOR,TOR,2,top,John Tavares,22,7,3,-0.1049610926249927,-0.07147831464601653,0.7687908496732025,-0.3429306986872776,0.09287613323316048,0.6666666666666666,0.5714285714285714,0.840269164319219,True,False
Nicholas Robertson,nicholas robertson,TOR,1.7083333333333333,24,13.055555555555555,shots,TOR,TOR,3,top,Nicholas Robertson,21,7,3,-0.1374515157429123,0.2593984962406015,-0.20675770308123242,-0.37109074500378847,-0.19675278730841864,0.3333333333333333,0.2857142857142857,-0.46615619932183394,False,False
Brandon Tanev,brandon tanev,UTA,0.05555555555555555,18,8.988888888888889,assists,UTA,UTA,1,bottom,Brandon Tanev,15,7,5,-0.01041461262049497,-0.07781073968048757,0.1180952380952381,-0.06734006734006734,0.41259715809173797,0.2,0.0,0.19590597777572566,False,False
Barrett Hayton,barrett hayton,UTA,0.06666666666666667,15,15.202222222222222,assists,UTA,UTA,2,bottom,Barrett Hayton,12,4,3,0.06402625152625152,0.23214285714285715,-0.027777777777777776,-0.015384615384615385,-0.2964993950797265,0.0,0.25,-0.25992063492063494,False,False
JJ Peterka,jj peterka,UTA,0.12903225806451613,31,14.490322580645161,assists,UTA,UTA,3,bottom,JJ Peterka,28,11,9,0.04317562783856672,-0.022110489069736713,-0.0008508056159153257,0.18247377622377622,0.02664634727997179,0.1111111111111111,0.09090909090909091,0.021259683453821388,False,False
Clayton Keller,clayton keller,UTA,0.9354838709677419,31,19.674731182795696,assists,UTA,UTA,1,top,Clayton Keller,28,11,9,0.029614478949451815,0.015535915379175556,0.024257752935906114,0.05499882062382061,0.09620725158048656,0.5555555555555556,0.45454545454545453,0.008721837556730557,False,False
Mikhail Sergachev,mikhail sergachev,UTA,0.9259259259259259,27,24.785802469135803,assists,UTA,UTA,2,top,Mikhail Sergachev,24,11,8,0.028472468642705213,0.13785573799989054,-0.18468978937728936,0.12888888888888883,-0.2235834842684133,0.125,0.5454545454545454,-0.3225455273771799,False,False
Nick Schmaltz,nick schmaltz,UTA,0.45161290322580644,31,20.358064516129033,assists,UTA,UTA,3,top,Nick Schmaltz,28,11,9,-0.10654988308421265,0.15303675541920053,-0.09446276603700214,-0.4770795177045177,-0.18120756087150505,0.4444444444444444,0.6363636363636364,-0.2474995214562027,False,False
Brandon Tanev,brandon tanev,UTA,0.0,18,8.988888888888889,goals,UTA,UTA,1,bottom,Brandon Tanev,15,7,5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,False,False
Sean Durzi,sean durzi,UTA,0.0,30,17.61444444444444,goals,UTA,UTA,2,bottom,Sean Durzi,27,11,9,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,False,False
Nate Schmidt,nate schmidt,UTA,0.03225806451612903,31,19.3747311827957,goals,UTA,UTA,3,bottom,Nate Schmidt,28,11,9,-0.0023578170340048943,0.052343294694391876,-0.04613898106068429,-0.028318036130536132,-0.26140588903711126,0.0,0.09090909090909091,-0.09848227575507618,False,False
Dylan Guenther,dylan guenther,UTA,0.6,30,18.445555555555554,goals,UTA,UTA,1,top,Dylan Guenther,27,11,9,-0.06860486958369089,-0.014404801630506968,0.010966621583797513,-0.2560826078683221,0.16361742568085857,0.6666666666666666,0.5454545454545454,0.02537142321430448,False,False
Lawson Crouse,lawson crouse,UTA,0.41935483870967744,31,17.647849462365592,goals,UTA,UTA,2,top,Lawson Crouse,28,11,9,0.03250542343696453,-0.0319118127895557,0.0015026554735802376,0.1559572372072372,0.03943096225700804,0.3333333333333333,0.2727272727272727,0.03341446826313594,False,False
Logan Cooley,logan cooley,UTA,0.3870967741935484,31,17.83978494623656,goals,UTA,UTA,3,top,Logan Cooley,28,11,9,0.037072220813912274,-0.09495617583391876,0.06677463171046874,0.18519605394605393,0.10436905405154469,0.3333333333333333,0.2727272727272727,0.1617308075443875,False,False
Brandon Tanev,brandon tanev,UTA,0.05555555555555555,18,8.988888888888889,points,UTA,UTA,1,bottom,Brandon Tanev,15,7,5,-0.01041461262049497,-0.07781073968048757,0.1180952380952381,-0.06734006734006734,0.41259715809173797,0.2,0.0,0.19590597777572566,False,False
Nate Schmidt,nate schmidt,UTA,0.16129032258064516,31,19.3747311827957,points,UTA,UTA,2,bottom,Nate Schmidt,28,11,9,0.07211670397429659,0.14343233336963743,0.11370983345452768,-0.0727345571095571,-0.047602312778690696,0.2222222222222222,0.2727272727272727,-0.02972249991510975,False,False
Kevin Stenlund,kevin stenlund,UTA,0.23333333333333334,30,14.063333333333333,points,UTA,UTA,3,bottom,Kevin Stenlund,27,10,9,-0.02313310645671725,-0.05784407674062847,-0.33981104608039586,0.37651828847481017,-0.2607251820205219,0.0,0.2,-0.2819669693397674,False,False
Clayton Keller,clayton keller,UTA,1.2580645161290323,31,19.674731182795696,points,UTA,UTA,1,top,Clayton Keller,28,11,9,0.013986618183428834,0.051259366431780216,0.11410272389318471,-0.14989402958152953,0.11841442799723757,0.3333333333333333,0.45454545454545453,0.06284335746140449,False,False
Dylan Guenther,dylan guenther,UTA,1.0333333333333334,30,18.445555555555554,points,UTA,UTA,2,top,Dylan Guenther,27,11,9,0.056890247512551624,-0.10220439841129494,0.43750919640676,-0.18247110032824318,0.29063891929047164,0.5555555555555556,0.2727272727272727,0.5397135948180549,True,False
Mikhail Sergachev,mikhail sergachev,UTA,0.9629629629629629,27,24.785802469135803,points,UTA,UTA,3,top,Mikhail Sergachev,24,11,8,-0.014072797310699445,0.16367969355297876,-0.2853335261229998,0.02888888888888892,-0.26990184457370636,0.0,0.5454545454545454,-0.4490132196759785,False,False
John Marino,john marino,UTA,0.4827586206896552,29,20.236206896551725,shots,UTA,UTA,1,bottom,John Marino,26,10,9,0.0860217452624677,0.06155981216850783,0.1755260973785226,0.005890339818911247,0.1247585853021095,0.5555555555555556,0.3,0.11396628521001476,False,False
Alexander Kerfoot,alexander kerfoot,UTA,0.7096774193548387,31,14.313440860215053,shots,UTA,UTA,2,bottom,Alexander Kerfoot,28,11,9,0.2041418859132799,0.03344392864769041,0.4472686464194966,0.1653339715839716,0.13164419291347984,0.6666666666666666,0.5454545454545454,0.4138247177718062,False,False
Ian Cole,ian cole,UTA,0.8064516129032258,31,18.19462365591398,shots,UTA,UTA,3,bottom,Ian Cole,28,11,9,0.08293110426933151,0.17209964655105722,-0.2606147366141982,0.34681342962592965,-0.27270252885153545,0.4444444444444444,0.6363636363636364,-0.43271438316525546,False,False
Dylan Guenther,dylan guenther,UTA,3.033333333333333,30,18.445555555555554,shots,UTA,UTA,1,top,Dylan Guenther,27,11,9,0.3168415876849191,1.1873784917045105,0.03502457004498548,-0.6888088102373817,-0.15340623692606442,0.6666666666666666,0.6363636363636364,-1.152353921659525,False,False
