Unnamed: 0,Line,Position,GP,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %,Unnamed: 53,Player.1,Unnamed: 55,Unnamed: 56,season_id,sit,team_filter,fetched_at,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %,Player,Team,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,Player 2,line_sit,source
31,,C,3.0,34.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20252026,5v5,VGK,2026-06-03T01:58:36.991732+00:00,,,,,,,,,,Kai Uchacz,,0.0,0.0,0.0,0.0,0.0,0.00,2.0,0.00,0.14,3.0,2.0,1.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0,3.0,3.0,12.0,13.0,48.00,,,
28,,C,3.0,1.2166666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20252026,pp,VGK,2026-06-03T01:58:48.138145+00:00,,,,,,,,,,Kai Uchacz,,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,33.33,,,
1023,,D,1.0,20.033333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20252026,5v5,ALL,2026-06-03T11:27:40.246077+00:00,,,,,,,,,,Jake Livanavage,PIT,0.0,0.0,0.0,0.0,0.0,0.00,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-,,,
904,,D,1.0,2.8666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20252026,pp,ALL,2026-06-03T11:27:41.216441+00:00,,,,,,,,,,Jake Livanavage,PIT,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,,
1,Sean Walker - K'Andre Miller,,72.0,901:13,1091.0,679.0,61.64,769.0,480.0,61.57,474.0,322.0,59.55,38.0,40.0,48.72,46.99,34.87,57.41,517.0,353.0,59.43,208.0,153.0,57.62,22.0,26.0,45.83,309.0,200.0,60.71,10.0,12.0,45.45,649.0,359.0,64.38,6.0,2.0,75.00,8.02,87.58,0.956,,,,,,,,,,,,,,20252026,5v5,CAR,2026-06-09T17:04:23.589604+00:00,157.0,193.0,101.0,468.0,60.85,350.0,305.0,252.0,58.14,Sean Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K'Andre Miller,5v5,pairings
2,Jaccob Slavin - Jalen Chatfield,,38.0,512:59,563.0,386.0,59.33,423.0,291.0,59.24,252.0,190.0,57.01,23.0,19.0,54.76,25.88,20.92,55.29,257.0,194.0,56.98,115.0,97.0,54.25,11.0,9.0,55.00,142.0,97.0,59.41,8.0,8.0,50.00,348.0,216.0,61.70,4.0,2.0,66.67,9.13,90.00,0.991,,,,,,,,,,,,,,20252026,5v5,CAR,2026-06-09T17:04:23.589604+00:00,71.0,116.0,65.0,193.0,52.21,165.0,175.0,150.0,52.38,Jaccob Slavin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jalen Chatfield,5v5,pairings
3,Shayne Gostisbehere - Alexander Nikishin,,54.0,323:35,387.0,250.0,60.75,281.0,180.0,60.95,182.0,116.0,61.07,18.0,15.0,54.55,19.08,13.47,58.61,185.0,128.0,59.11,84.0,60.0,58.33,11.0,5.0,68.75,101.0,68.0,59.76,7.0,8.0,46.67,251.0,131.0,65.71,0.0,2.0,0.00,9.89,87.07,0.970,,,,,,,,,,,,,,20252026,5v5,CAR,2026-06-09T17:04:23.589604+00:00,75.0,65.0,20.0,166.0,78.95,168.0,105.0,57.0,74.67,Shayne Gostisbehere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Nikishin,5v5,pairings
4,Sean Walker - Alexander Nikishin,,80.0,280:19,325.0,219.0,59.74,225.0,158.0,58.75,140.0,104.0,57.38,14.0,12.0,53.85,15.07,11.23,57.30,158.0,112.0,58.52,63.0,53.0,54.31,5.0,4.0,55.56,95.0,59.0,61.69,5.0,5.0,50.00,194.0,115.0,62.78,4.0,3.0,57.14,10.00,88.46,0.985,,,,,,,,,,,,,,20252026,5v5,CAR,2026-06-09T17:04:23.589604+00:00,47.0,53.0,40.0,245.0,54.02,97.0,91.0,87.0,52.72,Sean Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Nikishin,5v5,pairings
5,Shayne Gostisbehere - Jalen Chatfield,,47.0,264:56,284.0,198.0,58.92,220.0,159.0,58.05,139.0,88.0,61.23,16.0,9.0,64.00,11.3,12.2,48.08,121.0,96.0,55.76,44.0,53.0,45.36,5.0,4.0,55.56,77.0,43.0,64.17,8.0,5.0,61.54,202.0,114.0,63.92,3.0,0.0,100.00,11.51,89.77,1.013,,,,,,,,,,,,,,20252026,5v5,CAR,2026-06-09T17:04:23.589604+00:00,58.0,60.0,26.0,159.0,69.05,127.0,108.0,60.0,67.91,Shayne Gostisbehere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jalen Chatfield,5v5,pairings
6,Alexander Nikishin - Joel Nystrom,,37.0,220:51,256.0,188.0,57.66,172.0,148.0,53.75,112.0,101.0,52.58,10.0,7.0,58.82,12.21,10.53,53.70,114.0,102.0,52.78,45.0,45.0,50.00,3.0,4.0,42.86,69.0,57.0,54.76,4.0,3.0,57.14,169.0,102.0,62.36,3.0,0.0,100.00,8.93,93.07,1.020,,,,,,,,,,,,,,20252026,5v5,CAR,2026-06-09T17:04:23.589604+00:00,44.0,57.0,28.0,117.0,61.11,94.0,90.0,52.0,64.38,Alexander Nikishin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joel Nystrom,5v5,pairings
