player,team,prop_type,actual
Aleksa Ristic,IU,3-PT Attempted,0.0
Aleksa Ristic,IU,Two Pointers Made,0.0
Aleksa Ristic,IU,Two Pointers Attempted,0.0
Aleksa Ristic,IU,Free Throws Made,0.0
Aleksa Ristic,IU,Free Throws Attempted,0.0
Aleksa Ristic,IU,Offensive Rebounds,0.0
Aleksa Ristic,IU,Defensive Rebounds,0.0
Aleksa Ristic,IU,Personal Fouls,0.0
Aleksa Ristic,IU,Fantasy Score,0.0
Aleksa Ristic,IU,Pts+Rebs+Asts,0.0
Aleksa Ristic,IU,PRA,0.0
Aleksa Ristic,IU,Pts+Rebs,0.0
Aleksa Ristic,IU,Pts+Asts,0.0
Aleksa Ristic,IU,Rebs+Asts,0.0
Aleksa Ristic,IU,Blks+Stls,0.0
Tayton Conerway,IU,Points,12.0
Tayton Conerway,IU,Rebounds,2.0
Tayton Conerway,IU,Assists,7.0
Tayton Conerway,IU,Blocked Shots,0.0
Tayton Conerway,IU,Steals,0.0
Tayton Conerway,IU,Turnovers,3.0
Tayton Conerway,IU,FG Made,5.0
Tayton Conerway,IU,FG Attempted,7.0
Tayton Conerway,IU,3-PT Made,0.0
Tayton Conerway,IU,3-PT Attempted,2.0
Tayton Conerway,IU,Two Pointers Made,5.0
Tayton Conerway,IU,Two Pointers Attempted,5.0
Tayton Conerway,IU,Free Throws Made,2.0
Tayton Conerway,IU,Free Throws Attempted,3.0
Tayton Conerway,IU,Offensive Rebounds,0.0
Tayton Conerway,IU,Defensive Rebounds,2.0
Tayton Conerway,IU,Personal Fouls,2.0
Tayton Conerway,IU,Fantasy Score,28.0
Tayton Conerway,IU,Pts+Rebs+Asts,21.0
Tayton Conerway,IU,PRA,21.0
Tayton Conerway,IU,Pts+Rebs,14.0
Tayton Conerway,IU,Pts+Asts,19.0
Tayton Conerway,IU,Rebs+Asts,9.0
Tayton Conerway,IU,Blks+Stls,0.0
Jasai Miles,IU,Points,3.0
Jasai Miles,IU,Rebounds,1.0
Jasai Miles,IU,Assists,1.0
Jasai Miles,IU,Blocked Shots,0.0
Jasai Miles,IU,Steals,0.0
Jasai Miles,IU,Turnovers,1.0
Jasai Miles,IU,FG Made,1.0
Jasai Miles,IU,FG Attempted,4.0
Jasai Miles,IU,3-PT Made,1.0
Jasai Miles,IU,3-PT Attempted,4.0
Jasai Miles,IU,Two Pointers Made,0.0
Jasai Miles,IU,Two Pointers Attempted,0.0
Jasai Miles,IU,Free Throws Made,0.0
Jasai Miles,IU,Free Throws Attempted,0.0
Jasai Miles,IU,Offensive Rebounds,0.0
Jasai Miles,IU,Defensive Rebounds,1.0
Jasai Miles,IU,Personal Fouls,1.0
Jasai Miles,IU,Fantasy Score,5.8
Jasai Miles,IU,Pts+Rebs+Asts,5.0
Jasai Miles,IU,PRA,5.0
Jasai Miles,IU,Pts+Rebs,4.0
Jasai Miles,IU,Pts+Asts,4.0
Jasai Miles,IU,Rebs+Asts,2.0
Jasai Miles,IU,Blks+Stls,0.0
Trey Kaufman-Renn,PUR,Points,20.0
Trey Kaufman-Renn,PUR,Rebounds,6.0
Trey Kaufman-Renn,PUR,Assists,5.0
Trey Kaufman-Renn,PUR,Blocked Shots,0.0
Trey Kaufman-Renn,PUR,Steals,0.0
Trey Kaufman-Renn,PUR,Turnovers,0.0
Trey Kaufman-Renn,PUR,FG Made,8.0
Trey Kaufman-Renn,PUR,FG Attempted,10.0
Trey Kaufman-Renn,PUR,3-PT Made,0.0
Trey Kaufman-Renn,PUR,3-PT Attempted,0.0
Trey Kaufman-Renn,PUR,Two Pointers Made,8.0
Trey Kaufman-Renn,PUR,Two Pointers Attempted,10.0
Trey Kaufman-Renn,PUR,Free Throws Made,4.0
Trey Kaufman-Renn,PUR,Free Throws Attempted,8.0
Trey Kaufman-Renn,PUR,Offensive Rebounds,4.0
Trey Kaufman-Renn,PUR,Defensive Rebounds,2.0
Trey Kaufman-Renn,PUR,Personal Fouls,1.0
Trey Kaufman-Renn,PUR,Fantasy Score,39.5
Trey Kaufman-Renn,PUR,Pts+Rebs+Asts,31.0
Trey Kaufman-Renn,PUR,PRA,31.0
Trey Kaufman-Renn,PUR,Pts+Rebs,26.0
Trey Kaufman-Renn,PUR,Pts+Asts,25.0
Trey Kaufman-Renn,PUR,Rebs+Asts,11.0
Trey Kaufman-Renn,PUR,Blks+Stls,0.0
