player_name,star_tier,team_abbreviation,notes
Cecilia Zandalasini,2,GSV,Reliable starter
Celeste Taylor,2,PHX,Reliable starter
Cerina Martins,2,BRZL,Reliable starter
Charlisse Leger-Walker,2,CON,Reliable starter
Chennedy Carter,2,LVA,Reliable starter
Chloe Bibby,2,POR,Reliable starter
Cotie McMahon,2,WSH,Reliable starter
Courtney Vandersloot,2,CHI,Reliable starter
Courtney Williams,2,MIN,Reliable starter
Dana Evans,2,LVA,Reliable starter
Dara Mabrey,2,TOR,Reliable starter
Derin Erdogan,2,NYL,Reliable starter
DiJonai Carrington,2,CON,Reliable starter
Diamond Miller,2,CON,Reliable starter
Diana Taurasi,2,PHX,Reliable starter
Dominique Malonga,2,SEA,Reliable starter
Elizabeth Balogun,2,TOR,Reliable starter
Elizabeth Williams,2,CHI,Reliable starter
Emanuely de Oliveria,2,BRZL,Reliable starter
Emily Engstler,2,POR,Reliable starter
Emma Cechova,2,MIN,Reliable starter
Emma Meesseman,2,WSH,Reliable starter
Erica Wheeler,2,SEA,Reliable starter
Ezi Magbegor,2,SEA,Reliable starter
Ezinne Kalu,2,NIGER,Reliable starter
Favour Nwaedozi,2,NIGER,Reliable starter
Flau'jae Johnson,2,SEA,Reliable starter
Frieda Buhner,2,POR,Reliable starter
Gabby White,2,NIGER,Reliable starter
Gabby Williams,2,SEA,Reliable starter
Gabriela Jaquez,2,CHI,Reliable starter
Georgia Amoore,2,WSH,Reliable starter
Gianna Kneepkens,2,CON,Reliable starter
Grace Berger,2,DAL,Reliable starter
Hailey Van Lith,2,CON,Reliable starter
Han Xu,2,NYL,Reliable starter
Harmoni Turner,2,CON,Reliable starter
Holly Winterburn,2,ATL,Reliable starter
Iliana Rupert,2,GSV,Reliable starter
Iza Nicoletti,2,BRZL,Reliable starter
JJ Quinerly,2,DAL,Reliable starter
Jacy Sheldon,2,CHI,Reliable starter
Jade Melbourne,2,WSH,Reliable starter
Janelle Salaun,2,GSV,Reliable starter
Jessica Shepard,2,DAL,Reliable starter
Jordan Harrison,2,POR,Reliable starter
Jordan Horston,2,SEA,Reliable starter
Jordin Canada,2,ATL,Reliable starter
Jovana Nogic,2,PHX,Reliable starter
Julie Allemand,2,LAS,Reliable starter
Julie Vanloo,2,GSV,Reliable starter
Kadysha Juna Umezawa,2,JPN,Reliable starter
Kaila Charles,2,GSV,Reliable starter
Kamiah Smalls,2,POR,Reliable starter
Kamilla Cardoso,2,CHI,Reliable starter
Karlie Samuelson,2,MIN,Reliable starter
Kate Martin,2,GSV,Reliable starter
Kathryn Westbeld,2,PHX,Reliable starter
Kayla McBride,2,MIN,Reliable starter
Kayla Thornton,2,NYL,Reliable starter
Kelsey Mitchell,2,IND,Reliable starter
Kennedy Burke,2,CON,Reliable starter
Kia Nurse,2,CHI,Reliable starter
Kiah Stokes,2,GSV,Reliable starter
Kiki Iriafen,2,WSH,Reliable starter
Kiki Rice,2,TOR,Reliable starter
Kitija Laksa,2,PHX,Reliable starter
Kokoro Tanaka,2,JPN,Reliable starter
Laura Juskaite,2,TOR,Reliable starter
Lauren Betts,2,WSH,Reliable starter
Leila Lacan,2,CON,Reliable starter
Leonie Fiebich,2,NYL,Reliable starter
Lexi Held,2,PHX,Reliable starter
Lexie Hull,2,IND,Reliable starter
Li Yueru,2,DAL,Reliable starter
Liatu King,2,MIN,Reliable starter
Licinara Rodrigues,2,BRZL,Reliable starter
Lindsay Allen,2,CON,Reliable starter
Luisa Geiselsoder,2,POR,Reliable starter
Maddison Rocci,2,TOR,Reliable starter
Maddy Siegrist,2,DAL,Reliable starter
Madina Okot,2,ATL,Reliable starter
Mai Yamamoto,2,JPN,Reliable starter
Maika Miura,2,TOY,Reliable starter
Maite Cazorla,2,ATL,Reliable starter
Mana Kaneda,2,TOY,Reliable starter
Manu Alves,2,BRZL,Reliable starter
Maria Conde,2,TOR,Reliable starter
Marina Mabrey,2,CHI,Reliable starter
Marine Johannes,2,NYL,Reliable starter
Marta Suarez,2,GSV,Reliable starter
Michaela Onyenwere,2,CHI,Reliable starter
Minami Yabu,2,JPN,Reliable starter
Mio Shiraishi,2,JPN,Reliable starter
Miyuu Okamoto,2,TOY,Reliable starter
Moe Nagata,2,TOY,Reliable starter
Mona Tateyama,2,JPN,Reliable starter
Monique Akoa Makani,2,PHX,Reliable starter
Monique Billings,2,IND,Reliable starter
Morgan Maly,2,PHX,Reliable starter
Myisha Hines-Allen,2,DAL,Reliable starter
NaLyssa Smith,2,IND,Reliable starter
Nanako Todo,2,JPN,Reliable starter
Nanami Tsuno,2,JPN,Reliable starter
Natasha Cloud,2,NYL,Reliable starter
Natasha Howard,2,IND,Reliable starter
Natasha Mack,2,PHX,Reliable starter
Natisha Hiedeman,2,SEA,Reliable starter
Naz Hillmon,2,ATL,Reliable starter
Nell Angloma,2,CON,Reliable starter
Nia Coffey,2,MIN,Reliable starter
