sport,pipeline,pick_type,tier,direction,prop,n_total,base_hit_rate,recommended_min_ml_prob,recommended_n,recommended_hit_rate,lift_vs_base,avg_calibration_gap,policy_status,gate_tier_target,gate_action,gate_tier_proposed,gate_profile,gate_notes,demon_floor_action
MLB,MLB,GOBLIN,D,OVER,Pitcher Strikeouts,162,0.654320987654321,,162,0.654320987654321,0.0,0.23168180581028808,OK,D,HOLD,D,GOBLIN,at_target,
NBA,NBA,GOBLIN,C,OVER,Blks+Stls,158,0.6392405063291139,,158,0.6392405063291139,0.0,0.16624200433723052,OK,D,DEMOTE_1,D,GOBLIN,below_current_tier_gates,
Soccer,Soccer,DEMON,B,OVER,Tackles,152,0.21710526315789475,,152,0.21710526315789475,0.0,0.2115873192217993,HOLDOUT_RECALIBRATE,B,DEMON_KEEP,B,DEMON_KEEP,demon_no_retier_holdout,HOLDOUT
NBA,NBA,STANDARD,D,OVER,Personal Fouls,145,0.4827586206896552,,145,0.4827586206896552,0.0,0.2692009319804926,OK,D,HOLD,D,STANDARD_OVER,at_target,
NHL,NHL,GOBLIN,C,OVER,Shots On Goal,142,0.0,,142,0.0,0.0,0.39326391755725965,OK,D,DEMOTE_1,D,GOBLIN,below_current_tier_gates,
NBA,NBA,STANDARD,C,OVER,Pts+Asts,138,0.47101449275362317,,138,0.47101449275362317,0.0,0.27498246621227956,OK,D,DEMOTE_1,D,STANDARD_OVER,below_current_tier_gates,
NBA,NBA,STANDARD,D,UNDER,Defensive Rebounds,136,0.5441176470588235,,136,0.5441176470588235,0.0,0.16095876808304405,OK,D,HOLD,D,STANDARD_UNDER,at_target,
Soccer,Soccer,DEMON,A,OVER,Goal + Assist,135,0.06666666666666667,,135,0.06666666666666667,0.0,0.06465539339528488,OK,A,DEMON_KEEP,A,DEMON_KEEP,demon_floor_thin_sample,HOLD
MLB,MLB,DEMON,A,OVER,Walks,129,0.18604651162790697,,129,0.18604651162790697,0.0,0.1837089447002717,OK,A,DEMON_KEEP,A,DEMON_KEEP,demon_floor_thin_sample,HOLD
NBA,NBA,STANDARD,D,UNDER,Offensive Rebounds,128,0.5703125,,128,0.5703125,0.0,0.2294225342356558,OK,D,HOLD,D,STANDARD_UNDER,at_target,
CBB,CBB,GOBLIN,D,OVER,pts,127,0.6377952755905512,,127,0.6377952755905512,0.0,0.20839478602179606,OK,D,HOLD,D,GOBLIN,at_target,
NBA,NBA,DEMON,D,OVER,3-PT Attempted,122,0.5,,122,0.5,0.0,0.29914978692194377,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_thin_sample,HOLD
