sport_disp,prop,direction,pick_type,line_bucket,n,hits,mean_ml,context_known_rate,defense_known_rate,minutes_known_rate,hit_rate
NBA,Rebounds,OVER,,low,69,43.0,,1.0,0.0,0.0,0.6231884057971014
NBA,Rebounds,UNDER,,low,69,26.0,,1.0,0.0,0.0,0.37681159420289856
NBA,Two Pointers Made,OVER,Demon,mid,69,38.0,0.6565916436301761,1.0,1.0,0.7101449275362319,0.5507246376811594
NBA,FG Made,UNDER,Standard,low,68,32.0,0.46663889239905404,1.0,1.0,0.7941176470588235,0.47058823529411764
NBA,FTA,OVER,,high,65,9.0,,1.0,0.0,0.0,0.13846153846153847
NBA,FTA,UNDER,,high,65,56.0,,1.0,0.0,0.0,0.8615384615384616
NBA,Points (Combo),OVER,Standard,xl,63,39.0,,1.0,0.0,0.0,0.6190476190476191
NBA,Rebs+Asts,OVER,Standard,xl,63,31.0,0.7288402191411727,1.0,1.0,0.746031746031746,0.49206349206349204
NBA,Blocked Shots,UNDER,Standard,micro,62,33.0,0.5706707038000858,1.0,1.0,0.7741935483870968,0.532258064516129
NBA,3-PT Made (Combo),UNDER,Standard,mid,59,35.0,,1.0,0.0,0.0,0.5932203389830508
NBA,FG Attempted,OVER,Goblin,mid,58,36.0,0.760860106033779,1.0,1.0,0.8275862068965517,0.6206896551724138
NBA,FG Made,UNDER,Standard,high,56,26.0,0.47251931614214354,1.0,1.0,0.8571428571428571,0.4642857142857143
NBA,Rebs+Asts,OVER,Goblin,xl,55,37.0,0.807645662921987,1.0,1.0,0.8181818181818182,0.6727272727272727
NBA,Free Throws Made,UNDER,Standard,mid,53,15.0,0.4985693647048934,1.0,1.0,0.8867924528301887,0.2830188679245283
NBA,Steals,OVER,Goblin,low,52,27.0,0.7781665926138364,1.0,1.0,0.8076923076923077,0.5192307692307693
NBA,Pts+Asts,OVER,Standard,mid,48,18.0,0.7183396401454645,1.0,1.0,0.7916666666666666,0.375
NBA,Two Pointers Attempted,UNDER,Standard,low,46,23.0,0.47637896840515626,1.0,1.0,0.6521739130434783,0.5
NBA,Steals,OVER,Standard,low,45,24.0,0.6836159841358526,1.0,1.0,0.8222222222222222,0.5333333333333333
NBA,FG Made,OVER,Standard,high,42,14.0,0.6420420306913792,1.0,1.0,0.7380952380952381,0.3333333333333333
NBA,Double-Double,OVER,Goblin,micro,40,24.0,0.89778,1.0,1.0,0.0,0.6
NBA,FG Attempted,OVER,Goblin,high,40,24.0,0.8332005720498451,1.0,1.0,0.875,0.6
NBA,Turnovers,UNDER,Standard,micro,38,26.0,0.5690249039124193,1.0,1.0,0.7105263157894737,0.6842105263157895
NBA,3-PT Made (Combo),OVER,Standard,mid,35,17.0,,1.0,0.0,0.0,0.4857142857142857
NBA,Blocked Shots,OVER,Goblin,low,35,21.0,0.7484590529016528,1.0,1.0,0.8857142857142857,0.6
NBA,FG Attempted,OVER,Demon,high,35,16.0,0.7351502752034694,1.0,1.0,0.8,0.45714285714285713
NBA,Steals,UNDER,Standard,low,35,21.0,0.5185734938465295,1.0,1.0,0.8285714285714286,0.6
NBA,Defensive Rebounds,UNDER,Standard,low,34,19.0,0.6343384615384615,1.0,1.0,0.0,0.5588235294117647
NBA,Pts+Rebs+Asts,OVER,Goblin,mid,34,20.0,0.7730931572154726,1.0,1.0,0.9705882352941176,0.5882352941176471
NBA,3-PT Attempted,UNDER,Standard,high,30,19.0,0.49460388470799344,1.0,1.0,0.5333333333333333,0.6333333333333333
NBA,Assists,OVER,Goblin,high,29,24.0,0.8762136626509197,1.0,1.0,0.7586206896551724,0.8275862068965517
NBA,Blks+Stls,OVER,Standard,micro,28,7.0,0.6357997305240364,1.0,1.0,0.8928571428571429,0.25
NBA,FG Attempted,OVER,Demon,mid,28,19.0,0.6684439116144737,1.0,1.0,0.7857142857142857,0.6785714285714286
NBA,Turnovers,OVER,Demon,micro,28,14.0,0.505245168290258,1.0,1.0,0.7142857142857143,0.5
NBA,3-PT Attempted,OVER,Goblin,micro,27,23.0,0.8192773731918979,1.0,1.0,0.5925925925925926,0.8518518518518519
NBA,Free Throws Made,UNDER,Standard,micro,27,15.0,0.5448766923072631,1.0,1.0,0.3333333333333333,0.5555555555555556
NBA,Assists,OVER,Standard,high,26,18.0,0.8131358079283348,1.0,1.0,0.6538461538461539,0.6923076923076923
NBA,Free Throws Attempted,OVER,Demon,mid,26,19.0,0.5312640490570625,1.0,1.0,0.8461538461538461,0.7307692307692307
NBA,Assists (Combo),OVER,Standard,high,25,12.0,,1.0,0.0,0.0,0.48
NBA,3-PT Made,UNDER,Standard,micro,24,17.0,0.5422044518826133,1.0,1.0,0.75,0.7083333333333334
NBA,Defensive Rebounds,UNDER,Standard,high,24,13.0,0.3895047383853352,1.0,1.0,0.0,0.5416666666666666
NBA,Offensive Rebounds,OVER,Demon,low,24,6.0,0.5983416666666667,1.0,1.0,0.0,0.25
NBA,Blocked Shots,OVER,Standard,low,23,10.0,0.68339375,1.0,1.0,0.6956521739130435,0.43478260869565216
NBA,Rebs+Asts,OVER,Standard,low,23,14.0,0.66195148093844,1.0,1.0,0.8695652173913043,0.6086956521739131
NBA,3-PT Attempted,OVER,Standard,high,22,8.0,0.646398937790878,1.0,1.0,0.8636363636363636,0.36363636363636365
NBA,3-PT Made,OVER,Standard,micro,22,13.0,0.6001933333333334,1.0,1.0,0.8636363636363636,0.5909090909090909
NBA,Assists (Combo),UNDER,Standard,mid,22,12.0,0.4202009142739921,1.0,0.0,0.0,0.5454545454545454
NBA,Free Throws Attempted,UNDER,Standard,micro,21,11.0,0.5918080777927186,1.0,1.0,0.47619047619047616,0.5238095238095238
NBA,Personal Fouls,OVER,Goblin,micro,21,14.0,0.8137131335459705,1.0,1.0,0.7619047619047619,0.6666666666666666
NBA,Triple-Double,OVER,Demon,micro,21,1.0,0.8281428571428572,1.0,1.0,0.0,0.047619047619047616
NBA,Assists,UNDER,Standard,high,20,10.0,0.512347907488666,1.0,1.0,0.95,0.5
NBA,Offensive Rebounds,UNDER,Standard,mid,19,8.0,0.53315,1.0,1.0,0.0,0.42105263157894735
NBA,Rebs+Asts,OVER,Demon,low,19,4.0,0.5883467487433931,1.0,1.0,0.8947368421052632,0.21052631578947367
NBA,Pts+Asts,UNDER,Standard,mid,18,8.0,0.4890759834462922,1.0,1.0,0.7222222222222222,0.4444444444444444
NBA,Blks+Stls,UNDER,Standard,micro,17,9.0,0.5677996805662828,1.0,1.0,0.7058823529411765,0.5294117647058824
NBA,Offensive Rebounds,OVER,Goblin,micro,17,12.0,0.8622470588235294,1.0,1.0,0.0,0.7058823529411765
NBA,Rebs+Asts,UNDER,Standard,xl,17,5.0,0.4002849279870777,1.0,1.0,0.8823529411764706,0.29411764705882354
NBA,Two Pointers Made,OVER,Standard,micro,17,12.0,0.7416602279834024,1.0,1.0,0.8823529411764706,0.7058823529411765
NBA,Offensive Rebounds,OVER,Demon,micro,16,6.0,0.7132125,1.0,1.0,0.0,0.375
NBA,Rebounds (Combo),OVER,Standard,high,16,10.0,,1.0,0.0,0.0,0.625
NBA,Assists,OVER,Demon,micro,15,10.0,0.5043151705021646,1.0,1.0,0.8,0.6666666666666666
NBA,Assists,OVER,Standard,micro,15,6.0,0.6417285714285714,1.0,1.0,0.8,0.4
NBA,Blocked Shots,UNDER,Standard,low,15,9.0,0.5138194837579794,1.0,1.0,0.7333333333333333,0.6
NBA,Two Pointers Attempted,OVER,Demon,high,15,8.0,0.599778959641286,1.0,1.0,0.8,0.5333333333333333
NBA1H,Pts+Rebs+Asts,OVER,Standard,high,319,240.0,0.8989543571385262,1.0,0.9435736677115988,0.5956112852664577,0.7523510971786834
NBA1H,Points,OVER,Standard,mid,288,192.0,0.9005002312210395,1.0,0.9236111111111112,0.5069444444444444,0.6666666666666666
NBA1H,Points,OVER,Standard,high,280,175.0,0.897932362633189,1.0,0.8571428571428571,0.5285714285714286,0.625
NBA1H,Pts+Rebs+Asts,OVER,Standard,xl,182,122.0,0.8955100186088722,1.0,0.7857142857142857,0.521978021978022,0.6703296703296703
