sport,direction,pick_type,prop,bin_index,mean_pred,mean_true,gap,n_stratum,flagged
NBA,OVER,Goblin,Free Throws Attempted,1,0.5491391304347827,0.391304347826087,0.1578347826086957,232,True
NBA,OVER,Goblin,Free Throws Attempted,2,0.5686378378378381,0.7297297297297297,0.16109189189189166,232,True
NBA,OVER,Goblin,Free Throws Attempted,3,0.5819000000000001,0.6666666666666666,0.08476666666666655,232,True
NBA,OVER,Goblin,Free Throws Attempted,5,0.6764734456199492,0.47368421052631576,0.2027892350936334,232,True
NBA,OVER,Goblin,Free Throws Attempted,6,0.7204994590322074,0.6086956521739131,0.11180380685829427,232,True
NBA,OVER,Goblin,Free Throws Attempted,7,0.8756806670305946,0.6956521739130435,0.1800284931175511,232,True
NBA,OVER,Goblin,Free Throws Attempted,8,0.909513060627786,0.6666666666666666,0.2428463939611194,232,True
NBA,OVER,Goblin,Free Throws Attempted,9,0.9138091495346299,0.6956521739130435,0.21815697562158642,232,True
NBA,OVER,Goblin,Free Throws Made,1,0.5639732906627655,0.4,0.16397329066276545,240,True
NBA,OVER,Goblin,Free Throws Made,2,0.6090071275472824,0.7058823529411765,0.09687522539389415,240,True
NBA,OVER,Goblin,Free Throws Made,3,0.6493421380627653,0.5,0.1493421380627653,240,True
NBA,OVER,Goblin,Free Throws Made,4,0.6976405558257999,0.8333333333333334,0.1356927775075335,240,True
NBA,OVER,Goblin,Free Throws Made,6,0.8798924044772661,0.4166666666666667,0.46322573781059945,240,True
NBA,OVER,Goblin,Free Throws Made,7,0.9094732319669512,0.5416666666666666,0.36780656530028455,240,True
NBA,OVER,Goblin,Free Throws Made,8,0.9118182122578782,0.6666666666666666,0.24515154559121155,240,True
NBA,OVER,Goblin,Free Throws Made,9,0.9175490996812047,0.6666666666666666,0.25088243301453805,240,True
NBA,OVER,Goblin,Personal Fouls,0,0.3582018312825477,0.5,0.14179816871745232,395,True
NBA,OVER,Goblin,Personal Fouls,1,0.5490302333817904,0.4375,0.11153023338179036,395,True
NBA,OVER,Goblin,Personal Fouls,4,0.6490673360340498,0.48717948717948717,0.1618878488545626,395,True
NBA,OVER,Goblin,Personal Fouls,5,0.6763276112292711,0.5641025641025641,0.112225047126707,395,True
NBA,OVER,Goblin,Personal Fouls,7,0.9003827789790687,0.5945945945945946,0.3057881843844741,395,True
NBA,OVER,Goblin,Personal Fouls,8,0.9100685732571906,0.5128205128205128,0.3972480604366778,395,True
NBA,OVER,Goblin,Personal Fouls,9,0.9131621120407223,0.55,0.36316211204072224,395,True
NBA,OVER,Goblin,Points,0,0.4354818551501824,0.6370597243491577,0.2015778691989753,6521,True
NBA,OVER,Goblin,Points,5,0.8874748945850167,0.6165644171779141,0.2709104774071026,6521,True
NBA,OVER,Goblin,Points,6,0.9078904420475475,0.6656441717791411,0.2422462702684064,6521,True
NBA,OVER,Goblin,Points,7,0.9100227464267633,0.6380368098159509,0.2719859366108124,6521,True
NBA,OVER,Goblin,Points,8,0.9117198839684386,0.6855828220858896,0.226137061882549,6521,True
NBA,OVER,Goblin,Points,9,0.9140507664974635,0.7315950920245399,0.18245567447292366,6521,True
NBA,OVER,Goblin,Pts+Asts,0,0.40540863767307583,0.6181318681318682,0.21272323045879232,3581,True
NBA,OVER,Goblin,Pts+Asts,5,0.85748690569425,0.637883008356546,0.21960389733770402,3581,True
NBA,OVER,Goblin,Pts+Asts,6,0.9069485421848178,0.6302521008403361,0.2766964413444817,3581,True
NBA,OVER,Goblin,Pts+Asts,7,0.9098009312339339,0.6703910614525139,0.23940986978141998,3581,True
NBA,OVER,Goblin,Pts+Asts,8,0.9119160467817162,0.6703910614525139,0.2415249853292023,3581,True
NBA,OVER,Goblin,Pts+Asts,9,0.9146524734638296,0.7402234636871509,0.17442900977667875,3581,True
NBA,OVER,Goblin,Pts+Rebs,0,0.4303353462612069,0.5819672131147541,0.15163186685354718,4596,True
NBA,OVER,Goblin,Pts+Rebs,5,0.8734228283452056,0.596529284164859,0.2768935441803466,4596,True
NBA,OVER,Goblin,Pts+Rebs,6,0.9074881581244166,0.6332622601279317,0.2742258979964849,4596,True
NBA,OVER,Goblin,Pts+Rebs,7,0.9099136913856339,0.6755555555555556,0.23435813583007836,4596,True
NBA,OVER,Goblin,Pts+Rebs,8,0.9119120911466682,0.6899563318777293,0.22195575926893885,4596,True
NBA,OVER,Goblin,Pts+Rebs,9,0.914874979811266,0.7326086956521739,0.18226628415909207,4596,True
NBA,OVER,Goblin,Pts+Rebs+Asts,0,0.41566257047511046,0.5656192236598891,0.1499566531847787,5409,True
NBA,OVER,Goblin,Pts+Rebs+Asts,5,0.8983809590007313,0.5766871165644172,0.32169384243631416,5409,True
NBA,OVER,Goblin,Pts+Rebs+Asts,6,0.9068347198220638,0.5970425138632163,0.3097922059588475,5409,True
