sport_disp,pipeline_group,tier_group,prop,direction,pick_type_group,def_tier_norm,line_bucket,n,hits,mean_ml,context_known_rate,defense_known_rate,minutes_known_rate,hit_rate
NBA,NBA,A,Pts+Rebs+Asts,UNDER,Standard UNDER,Avg,xl,29,12.0,0.3888844737827839,1.0,1.0,1.0,0.41379310344827586
NBA,NBA,B,Fantasy Score,OVER,Standard OVER,Above Avg,xl,29,19.0,0.9002266683930517,1.0,1.0,1.0,0.6551724137931034
NBA,NBA,A,FG Attempted,UNDER,Standard UNDER,Elite,high,28,14.0,0.4349664127141864,1.0,1.0,1.0,0.5
NBA,NBA,A,Points,OVER,Goblin,Elite,xl,28,24.0,0.7835712127070485,1.0,1.0,1.0,0.8571428571428571
NBA,NBA,C,Fantasy Score,OVER,Demon,Avg,xl,28,9.0,0.8939745307091586,1.0,1.0,1.0,0.32142857142857145
NBA,NBA,A,Fantasy Score,OVER,Goblin,Elite,high,27,20.0,0.8864098318151538,1.0,1.0,1.0,0.7407407407407407
NBA,NBA,B,Fantasy Score,OVER,Standard OVER,Elite,xl,27,19.0,0.9071161738116985,1.0,1.0,1.0,0.7037037037037037
NBA,NBA,C,Fantasy Score,OVER,Standard OVER,Above Avg,xl,27,15.0,0.8021721899777786,1.0,1.0,1.0,0.5555555555555556
NBA,NBA,A,Fantasy Score,OVER,Goblin,Avg,high,26,19.0,0.8740552915528015,1.0,1.0,1.0,0.7307692307692307
NBA,NBA,C,Rebs+Asts,OVER,Goblin,Elite,high,26,17.0,0.7206412637253179,1.0,1.0,1.0,0.6538461538461539
NBA,NBA,B,Fantasy Score,OVER,Standard OVER,Weak,xl,25,16.0,0.8168671297013915,1.0,1.0,1.0,0.64
NBA,NBA,B,Rebs+Asts,OVER,Goblin,Elite,high,25,17.0,0.7380934458718353,1.0,1.0,1.0,0.68
NBA,NBA,A,Pts+Asts,UNDER,Standard UNDER,Above Avg,xl,24,9.0,0.41744273685390804,1.0,1.0,1.0,0.375
NBA,NBA,A,Rebs+Asts,OVER,Goblin,Elite,high,24,12.0,0.8687723778509062,1.0,1.0,1.0,0.5
NBA,NBA,B,Fantasy Score,OVER,Goblin,Above Avg,xl,24,18.0,0.8660656617403809,1.0,1.0,1.0,0.75
NBA,NBA,B,Points,OVER,Goblin,Elite,xl,24,13.0,0.7930365034473638,1.0,1.0,1.0,0.5416666666666666
NBA,NBA,C,Pts+Rebs+Asts,UNDER,Standard UNDER,Avg,xl,24,16.0,0.49300967386628936,1.0,1.0,1.0,0.6666666666666666
NBA,NBA,A,Pts+Rebs,UNDER,Standard UNDER,Avg,xl,23,12.0,0.31533338871751343,1.0,1.0,1.0,0.5217391304347826
NBA,NBA,A,Pts+Rebs+Asts,UNDER,Standard UNDER,Above Avg,xl,23,11.0,0.3932406602582129,1.0,1.0,1.0,0.4782608695652174
NBA,NBA,B,Fantasy Score,OVER,Demon,Above Avg,xl,23,9.0,0.8970695905828225,1.0,1.0,1.0,0.391304347826087
NBA,NBA,A,Pts+Asts,UNDER,Standard UNDER,Weak,xl,21,11.0,0.6492884768476544,1.0,1.0,1.0,0.5238095238095238
NBA,NBA,A,Pts+Rebs,OVER,Standard OVER,Weak,xl,21,14.0,0.8382697767916356,1.0,1.0,1.0,0.6666666666666666
