team_name,pp_name,league,gp,goals_conceded,goals_conceded_pg,shots_conceded_pg,clean_sheets,wins,draws,losses,OVERALL_DEF_RANK,DEF_TIER
Atlético Madrid,ATLÉTICO MADRID,UCL,8,15.0,1.875,,0,4,1,3,23,Below Avg
Atalanta,ATALANTA,UCL,8,10.0,1.25,,0,4,1,3,8,Elite
Bayer Leverkusen,LEVERKUSEN,UCL,8,14.0,1.75,,0,3,3,2,17,Avg
Borussia Dortmund,DORTMUND,UCL,8,17.0,2.125,,0,3,2,3,27,Below Avg
Olympiacos,OLYMPIACOS,UCL,8,14.0,1.75,,0,3,2,3,17,Avg
Club Brugge,CLUB BRUGGE,UCL,8,17.0,2.125,,0,3,1,4,27,Below Avg
Galatasaray,GALATASARAY,UCL,8,11.0,1.375,,0,3,1,4,11,Above Avg
AS Monaco,MONACO,UCL,8,14.0,1.75,,0,2,4,2,17,Avg
FK Qarabag,FK QARABAG,UCL,8,21.0,2.625,,0,3,1,4,32,Weak
Bodo/Glimt,BODO/GLIMT,UCL,8,15.0,1.875,,0,2,3,3,23,Below Avg
Benfica,BENFICA,UCL,8,12.0,1.5,,0,3,0,5,15,Above Avg
Marseille,MARSEILLE,UCL,8,14.0,1.75,,0,3,0,5,17,Avg
Pafos,PAFOS,UCL,8,11.0,1.375,,0,2,3,3,11,Above Avg
Union St.-Gilloise,UNION ST.-GILLOISE,UCL,8,17.0,2.125,,0,3,0,5,27,Below Avg
PSV Eindhoven,PSV EINDHOVEN,UCL,8,16.0,2.0,,0,2,2,4,26,Below Avg
Athletic Club,ATHLETIC BILBAO,UCL,8,14.0,1.75,,0,2,2,4,17,Avg
Napoli,NAPOLI,UCL,8,15.0,1.875,,0,2,2,4,23,Below Avg
F.C. København,F.C. KØBENHAVN,UCL,8,21.0,2.625,,0,2,2,4,32,Weak
Ajax Amsterdam,AJAX AMSTERDAM,UCL,8,21.0,2.625,,0,2,0,6,32,Weak
Eintracht Frankfurt,FRANKFURT,UCL,8,21.0,2.625,,0,1,1,6,32,Weak
Slavia Prague,SLAVIA PRAGUE,UCL,8,19.0,2.375,,0,0,3,5,31,Weak
Villarreal,VILLARREAL,UCL,8,18.0,2.25,,0,0,1,7,30,Weak
Kairat Almaty,KAIRAT ALMATY,UCL,8,22.0,2.75,,0,0,1,7,36,Weak
Manchester City,MAN CITY,WSL,22,19.0,0.864,,0,18,1,3,2,Elite
Arsenal,ARSENAL,WSL,22,14.0,0.636,,0,15,6,1,1,Elite
Chelsea,CHELSEA,WSL,22,20.0,0.909,,0,15,4,3,3,Elite
Manchester United,MAN UNITED,WSL,22,22.0,1.0,,0,11,7,4,4,Above Avg
Tottenham Hotspur,SPURS,WSL,22,38.0,1.727,,0,11,3,8,9,Below Avg
London City Lionesses,LONDON CITY LIONESSES,WSL,22,35.0,1.591,,0,8,3,11,7,Avg
Brighton & Hove Albion,BRIGHTON,WSL,22,28.0,1.273,,0,7,5,10,5,Above Avg
Everton,EVERTON,WSL,22,37.0,1.682,,0,7,2,13,8,Avg
Aston Villa,ASTON VILLA,WSL,22,48.0,2.182,,0,5,5,12,11,Weak
West Ham United,WEST HAM,WSL,22,45.0,2.045,,0,5,4,13,10,Below Avg
Liverpool,LIVERPOOL,WSL,22,34.0,1.545,,0,4,5,13,6,Avg
Leicester City,LEICESTER,WSL,22,52.0,2.364,,0,2,3,17,12,Weak
Mexico,MEXICO,World Cup,1,0.0,0.0,,0,1,0,0,1,Elite
Czechia,CZECHIA,World Cup,1,2.0,2.0,,0,0,0,1,23,Below Avg
South Korea,SOUTH KOREA,World Cup,1,1.0,1.0,,0,1,0,0,7,Above Avg
South Africa,SOUTH AFRICA,World Cup,1,2.0,2.0,,0,0,0,1,23,Below Avg
Canada,CANADA,World Cup,1,1.0,1.0,,0,0,1,0,7,Above Avg
Bosnia-Herzegovina,BOSNIA-HERZEGOVINA,World Cup,1,1.0,1.0,,0,0,1,0,7,Above Avg
Switzerland,SWITZERLAND,World Cup,1,1.0,1.0,,0,0,1,0,7,Above Avg
Qatar,QATAR,World Cup,1,1.0,1.0,,0,0,1,0,7,Above Avg
Brazil,BRAZIL,World Cup,1,1.0,1.0,,0,0,1,0,7,Above Avg
Scotland,SCOTLAND,World Cup,1,0.0,0.0,,0,1,0,0,1,Elite
Haiti,HAITI,World Cup,1,1.0,1.0,,0,0,0,1,7,Above Avg
Morocco,MOROCCO,World Cup,1,1.0,1.0,,0,0,1,0,7,Above Avg
Paraguay,PARAGUAY,World Cup,1,4.0,4.0,,0,0,0,1,28,Weak
Türkiye,TURKEY,World Cup,1,2.0,2.0,,0,0,0,1,23,Below Avg
Australia,AUSTRALIA,World Cup,1,0.0,0.0,,0,1,0,0,1,Elite
United States,UNITED STATES,World Cup,1,1.0,1.0,,0,1,0,0,7,Above Avg
