sport,prop,direction,n,hit_rate
soccer,Goalie Saves,UNDER,373,0.5951742627345844
soccer,Goals,OVER,7574,0.12463691576445736
soccer,Goals Allowed,OVER,24,0.8333333333333334
soccer,Passes Attempted,OVER,112,0.0
soccer,Shots,OVER,25200,0.2121031746031746
soccer,Shots,UNDER,485,0.6721649484536083
soccer,Shots Assisted,OVER,30,0.6333333333333333
soccer,Shots On Target,OVER,328,0.4969512195121951
soccer,Tackles,OVER,29,0.3103448275862069
tennis,Aces,OVER,1017,0.0
tennis,Aces,UNDER,22,1.0
tennis,Double Faults,OVER,1077,0.0
tennis,Total Games,OVER,1510,0.609271523178808
tennis,Total Games,UNDER,132,0.4696969696969697
tennis,Total Games Won,OVER,1582,0.6264222503160556
tennis,Total Games Won,UNDER,102,0.5294117647058824
wcbb,pr,OVER,40,0.325
wcbb,pts,OVER,37,0.43243243243243246
wcbb,reb,OVER,16,0.8125
wnba,3-PT Attempted,OVER,126,0.5476190476190477
wnba,3-PT Attempted,UNDER,102,0.5294117647058824
wnba,3-PT Made,OVER,358,0.6089385474860335
wnba,3-PT Made,UNDER,22,0.36363636363636365
wnba,3-PT Made (Combo),UNDER,62,0.5
wnba,Assists,OVER,572,0.6031468531468531
wnba,Assists,UNDER,98,0.6428571428571429
wnba,Assists (Combo),OVER,25,0.52
wnba,Assists (Combo),UNDER,69,0.5072463768115942
wnba,Blks+Stls,OVER,127,0.49606299212598426
wnba,Blks+Stls,UNDER,67,0.6268656716417911
wnba,Blocked Shots,OVER,48,0.5
wnba,Defensive Rebounds,UNDER,141,0.48936170212765956
wnba,Double-Double,OVER,17,0.5882352941176471
wnba,FG Attempted,OVER,122,0.5081967213114754
wnba,FG Attempted,UNDER,169,0.5207100591715976
wnba,FG Made,OVER,111,0.42342342342342343
wnba,FG Made,UNDER,166,0.5120481927710844
wnba,Fantasy Score,OVER,235,0.4723404255319149
wnba,Fantasy Score,UNDER,239,0.46443514644351463
wnba,Free Throws Attempted,OVER,160,0.5
wnba,Free Throws Attempted,UNDER,82,0.45121951219512196
wnba,Free Throws Made,OVER,180,0.5222222222222223
wnba,Free Throws Made,UNDER,95,0.4421052631578947
wnba,Offensive Rebounds,OVER,43,0.6511627906976745
wnba,Offensive Rebounds,UNDER,171,0.543859649122807
wnba,Points,OVER,1586,0.6172761664564943
wnba,Points,UNDER,334,0.5029940119760479
wnba,Points (Combo),OVER,89,0.4044943820224719
wnba,Points (Combo),UNDER,335,0.5402985074626866
wnba,Pts+Asts,OVER,489,0.5316973415132924
wnba,Pts+Asts,UNDER,135,0.5037037037037037
wnba,Pts+Rebs,OVER,696,0.5617816091954023
wnba,Pts+Rebs,UNDER,209,0.49282296650717705
wnba,Pts+Rebs+Asts,OVER,772,0.5310880829015544
wnba,Pts+Rebs+Asts,UNDER,222,0.481981981981982
wnba,Rebounds,OVER,1050,0.6333333333333333
wnba,Rebounds,UNDER,172,0.5174418604651163
wnba,Rebounds (Combo),OVER,40,0.725
wnba,Rebounds (Combo),UNDER,103,0.4854368932038835
wnba,Rebs+Asts,OVER,289,0.532871972318339
wnba,Rebs+Asts,UNDER,85,0.6588235294117647
wnba,Steals,OVER,62,0.6451612903225806
wnba,Turnovers,OVER,164,0.5792682926829268
wnba,Turnovers,UNDER,63,0.5873015873015873
wnba,Two Pointers Attempted,OVER,98,0.46938775510204084
wnba,Two Pointers Attempted,UNDER,127,0.6535433070866141
wnba,Two Pointers Made,OVER,66,0.3787878787878788
wnba,Two Pointers Made,UNDER,131,0.5648854961832062
