sport,dimension,direction,n,hits,mean_ml,hit_rate,prop,minutes_tier,def_tier,h2h_bucket,role,pick_type,tier
tennis,pick_type,,1216,250.0,,0.20559210526315788,,,,,,,
tennis,tier,,4231,1804.0,0.5970632947293784,0.42637674308674073,,,,,,,D
tennis,tier,,1216,250.0,,0.20559210526315788,,,,,,,(missing)
wcbb,direction,OVER,125,57.0,0.6260130321979522,0.456,,,,,,,
wcbb,prop,,16,13.0,0.688126090914011,0.8125,reb,,,,,,
wcbb,prop,,37,16.0,0.6718004217018952,0.43243243243243246,pts,,,,,,
wcbb,prop,,40,13.0,0.5966819673776627,0.325,pr,,,,,,
wcbb,minutes_tier,,85,46.0,0.6251208996071534,0.5411764705882353,,0,,,,,
wcbb,minutes_tier,,23,8.0,0.6367697663929152,0.34782608695652173,,1,,,,,
wcbb,def_tier,,50,29.0,0.6347389495372773,0.58,,,(missing),,,,
wcbb,def_tier,,19,11.0,0.5958356104399029,0.5789473684210527,,,average,,,,
wcbb,def_tier,,17,8.0,0.5893407744519851,0.47058823529411764,,,elite,,,,
wcbb,def_tier,,41,10.0,0.6385370478397463,0.24390243902439024,,,good,,,,
wcbb,h2h_bucket,,127,58.0,0.6240680015931918,0.4566929133858268,,,,(not in graded export),,,
wcbb,role,,127,58.0,0.6240680015931918,0.4566929133858268,,,,,(missing),,
wcbb,pick_type,,94,48.0,0.6621657879428661,0.5106382978723404,,,,,,Goblin,
wcbb,pick_type,,33,10.0,0.5155470344153318,0.30303030303030304,,,,,,Standard,
wcbb,tier,,16,9.0,0.5545396767556667,0.5625,,,,,,,C
wcbb,tier,,27,13.0,0.8411234904218603,0.48148148148148145,,,,,,,A
wcbb,tier,,70,32.0,0.5545853934117726,0.45714285714285713,,,,,,,D
wnba,direction,OVER,7536,4296.0,0.6196985668789808,0.5700636942675159,,,,,,,
wnba,direction,UNDER,3424,1797.0,0.45520832359813085,0.5248247663551402,,,,,,,
wnba,prop,,75,52.0,0.5707173333333334,0.6933333333333334,Steals,,,,,,
wnba,prop,,21,14.0,0.7519238095238095,0.6666666666666666,Double-Double,,,,,,
wnba,prop,,1222,754.0,0.6487337152209492,0.6170212765957447,Rebounds,,,,,,
wnba,prop,,670,408.0,0.6594029850746269,0.608955223880597,Assists,,,,,,
wnba,prop,,1920,1147.0,0.6233883854166666,0.5973958333333333,Points,,,,,,
wnba,prop,,380,226.0,0.7111613157894737,0.5947368421052631,3-PT Made,,,,,,
wnba,prop,,227,132.0,0.5220748898678413,0.5814977973568282,Turnovers,,,,,,
wnba,prop,,225,129.0,0.43922355555555553,0.5733333333333334,Two Pointers Attempted,,,,,,
wnba,prop,,214,121.0,0.595353738317757,0.5654205607476636,Offensive Rebounds,,,,,,
wnba,prop,,374,210.0,0.5581767379679144,0.5614973262032086,Rebs+Asts,,,,,,
wnba,prop,,56,31.0,0.6099982142857143,0.5535714285714286,Blocked Shots,,,,,,
wnba,prop,,143,79.0,0.45893426573426577,0.5524475524475524,Rebounds (Combo),,,,,,
wnba,prop,,905,494.0,0.5701937016574585,0.5458563535911602,Pts+Rebs,,,,,,
wnba,prop,,194,105.0,0.5242067010309278,0.5412371134020618,Blks+Stls,,,,,,
wnba,prop,,228,123.0,0.47209692982456136,0.5394736842105263,3-PT Attempted,,,,,,
wnba,prop,,624,328.0,0.564143108974359,0.5256410256410257,Pts+Asts,,,,,,
wnba,prop,,994,517.0,0.5757289738430583,0.5201207243460765,Pts+Rebs+Asts,,,,,,
wnba,prop,,291,150.0,0.43741683848797247,0.5154639175257731,FG Attempted,,,,,,
wnba,prop,,424,217.0,0.4655400943396227,0.5117924528301887,Points (Combo),,,,,,
wnba,prop,,94,48.0,0.4383138297872341,0.5106382978723404,Assists (Combo),,,,,,
wnba,prop,,197,99.0,0.4417690355329949,0.5025380710659898,Two Pointers Made,,,,,,
wnba,prop,,275,136.0,0.4824643636363636,0.49454545454545457,Free Throws Made,,,,,,
wnba,prop,,141,69.0,0.5344063829787233,0.48936170212765956,Defensive Rebounds,,,,,,
wnba,prop,,242,117.0,0.46209958677685953,0.4834710743801653,Free Throws Attempted,,,,,,
wnba,prop,,277,132.0,0.4392898916967509,0.47653429602888087,FG Made,,,,,,
wnba,prop,,474,222.0,0.48369999999999996,0.46835443037974683,Fantasy Score,,,,,,
wnba,prop,,73,33.0,0.5714986301369863,0.4520547945205479,3-PT Made (Combo),,,,,,
wnba,minutes_tier,,8507,4784.0,0.5643561772657811,0.5623604090748795,,LOW,,,,,
wnba,minutes_tier,,198,111.0,0.4784762626262626,0.5606060606060606,,HIGH,,,,,
