mlb_player_id,player,pos,player_type,team,opp_team,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,player_name,image_url,line_score,sport,game_date,player_1,player_2,team_1,team_2,id_status,OVERALL_DEF_RANK,ERA_RANK,WHIP_RANK,OBP_ALLOWED_RANK,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,reliability_note
695506.0,Jac Caglianone,OF,hitter,KC,,0.5,Hits,hits,Goblin,11387883,11387883,240206,144418,2026-04-14T18:40:00.000-04:00,,,,1,Jac Caglianone,https://static.prizepicks.com/images/players/MLB/Jeffrey_Caglianone_MLB_player_kMhkwU9SuS9i7VU9UffpyQFq-450.webp,0.5,MLB,2026-04-14,,,,,OK,,,,,0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.2,0.6,0.6,1.0,4.0,0.0,0.2,0.2583,0.7417,0.5,0.5,OK,BLENDED_n5,5.0,1.0,4.0,0.0,0.2583,0.7417,
679529.0,Spencer Torkelson,IF,hitter,DET,,0.5,Hits,hits,Goblin,11392075,11392075,68434,144418,2026-04-14T18:40:00.000-04:00,,,,1,Spencer Torkelson,https://static.prizepicks.com/images/players/MLB/Spencer_Torkelson_MLB_player_TqH00BJfzWjKPIVJLtWXHNMc-450.webp,0.5,MLB,2026-04-14,,,,,OK,,,,,0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.6,0.8,0.8,2.0,3.0,0.0,0.4,0.425,0.575,0.5,0.5,OK,BLENDED_n5,5.0,2.0,3.0,0.0,0.425,0.575,
695506.0,Jac Caglianone,OF,hitter,KC,,0.5,Runs,runs,Demon,11394096,11394096,240206,144418,2026-04-14T18:40:00.000-04:00,,,,1,Jac Caglianone,https://static.prizepicks.com/images/players/MLB/Jeffrey_Caglianone_MLB_player_kMhkwU9SuS9i7VU9UffpyQFq-450.webp,0.5,MLB,2026-04-14,,,,,OK,,,,,0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.2,0.5,0.5,1.0,4.0,0.0,0.2,0.2583,0.7417,0.3,0.7,OK,BLENDED_n5,5.0,1.0,4.0,0.0,0.2583,0.7417,
664728.0,Kyle Isbel,OF,hitter,KC,,0.5,Hits,hits,Goblin,11394107,11394107,68532,144418,2026-04-14T18:40:00.000-04:00,,,,1,Kyle Isbel,https://static.prizepicks.com/images/players/MLB/Kyle_Isbel_MLB_player_gWkDN5ZStyKFrcxiUJtf9Ve1-450.webp,0.5,MLB,2026-04-14,,,,,OK,,,,,0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4,0.4,0.4,1.0,4.0,0.0,0.2,0.2583,0.7417,0.3,0.7,OK,BLENDED_n5,5.0,1.0,4.0,0.0,0.2583,0.7417,
664728.0,Kyle Isbel,OF,hitter,KC,,0.5,Runs,runs,Demon,11394109,11394109,68532,144418,2026-04-14T18:40:00.000-04:00,,,,1,Kyle Isbel,https://static.prizepicks.com/images/players/MLB/Kyle_Isbel_MLB_player_gWkDN5ZStyKFrcxiUJtf9Ve1-450.webp,0.5,MLB,2026-04-14,,,,,OK,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,5.0,0.0,0.0,0.0917,0.9083,0.1,0.9,OK,BLENDED_n5,5.0,0.0,5.0,0.0,0.0917,0.9083,
695506.0,Jac Caglianone,OF,hitter,KC,,0.5,Total Bases,total_bases,Goblin,11396648,11396648,240206,144418,2026-04-14T18:40:00.000-04:00,,,,1,Jac Caglianone,https://static.prizepicks.com/images/players/MLB/Jeffrey_Caglianone_MLB_player_kMhkwU9SuS9i7VU9UffpyQFq-450.webp,0.5,MLB,2026-04-14,,,,,OK,,,,,0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,1.0,2.0,1.0,0.6,1.2,1.2,1.0,4.0,0.0,0.2,0.2583,0.7417,0.5,0.5,OK,BLENDED_n5,5.0,1.0,4.0,0.0,0.2583,0.7417,
571945.0,Miles Mikolas,P,pitcher,WSH,,15.5,Pitching Outs,pitching_outs,Demon,11392627,11392627,310317,144416,2026-04-14T18:40:00.000-04:00,,,,1,Miles Mikolas,https://static.prizepicks.com/images/manual/Miles_Mikolas-removebg-preview.png,15.5,MLB,2026-04-14,,,,,OK,,,,,0,15.0,15.0,15.0,15.0,18.0,15.0,8.0,15.0,20.0,9.0,15.6,14.5,14.5,1.0,4.0,0.0,0.2,0.3313,0.6688,0.2,0.8,OK,BLENDED_n5,5.0,1.0,4.0,0.0,0.3313,0.6688,
571945.0,Miles Mikolas,P,pitcher,WSH,,14.5,Pitching Outs,pitching_outs,Goblin,11391960,11391960,310317,144416,2026-04-14T18:40:00.000-04:00,,,,1,Miles Mikolas,https://static.prizepicks.com/images/manual/Miles_Mikolas-removebg-preview.png,14.5,MLB,2026-04-14,,,,,OK,,,,,0,15.0,15.0,15.0,15.0,18.0,15.0,8.0,15.0,20.0,9.0,15.6,14.5,14.5,5.0,0.0,0.0,1.0,0.8312,0.1687,0.8,0.2,OK,BLENDED_n5,5.0,5.0,0.0,0.0,0.8312,0.1687,THIN_SAMPLE_5g_raw_100%
571945.0,Miles Mikolas,P,pitcher,WSH,,6.5,Hits Allowed,hits_allowed,Demon,11394746,11394746,310317,144416,2026-04-14T18:40:00.000-04:00,,,,1,Miles Mikolas,https://static.prizepicks.com/images/manual/Miles_Mikolas-removebg-preview.png,6.5,MLB,2026-04-14,,,,,OK,,,,,0,4.0,7.0,5.0,4.0,5.0,4.0,10.0,4.0,4.0,7.0,5.0,5.4,5.4,1.0,4.0,0.0,0.2,0.3313,0.6688,0.3,0.7,OK,BLENDED_n5,5.0,1.0,4.0,0.0,0.3313,0.6688,
571945.0,Miles Mikolas,P,pitcher,WSH,,5.5,Pitcher Strikeouts,strikeouts,Demon,11392858,11392858,310317,144416,2026-04-14T18:40:00.000-04:00,,,3.5,2,Miles Mikolas,https://static.prizepicks.com/images/manual/Miles_Mikolas-removebg-preview.png,5.5,MLB,2026-04-14,,,,,OK,,,,,0,4.0,3.0,5.0,2.0,0.0,5.0,1.0,1.0,3.0,1.0,2.8,2.5,2.5,0.0,5.0,0.0,0.0,0.2062,0.7938,0.0,1.0,OK,BLENDED_n5,5.0,0.0,5.0,0.0,0.2062,0.7938,
