player,team,date,game_id,points,totalRebounds,assists,steals,blocks,threePointFieldGoalsMade,freeThrowsMade,espnFPS
Chris Boucher,BOS,2025-10-22,401809936,6.0,4.0,1.0,1.0,0.0,0.0,2.0,13.3
Xavier Tillman,BOS,2025-10-22,401809936,4.0,7.0,1.0,2.0,1.0,0.0,0.0,13.0
Josh Minott,BOS,2025-10-22,401809936,2.0,2.0,2.0,0.0,0.0,0.0,0.0,7.8
Luka Garza,BOS,2025-10-22,401809936,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.6
Anfernee Simons,BOS,2025-10-22,401809936,13.0,4.0,1.0,1.0,1.0,2.0,1.0,22.05
Tobias Harris,DET,2025-10-23,401809937,10.0,9.0,4.0,1.0,0.0,1.0,1.0,23.45
Duncan Robinson,DET,2025-10-23,401809937,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5
Jalen Duren,DET,2025-10-23,401809937,15.0,6.0,1.0,1.0,2.0,0.0,1.0,27.95
Cade Cunningham,DET,2025-10-23,401809937,23.0,7.0,10.0,1.0,0.0,1.0,6.0,36.4
Ausar Thompson,DET,2025-10-23,401809937,11.0,9.0,7.0,1.0,1.0,0.0,1.0,32.75
Paul Reed,DET,2025-10-23,401809937,3.0,0.0,0.0,0.0,1.0,1.0,0.0,4.7
Isaiah Stewart,DET,2025-10-23,401809937,20.0,10.0,2.0,0.0,4.0,2.0,2.0,42.1
Ronald Holland II,DET,2025-10-23,401809937,19.0,4.0,3.0,2.0,1.0,1.0,6.0,33.5
Javonte Green,DET,2025-10-23,401809937,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8
Caris LeVert,DET,2025-10-23,401809937,8.0,1.0,2.0,1.0,0.0,1.0,1.0,11.35
Isaac Okoro,CHI,2025-10-23,401809937,0.0,5.0,4.0,0.0,0.0,0.0,0.0,7.6
Matas Buzelis,CHI,2025-10-23,401809937,21.0,6.0,1.0,0.0,3.0,0.0,7.0,35.25
Nikola Vucevic,CHI,2025-10-23,401809937,28.0,14.0,2.0,1.0,0.0,4.0,2.0,51.0
Tre Jones,CHI,2025-10-23,401809937,12.0,1.0,8.0,3.0,0.0,1.0,1.0,27.85
Josh Giddey,CHI,2025-10-23,401809937,19.0,5.0,11.0,0.0,1.0,1.0,8.0,35.6
Jalen Smith,CHI,2025-10-23,401809937,2.0,5.0,1.0,0.0,0.0,0.0,2.0,3.3
Patrick Williams,CHI,2025-10-23,401809937,4.0,4.0,0.0,1.0,2.0,1.0,1.0,10.05
Dalen Terry,CHI,2025-10-23,401809937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8
Kevin Huerter,CHI,2025-10-23,401809937,15.0,5.0,0.0,1.0,2.0,2.0,5.0,21.95
Ayo Dosunmu,CHI,2025-10-23,401809937,14.0,5.0,2.0,0.0,0.0,2.0,0.0,21.4
Herbert Jones,NO,2025-10-23,401809938,17.0,9.0,3.0,3.0,1.0,3.0,2.0,33.3
Zion Williamson,NO,2025-10-23,401809938,27.0,9.0,5.0,5.0,0.0,0.0,7.0,44.85
Trey Murphy III,NO,2025-10-23,401809938,13.0,7.0,3.0,0.0,0.0,1.0,2.0,21.0
Yves Missi,NO,2025-10-23,401809938,5.0,7.0,1.0,1.0,1.0,0.0,1.0,13.55
Jordan Poole,NO,2025-10-23,401809938,17.0,0.0,2.0,0.0,0.0,3.0,2.0,19.9
Hunter Dickinson,NO,2025-10-23,401809938,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2
Derik Queen,NO,2025-10-23,401809938,3.0,5.0,0.0,0.0,1.0,0.0,1.0,7.45
Saddiq Bey,NO,2025-10-23,401809938,13.0,6.0,3.0,1.0,0.0,1.0,2.0,22.5
Jordan Hawkins,NO,2025-10-23,401809938,8.0,4.0,1.0,0.0,0.0,2.0,2.0,15.2
Jeremiah Fears,NO,2025-10-23,401809938,17.0,0.0,2.0,0.0,0.0,0.0,3.0,23.75
Jaren Jackson Jr.,MEM,2025-10-23,401809938,18.0,8.0,1.0,0.0,6.0,0.0,4.0,34.7
Jaylen Wells,MEM,2025-10-23,401809938,14.0,3.0,4.0,1.0,0.0,4.0,2.0,21.1
Jock Landale,MEM,2025-10-23,401809938,10.0,4.0,0.0,0.0,2.0,1.0,3.0,15.85
Kentavious Caldwell-Pope,MEM,2025-10-23,401809938,15.0,4.0,3.0,0.0,0.0,2.0,9.0,20.55
Ja Morant,MEM,2025-10-23,401809938,35.0,3.0,3.0,1.0,0.0,2.0,7.0,50.15
Santi Aldama,MEM,2025-10-23,401809938,5.0,6.0,2.0,1.0,2.0,0.0,1.0,12.85
Olivier-Maxence Prosper,MEM,2025-10-23,401809938,10.0,5.0,0.0,0.0,0.0,0.0,4.0,17.4
Cedric Coward,MEM,2025-10-23,401809938,14.0,3.0,1.0,2.0,1.0,0.0,4.0,27.8
John Konchar,MEM,2025-10-23,401809938,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.7
Cam Spencer,MEM,2025-10-23,401809938,7.0,0.0,2.0,0.0,0.0,2.0,1.0,9.65
Javon Small,MEM,2025-10-23,401809938,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.3
Khris Middleton,WSH,2025-10-23,401809939,23.0,6.0,3.0,0.0,0.0,3.0,2.0,36.5
Kyshawn George,WSH,2025-10-23,401809939,21.0,9.0,4.0,1.0,2.0,3.0,4.0,36.4
Alex Sarr,WSH,2025-10-23,401809939,10.0,11.0,3.0,0.0,0.0,0.0,0.0,23.9
CJ McCollum,WSH,2025-10-23,401809939,9.0,6.0,3.0,0.0,0.0,0.0,1.0,15.45
Bub Carrington,WSH,2025-10-23,401809939,11.0,5.0,2.0,1.0,0.0,3.0,0.0,19.1
Anthony Gill,WSH,2025-10-23,401809939,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Marvin Bagley III,WSH,2025-10-23,401809939,1.0,3.0,1.0,1.0,0.0,0.0,1.0,5.15
Corey Kispert,WSH,2025-10-23,401809939,11.0,1.0,1.0,0.0,1.0,3.0,0.0,14.9
Justin Champagnie,WSH,2025-10-23,401809939,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0
Tristan Vukcevic,WSH,2025-10-23,401809939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Whitmore,WSH,2025-10-23,401809939,14.0,5.0,1.0,0.0,0.0,1.0,1.0,21.85
Sharife Cooper,WSH,2025-10-23,401809939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7
Will Riley,WSH,2025-10-23,401809939,2.0,1.0,1.0,1.0,0.0,0.0,0.0,6.4
AJ Johnson,WSH,2025-10-23,401809939,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.4
Tre Johnson,WSH,2025-10-23,401809939,16.0,5.0,2.0,1.0,1.0,4.0,2.0,24.1
Giannis Antetokounmpo,MIL,2025-10-23,401809939,37.0,14.0,5.0,0.0,0.0,1.0,4.0,63.2
Myles Turner,MIL,2025-10-23,401809939,11.0,8.0,5.0,0.0,3.0,2.0,1.0,26.55
Gary Trent Jr.,MIL,2025-10-23,401809939,17.0,4.0,2.0,2.0,0.0,5.0,0.0,26.3
Kevin Porter Jr.,MIL,2025-10-23,401809939,10.0,0.0,2.0,1.0,0.0,2.0,2.0,15.7
AJ Green,MIL,2025-10-23,401809939,11.0,3.0,1.0,0.0,0.0,3.0,0.0,17.8
Taurean Prince,MIL,2025-10-23,401809939,11.0,1.0,2.0,1.0,0.0,3.0,0.0,19.0
Bobby Portis,MIL,2025-10-23,401809939,2.0,6.0,1.0,0.0,0.0,0.0,0.0,6.4
Thanasis Antetokounmpo,MIL,2025-10-23,401809939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8
Kyle Kuzma,MIL,2025-10-23,401809939,12.0,4.0,3.0,2.0,2.0,0.0,2.0,25.8
Jericho Sims,MIL,2025-10-23,401809939,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.5
Gary Harris,MIL,2025-10-23,401809939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Coffey,MIL,2025-10-23,401809939,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.8
Andre Jackson Jr.,MIL,2025-10-23,401809939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cole Anthony,MIL,2025-10-23,401809939,9.0,2.0,5.0,0.0,1.0,1.0,0.0,21.9
Ryan Rollins,MIL,2025-10-23,401809939,9.0,4.0,3.0,2.0,0.0,1.0,4.0,15.2
Kawhi Leonard,LAC,2025-10-23,401809940,10.0,4.0,2.0,1.0,1.0,1.0,3.0,16.75
Derrick Jones Jr.,LAC,2025-10-23,401809940,12.0,1.0,1.0,0.0,1.0,1.0,1.0,17.95
Ivica Zubac,LAC,2025-10-23,401809940,19.0,7.0,3.0,0.0,1.0,0.0,1.0,36.25
James Harden,LAC,2025-10-23,401809940,15.0,2.0,11.0,0.0,0.0,2.0,3.0,30.35
Bradley Beal,LAC,2025-10-23,401809940,5.0,1.0,0.0,1.0,0.0,1.0,0.0,5.9
Nicolas Batum,LAC,2025-10-23,401809940,3.0,2.0,1.0,1.0,1.0,1.0,0.0,7.4
John Collins,LAC,2025-10-23,401809940,14.0,7.0,1.0,1.0,2.0,1.0,1.0,25.45
Brook Lopez,LAC,2025-10-23,401809940,15.0,3.0,0.0,1.0,0.0,5.0,0.0,17.0
Yanic Konan Niederhauser,LAC,2025-10-23,401809940,4.0,1.0,0.0,0.0,0.0,0.0,2.0,4.9
Chris Paul,LAC,2025-10-23,401809940,4.0,1.0,4.0,1.0,0.0,1.0,1.0,8.95
Kris Dunn,LAC,2025-10-23,401809940,0.0,5.0,1.0,1.0,0.0,0.0,0.0,3.6
Kobe Brown,LAC,2025-10-23,401809940,2.0,1.0,2.0,0.0,0.0,0.0,2.0,6.3
Kobe Sanders,LAC,2025-10-23,401809940,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.6
Cam Christie,LAC,2025-10-23,401809940,5.0,2.0,1.0,0.0,0.0,1.0,2.0,7.5
Lauri Markkanen,UTAH,2025-10-23,401809940,20.0,6.0,5.0,0.0,0.0,4.0,0.0,36.3
Kyle Filipowski,UTAH,2025-10-23,401809940,9.0,4.0,5.0,0.0,1.0,1.0,0.0,20.6
Walker Kessler,UTAH,2025-10-23,401809940,22.0,9.0,4.0,2.0,4.0,2.0,6.0,50.4
Svi Mykhailiuk,UTAH,2025-10-23,401809940,9.0,1.0,3.0,1.0,0.0,3.0,0.0,17.4
Keyonte George,UTAH,2025-10-23,401809940,16.0,2.0,9.0,2.0,0.0,1.0,3.0,31.65
Taylor Hendricks,UTAH,2025-10-23,401809940,13.0,6.0,0.0,1.0,1.0,2.0,3.0,22.35
Cody Williams,UTAH,2025-10-23,401809940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brice Sensabaugh,UTAH,2025-10-23,401809940,20.0,4.0,2.0,1.0,0.0,3.0,3.0,30.05
Jusuf Nurkic,UTAH,2025-10-23,401809940,8.0,4.0,3.0,2.0,0.0,0.0,0.0,17.5
Ace Bailey,UTAH,2025-10-23,401809940,2.0,4.0,2.0,0.0,0.0,0.0,0.0,5.9
Walter Clayton Jr.,UTAH,2025-10-23,401809940,10.0,6.0,5.0,2.0,0.0,1.0,1.0,24.65
Harrison Barnes,SA,2025-10-23,401809235,7.0,2.0,1.0,0.0,0.0,1.0,0.0,8.8
Julian Champagnie,SA,2025-10-23,401809235,5.0,4.0,2.0,1.0,0.0,1.0,2.0,11.9
Victor Wembanyama,SA,2025-10-23,401809235,40.0,15.0,1.0,1.0,3.0,1.0,9.0,72.45
Devin Vassell,SA,2025-10-23,401809235,13.0,3.0,4.0,2.0,0.0,1.0,0.0,22.4
Stephon Castle,SA,2025-10-23,401809235,22.0,7.0,6.0,2.0,0.0,1.0,5.0,37.95
Keldon Johnson,SA,2025-10-23,401809235,11.0,5.0,2.0,1.0,0.0,1.0,0.0,24.0
Harrison Ingram,SA,2025-10-23,401809235,3.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0
David Jones Garcia,SA,2025-10-23,401809235,5.0,1.0,2.0,0.0,0.0,0.0,1.0,11.05
Carter Bryant,SA,2025-10-23,401809235,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4
Riley Minix,SA,2025-10-23,401809235,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Bismack Biyombo,SA,2025-10-23,401809235,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.6
Luke Kornet,SA,2025-10-23,401809235,2.0,4.0,3.0,0.0,2.0,0.0,0.0,11.7
Jordan McLaughlin,SA,2025-10-23,401809235,2.0,0.0,1.0,1.0,0.0,0.0,0.0,4.6
Dylan Harper,SA,2025-10-23,401809235,15.0,4.0,2.0,0.0,0.0,1.0,0.0,18.8
Anthony Davis,DAL,2025-10-23,401809235,22.0,13.0,1.0,2.0,1.0,2.0,6.0,36.3
P.J. Washington,DAL,2025-10-23,401809235,17.0,5.0,1.0,0.0,1.0,2.0,1.0,27.45
Cooper Flagg,DAL,2025-10-23,401809235,10.0,10.0,0.0,1.0,0.0,0.0,2.0,16.2
Dereck Lively II,DAL,2025-10-23,401809235,4.0,2.0,3.0,0.0,0.0,0.0,2.0,10.2
Klay Thompson,DAL,2025-10-23,401809235,10.0,2.0,1.0,0.0,0.0,1.0,1.0,9.75
Dwight Powell,DAL,2025-10-23,401809235,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.7
Caleb Martin,DAL,2025-10-23,401809235,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9
Naji Marshall,DAL,2025-10-23,401809235,3.0,1.0,1.0,0.0,0.0,0.0,3.0,3.75
Moussa Cisse,DAL,2025-10-23,401809235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D'Angelo Russell,DAL,2025-10-23,401809235,6.0,2.0,3.0,0.0,0.0,0.0,4.0,7.9
Brandon Williams,DAL,2025-10-23,401809235,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.7
Max Christie,DAL,2025-10-23,401809235,9.0,0.0,1.0,0.0,1.0,3.0,0.0,12.6
Ryan Nembhard,DAL,2025-10-23,401809235,8.0,0.0,5.0,0.0,0.0,0.0,2.0,14.8
Jaden Hardy,DAL,2025-10-23,401809235,3.0,1.0,0.0,0.0,0.0,1.0,0.0,3.4
Drew Eubanks,SAC,2025-10-23,401809941,4.0,4.0,0.0,2.0,4.0,0.0,2.0,11.7
DeMar DeRozan,SAC,2025-10-23,401809941,29.0,6.0,9.0,2.0,1.0,1.0,4.0,55.3
Dennis Schroder,SAC,2025-10-23,401809941,14.0,1.0,7.0,2.0,1.0,2.0,0.0,25.8
Zach LaVine,SAC,2025-10-23,401809941,30.0,2.0,1.0,0.0,0.0,2.0,2.0,35.9
Nique Clifford,SAC,2025-10-23,401809941,2.0,8.0,2.0,2.0,1.0,0.0,0.0,14.9
Dario Saric,SAC,2025-10-23,401809941,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.4
Dylan Cardwell,SAC,2025-10-23,401809941,3.0,1.0,0.0,1.0,2.0,0.0,1.0,5.85
Maxime Raynaud,SAC,2025-10-23,401809941,0.0,4.0,2.0,0.0,0.0,0.0,0.0,5.3
Russell Westbrook,SAC,2025-10-23,401809941,6.0,6.0,1.0,0.0,1.0,0.0,2.0,10.3
