sport,prop,tier,pick_type,decided,hits,misses,hit_rate
CBB,pts,C,Goblin,436,255,181,0.5849
SOCCER,Fouls,A,—,436,119,317,0.2729
NBA,3-PT Made,B,Goblin,435,305,130,0.7011
NBA,Points,A,Standard,435,283,152,0.6506
NHL,Plus/Minus,D,Demon,429,145,284,0.338
NBA,Fantasy Score,A,Goblin,423,343,80,0.8109
NBA,Points,B,Standard,422,264,158,0.6256
MLB,Hitter Strikeouts,B,Goblin,422,253,169,0.5995
NBA,Personal Fouls,D,Demon,421,178,243,0.4228
CBB,—,C,Demon,421,146,275,0.3468
NBA,Rebounds (Combo),D,Standard,419,237,182,0.5656
NBA,Assists (Combo),D,Standard,419,227,192,0.5418
NBA,3-PT Made,C,Goblin,409,258,151,0.6308
MLB,Total Bases,C,Goblin,409,244,165,0.5966
NBA,Pts+Rebs,C,Standard,407,202,205,0.4963
NBA,Two Pointers Made,D,Goblin,405,214,191,0.5284
MLB,Pitcher Strikeouts,D,Demon,404,98,306,0.2426
NHL,Shots On Goal,A,Goblin,403,28,375,0.0695
NHL,Assists,A,Standard,401,303,98,0.7556
NBA,Steals,B,Goblin,399,251,148,0.6291
NBA,Fantasy Score,D,Demon,395,184,211,0.4658
SOCCER,Fouls,C,—,391,96,295,0.2455
NBA,Turnovers,D,Demon,377,154,223,0.4085
NHL,points,C,—,372,180,192,0.4839
CBB,pts,C,Standard,372,178,194,0.4785
NBA,Pts+Asts,C,Standard,361,173,188,0.4792
SOCCER,Tackles,A,Demon,360,80,280,0.2222
NBA,Fantasy Score,A,Standard,350,240,110,0.6857
MLB,Total Bases,D,Standard,349,160,189,0.4585
MLB,Runs,A,Demon,347,48,299,0.1383
NBA,Blks+Stls,D,Standard,345,172,173,0.4986
NBA,Blocked Shots,D,Goblin,336,200,136,0.5952
NBA,Free Throws Made,D,Demon,333,150,183,0.4505
NBA,3-PT Attempted,D,Goblin,323,174,149,0.5387
CBB,pr,C,Standard,318,170,148,0.5346
NBA,FG Made,D,Goblin,315,191,124,0.6063
CBB,ast,C,Goblin,314,211,103,0.672
NBA,Steals,C,Goblin,312,180,132,0.5769
SOCCER,Shots,A,Goblin,310,147,163,0.4742
MLB,Hitter Strikeouts,A,Demon,307,34,273,0.1107
NBA,Free Throws Attempted,D,Demon,305,128,177,0.4197
SOCCER,Goal + Assist,C,—,305,59,246,0.1934
CBB,pts,A,Goblin,304,199,105,0.6546
CBB,pts,B,Goblin,298,198,100,0.6644
CBB,pra,C,Standard,298,154,144,0.5168
MLB,Hitter Strikeouts,D,Goblin,297,172,125,0.5791
SOCCER,Shots,A,Demon,291,52,239,0.1787
NBA,Rebounds,C,Standard,290,152,138,0.5241
CBB,pa,C,Standard,288,155,133,0.5382
NBA,Two Pointers Made,D,Demon,283,132,151,0.4664
NBA,Fantasy Score,C,Goblin,277,218,59,0.787
SOCCER,Shots On Target,A,Demon,277,160,117,0.5776
NBA,Defensive Rebounds,D,Standard,277,147,130,0.5307
MLB,Runs,D,Standard,276,135,141,0.4891
SOCCER,Assists,A,—,276,45,231,0.163
NBA,Offensive Rebounds,D,Standard,267,145,122,0.5431
SOCCER,Shots,D,Goblin,260,60,200,0.2308
NBA,Fantasy Score,C,Standard,256,178,78,0.6953
NHL,time_on_ice,D,—,256,114,142,0.4453
MLB,Walks Allowed,D,Demon,254,72,182,0.2835
SOCCER,Fouls,D,Demon,254,39,215,0.1535
MLB,Hits,C,Goblin,252,158,94,0.627
SOCCER,Fouls,A,Goblin,252,117,135,0.4643
SOCCER,Goal + Assist,B,—,251,85,166,0.3386
CBB,pra,C,Goblin,246,135,111,0.5488
NBA,FG Made,D,Demon,242,107,135,0.4421
NBA,Free Throws Attempted,D,Goblin,240,134,106,0.5583
SOCCER,Tackles,B,Demon,240,43,197,0.1792
SOCCER,Goals,A,—,239,76,163,0.318
NBA,Steals,D,Standard,238,125,113,0.5252
NBA,Blks+Stls,C,Goblin,237,137,100,0.5781
SOCCER,Fouls,B,—,229,47,182,0.2052
MLB,Total Bases,A,Standard,227,117,110,0.5154
NBA,Pts+Asts,A,Standard,226,115,111,0.5088
NBA,Two Pointers Attempted,D,Demon,225,111,114,0.4933
NBA,Blks+Stls,A,Goblin,224,145,79,0.6473
NBA,Two Pointers Attempted,D,Goblin,223,125,98,0.5605
SOCCER,Goalie Saves,B,—,223,80,143,0.3587
NHL,time_on_ice,C,—,222,128,94,0.5766
CBB,ra,C,Standard,217,119,98,0.5484
SOCCER,Assists,C,—,217,18,199,0.0829
NBA,Blks+Stls,B,Goblin,216,141,75,0.6528
NBA,Pts+Rebs+Asts,A,Standard,216,116,100,0.537
NBA,3-PT Attempted,D,Demon,215,93,122,0.4326
CBB,pts,D,Standard,213,88,125,0.4131
NBA,Pts+Rebs,A,Standard,211,108,103,0.5118
CBB,reb,C,Standard,210,116,94,0.5524
MLB,Pitcher Strikeouts,B,Demon,206,28,178,0.1359
MLB,Hits,A,Demon,206,21,185,0.1019
NBA,Points,C,Demon,205,138,67,0.6732
SOCCER,Fouls,D,Goblin,205,61,144,0.2976
NBA,Free Throws Made,D,Goblin,204,113,91,0.5539
NHL,Power Play Points,A,Goblin,204,39,165,0.1912
CBB,stl,C,Goblin,202,124,78,0.6139
NBA,Fantasy Score,B,Standard,200,138,62,0.69
NBA,Pts+Rebs+Asts,B,Standard,198,104,94,0.5253
MLB,Total Bases,C,Demon,197,51,146,0.2589
NHL,faceoffs_won,A,—,197,6,191,0.0305
NBA,3-PT Made (Combo),D,Standard,193,96,97,0.4974
NHL,assists,C,—,193,63,130,0.3264
CBB,pra,D,Standard,192,88,104,0.4583
CBB,pa,D,Standard,186,79,107,0.4247
MLB,Total Bases,C,Standard,185,68,117,0.3676
CBB,ra,D,Standard,184,98,86,0.5326
NBA,Rebs+Asts,C,Standard,184,95,89,0.5163
CBB,reb,D,Goblin,183,115,68,0.6284
NHL,goals,C,—,182,37,145,0.2033
CBB,fg3m,C,Goblin,181,108,73,0.5967
NHL,Points,C,Demon,181,89,92,0.4917
NBA,Blocked Shots,D,Standard,178,83,95,0.4663
MLB,Hitter Strikeouts,C,Standard,177,93,84,0.5254
NBA,Pts+Rebs,B,Standard,176,91,85,0.517
NHL,blocked_shots,B,—,176,79,97,0.4489
NHL,Points,A,Goblin,175,114,61,0.6514
CBB,pr,D,Standard,174,76,98,0.4368
NHL,points,A,—,174,51,123,0.2931
NBA,Rebounds,A,Standard,173,115,58,0.6647
NBA,Pts+Asts,B,Standard,173,82,91,0.474
SOCCER,Goals,C,—,169,35,134,0.2071
SOCCER,Goal + Assist,A,Demon,166,35,131,0.2108
MLB,Pitcher Strikeouts,D,Goblin,164,102,62,0.622
NHL,hits,A,—,162,162,0,1.0
NHL,Goals,A,Standard,161,129,32,0.8012
NHL,Shots On Goal,B,Standard,161,98,63,0.6087
NHL,Blocked Shots,D,Demon,161,51,110,0.3168
NBA,Assists,C,Standard,157,99,58,0.6306
CBB,reb,D,Standard,152,69,83,0.4539
NHL,hits,B,—,146,146,0,1.0
NHL,Plus/Minus,A,Goblin,146,78,68,0.5342
MLB,Total Bases,B,Standard,140,70,70,0.5
SOCCER,Tackles,C,Demon,138,34,104,0.2464
NBA,Rebounds,B,Standard,136,92,44,0.6765
MLB,Hits Allowed,D,Goblin,136,88,48,0.6471
NBA,FG Attempted,C,Standard,134,66,68,0.4925
SOCCER,Goals,B,—,133,30,103,0.2256
MLB,Hits,D,Standard,131,72,59,0.5496
MLB,Pitcher Strikeouts,A,Goblin,130,86,44,0.6615
NBA,Blocked Shots,A,Goblin,130,77,53,0.5923
MLB,Hitter Strikeouts,C,Goblin,129,83,46,0.6434
NBA,Turnovers,C,Goblin,128,74,54,0.5781
SOCCER,Goalie Saves,C,—,128,44,84,0.3438
NHL,Goals,C,Demon,125,79,46,0.632
CBB,—,—,Demon,124,25,99,0.2016
MLB,Walks,A,Demon,124,25,99,0.2016
NHL,shots_on_goal,B,—,122,44,78,0.3607
NBA,Assists,C,Demon,121,103,18,0.8512
NHL,Assists,C,Demon,121,56,65,0.4628
NHL,Goals,B,Standard,120,93,27,0.775
NBA,FG Attempted,D,Goblin,118,73,45,0.6186
NHL,Points,B,Standard,118,67,51,0.5678
MLB,Runs,A,Goblin,118,62,56,0.5254
CBB,pr,B,Standard,117,58,59,0.4957
NHL,shots_on_goal,A,—,117,34,83,0.2906
CBB,pra,D,Goblin,113,57,56,0.5044
MLB,Runs,C,Standard,113,44,69,0.3894
MLB,Hits Allowed,A,Goblin,112,72,40,0.6429
MLB,Pitcher Strikeouts,D,Standard,112,60,52,0.5357
NHL,Hits,A,Standard,112,59,53,0.5268
NBA,Blocked Shots,B,Goblin,111,77,34,0.6937
SOCCER,Assists,B,—,111,33,78,0.2973
NHL,hits,D,—,111,7,104,0.0631
NHL,goals,A,—,110,11,99,0.1
CBB,pra,B,Goblin,109,72,37,0.6606
NBA,Rebounds,C,Demon,109,71,38,0.6514
NHL,Shots On Goal,C,Demon,108,9,99,0.0833
NHL,goalie_saves,A,—,107,107,0,1.0
CBB,reb,B,Goblin,107,69,38,0.6449
CBB,pra,B,Standard,107,54,53,0.5047
NHL,blocked_shots,A,—,107,47,60,0.4393
SOCCER,Shots On Target,A,Goblin,106,83,23,0.783
CBB,ast,C,Standard,106,65,41,0.6132
NHL,Assists,B,Standard,106,61,45,0.5755
NBA,Fantasy Score,B,Goblin,105,84,21,0.8
NBA,FG Attempted,A,Standard,105,58,47,0.5524
NHL,goalie_saves,D,—,105,9,96,0.0857
MLB,Hits,C,Standard,104,47,57,0.4519
NHL,plus/minus,C,—,103,44,59,0.4272
NBA,Blocked Shots,C,Goblin,102,70,32,0.6863
NBA,Rebs+Asts,A,Standard,102,51,51,0.5
SOCCER,Shots,C,Demon,102,12,90,0.1176
CBB,pts,D,Goblin,101,70,31,0.6931
SOCCER,Assists,A,Demon,101,8,93,0.0792
NBA,Turnovers,B,Goblin,100,61,39,0.61
MLB,Runs,B,Standard,100,49,51,0.49
NBA,FG Attempted,D,Demon,99,44,55,0.4444
NHL,Blocked Shots,A,Goblin,98,76,22,0.7755
MLB,Pitcher Strikeouts,C,Goblin,96,58,38,0.6042
MLB,Runs,D,Goblin,96,47,49,0.4896
MLB,Hits,A,Standard,96,40,56,0.4167
CBB,pts,B,Standard,95,45,50,0.4737
NBA,Free Throws Made,C,Standard,94,53,41,0.5638
NBA,Free Throws Attempted,C,Standard,93,42,51,0.4516
SOCCER,Goals,A,Demon,92,15,77,0.163
NBA,Assists,A,Standard,90,69,21,0.7667
NBA,Turnovers,A,Goblin,89,59,30,0.6629
CBB,pa,B,Standard,88,50,38,0.5682
NHL,goals_allowed,D,—,88,35,53,0.3977
MLB,Runs,C,Demon,87,33,54,0.3793
MLB,Walks Allowed,D,Goblin,85,64,21,0.7529
CBB,tov,C,Goblin,85,48,37,0.5647
SOCCER,Shots,B,Demon,85,13,72,0.1529
NHL,faceoffs_won,D,—,84,84,0,1.0
NBA,Assists,B,Demon,83,77,6,0.9277
CBB,ast,D,Goblin,81,48,33,0.5926
NBA,Two Pointers Made,C,Goblin,80,49,31,0.6125
MLB,Pitcher Strikeouts,A,Demon,80,23,57,0.2875
CBB,ast,B,Goblin,79,50,29,0.6329
NBA,Steals,C,Standard,79,46,33,0.5823
NBA,Assists,B,Standard,79,43,36,0.5443
NBA,Free Throws Attempted,A,Standard,78,41,37,0.5256
SOCCER,Shots On Target,B,Demon,78,39,39,0.5
NBA,FG Attempted,B,Standard,77,45,32,0.5844
CBB,ast,D,Standard,77,30,47,0.3896
NHL,assists,A,—,77,16,61,0.2078
SOCCER,Goalie Saves,D,Demon,77,4,73,0.0519
NHL,Assists,A,Goblin,75,56,19,0.7467
NBA,Free Throws Made,A,Goblin,75,46,29,0.6133
SOCCER,Shots On Target,D,Goblin,74,43,31,0.5811
NHL,Shots On Goal,A,Demon,73,43,30,0.589
CBB,pra,A,Goblin,73,42,31,0.5753
CBB,tov,D,Goblin,72,46,26,0.6389
NBA,Turnovers,C,Standard,72,41,31,0.5694
SOCCER,Tackles,D,Demon,72,10,62,0.1389
SOCCER,Shots On Target,C,Demon,70,31,39,0.4429
NHL,points,B,—,70,30,40,0.4286
NBA,Rebs+Asts,B,Standard,69,37,32,0.5362
NHL,Shots On Goal,B,Goblin,69,1,68,0.0145
MLB,Hits,B,Standard,68,39,29,0.5735
MLB,Hitter Strikeouts,B,Standard,68,35,33,0.5147
MLB,Walks,D,Standard,68,34,34,0.5
NBA,Two Pointers Attempted,C,Standard,67,46,21,0.6866
CBB,—,—,Goblin,67,39,28,0.5821
NHL,Blocked Shots,A,Standard,67,31,36,0.4627
CBB,pr,C,Goblin,66,43,23,0.6515
NBA,Free Throws Made,B,Standard,66,38,28,0.5758
NHL,Plus/Minus,C,Demon,66,23,43,0.3485
NBA,Blks+Stls,C,Standard,65,36,29,0.5538
CBB,fg3m,C,Standard,65,27,38,0.4154
SOCCER,Goal + Assist,C,Demon,65,17,48,0.2615
NBA,3-PT Made,C,Standard,64,37,27,0.5781
CBB,—,—,Standard,63,36,27,0.5714
NHL,Assists,A,Demon,62,48,14,0.7742
NBA,Steals,A,Standard,62,26,36,0.4194
CBB,tov,D,Standard,61,28,33,0.459
NHL,Goals,A,Demon,60,48,12,0.8
CBB,stl,C,Standard,60,35,25,0.5833
NHL,Points,A,Demon,59,45,14,0.7627
NBA,Points,A,Demon,59,40,19,0.678
NBA,Free Throws Made,C,Goblin,59,38,21,0.6441
MLB,Pitcher Strikeouts,A,Standard,59,25,34,0.4237
NBA,Steals,B,Standard,58,32,26,0.5517
CBB,blk,C,Goblin,58,30,28,0.5172
MLB,Runs,A,Standard,58,28,30,0.4828
SOCCER,Assists,C,Demon,58,3,55,0.0517
CBB,stl,B,Goblin,57,40,17,0.7018
CBB,fg3m,D,Goblin,57,37,20,0.6491
NBA,Free Throws Attempted,B,Standard,57,31,26,0.5439
SOCCER,Goalie Saves,A,Goblin,57,30,27,0.5263
NBA,3-PT Attempted,C,Standard,57,29,28,0.5088
NBA,FG Made,C,Standard,57,26,31,0.4561
NBA,Pts+Rebs+Asts,C,Demon,57,22,35,0.386
NHL,goals,B,—,57,12,45,0.2105
MLB,Pitching Outs,D,Demon,56,23,33,0.4107
NHL,Shots On Goal,B,Demon,56,5,51,0.0893
NBA,Double-Double,D,Goblin,55,34,21,0.6182
NBA,Rebounds,A,Demon,55,32,23,0.5818
NBA,Two Pointers Made,A,Goblin,54,34,20,0.6296
NBA,FG Made,C,Goblin,54,33,21,0.6111
MLB,Walks,B,Standard,53,28,25,0.5283
NHL,Points,B,Demon,53,23,30,0.434
NHL,Faceoffs Won,A,Standard,52,52,0,1.0
CBB,tov,C,Standard,52,30,22,0.5769
NBA,Turnovers,B,Standard,52,30,22,0.5769
NBA,Two Pointers Made,B,Goblin,51,33,18,0.6471
MLB,Hitter Strikeouts,D,Standard,51,22,29,0.4314
NBA,Free Throws Made,A,Standard,50,23,27,0.46
SOCCER,Fouls,A,Demon,50,13,37,0.26
CBB,fg3m,B,Goblin,49,34,15,0.6939
NHL,Hits,A,Goblin,49,31,18,0.6327
NBA,Points,B,Demon,49,19,30,0.3878
NBA,Offensive Rebounds,D,Demon,49,14,35,0.2857
SOCCER,Goalie Saves,D,Goblin,49,10,39,0.2041
CBB,pr,A,Goblin,48,31,17,0.6458
NHL,Time On Ice,A,Standard,48,31,17,0.6458
NBA,Personal Fouls,C,Goblin,48,27,21,0.5625
SOCCER,Goalie Saves,A,Demon,48,10,38,0.2083
CBB,pra,A,Standard,47,26,21,0.5532
CBB,stl,D,Standard,47,26,21,0.5532
MLB,Walks,C,Standard,47,22,25,0.4681
NHL,Goals,A,Goblin,46,43,3,0.9348
NHL,Time On Ice,B,Standard,46,24,22,0.5217
MLB,Hits Allowed,D,Standard,45,25,20,0.5556
CBB,pr,A,Standard,45,23,22,0.5111
SOCCER,Passes Attempted,A,Standard,45,0,45,0.0
MLB,Walks Allowed,D,Standard,44,25,19,0.5682
SOCCER,Goal + Assist,B,Demon,44,18,26,0.4091
NBA,Free Throws Attempted,C,Goblin,43,33,10,0.7674
SOCCER,Shots,A,Standard,42,17,25,0.4048
MLB,Hits Allowed,C,Goblin,41,31,10,0.7561
CBB,fantasy,C,Goblin,41,29,12,0.7073
MLB,Walks Allowed,A,Goblin,40,27,13,0.675
CBB,pr,B,Goblin,40,26,14,0.65
CBB,reb,A,Goblin,40,26,14,0.65
NBA,3-PT Attempted,C,Goblin,40,24,16,0.6
NBA,Points (Combo),C,Standard,40,21,19,0.525
CBB,fg3m,D,Standard,40,17,23,0.425
MLB,Runs,B,Demon,40,16,24,0.4
NHL,Time On Ice,C,Standard,39,18,21,0.4615
NBA,Personal Fouls,C,Standard,39,17,22,0.4359
NHL,Shots On Goal,C,Standard,39,14,25,0.359
NHL,time_on_ice,A,—,39,11,28,0.2821
NHL,Time On Ice,A,Goblin,38,38,0,1.0
NBA,Assists,A,Demon,38,31,7,0.8158
SOCCER,Goalie Saves,A,Standard,38,24,14,0.6316
MLB,Pitching Outs,D,Goblin,37,21,16,0.5676
NBA,Free Throws Made,B,Goblin,37,19,18,0.5135
NBA,Fantasy Score,C,Demon,37,18,19,0.4865
NHL,time_on_ice,B,—,37,18,19,0.4865
NBA,Rebs+Asts,C,Demon,37,14,23,0.3784
NHL,assists,B,—,37,14,23,0.3784
SOCCER,Fouls,C,Demon,37,7,30,0.1892
NHL,Goals,B,Demon,36,28,8,0.7778
NHL,Points,C,Standard,36,17,19,0.4722
CBB,ra,D,Goblin,35,24,11,0.6857
CBB,stl,D,Goblin,34,23,11,0.6765
NBA,Two Pointers Made,C,Standard,34,15,19,0.4412
NBA,Free Throws Attempted,C,Demon,34,12,22,0.3529
MLB,Hits Allowed,B,Demon,34,4,30,0.1176
NHL,Points,B,Goblin,33,21,12,0.6364
MLB,Walks,A,Goblin,33,19,14,0.5758
MLB,Hitter Strikeouts,A,Standard,33,16,17,0.4848
MLB,Hits Allowed,A,Standard,32,20,12,0.625
NBA,Two Pointers Attempted,A,Standard,32,18,14,0.5625
NBA,Two Pointers Attempted,B,Standard,32,18,14,0.5625
CBB,pa,A,Standard,32,17,15,0.5312
NBA,Pts+Asts,C,Demon,32,15,17,0.4688
NBA,Turnovers,A,Standard,31,19,12,0.6129
CBB,fantasy,D,Standard,31,15,16,0.4839
NBA,Free Throws Made,C,Demon,31,11,20,0.3548
NBA,Two Pointers Attempted,C,Goblin,30,19,11,0.6333
NBA,Steals,C,Demon,30,7,23,0.2333
NBA,Points (Combo),A,Standard,29,19,10,0.6552
CBB,pts,A,Standard,29,14,15,0.4828
NBA,3-PT Made,B,Standard,29,13,16,0.4483
MLB,Pitching Outs,D,Standard,29,11,18,0.3793
SOCCER,Assists,B,Demon,29,3,26,0.1034
NBA,Triple-Double,D,Demon,29,1,28,0.0345
SOCCER,Goals,C,Demon,29,1,28,0.0345
SOCCER,Passes Attempted,B,Standard,29,0,29,0.0
NBA,Rebounds,B,Demon,28,20,8,0.7143
CBB,fantasy,C,Standard,28,17,11,0.6071
CBB,blk,C,Standard,28,16,12,0.5714
NBA,Personal Fouls,B,Goblin,28,16,12,0.5714
NBA,Blocked Shots,C,Standard,28,15,13,0.5357
NBA,Fantasy Score,B,Demon,28,15,13,0.5357
MLB,Pitcher Strikeouts,B,Standard,28,12,16,0.4286
MLB,Walks,B,Demon,28,12,16,0.4286
NHL,Plus/Minus,B,Demon,28,12,16,0.4286
MLB,Pitching Outs,B,Demon,27,17,10,0.6296
MLB,Walks,A,Standard,27,16,11,0.5926
MLB,Walks,D,Goblin,27,15,12,0.5556
MLB,Hits Allowed,A,Demon,27,13,14,0.4815
NBA,3-PT Made,A,Standard,27,11,16,0.4074
MLB,Walks,C,Demon,27,9,18,0.3333
MLB,Hits Allowed,B,Goblin,26,22,4,0.8462
NBA,Two Pointers Made,B,Standard,26,20,6,0.7692
MLB,Pitching Outs,A,Standard,26,15,11,0.5769
NBA,Personal Fouls,A,Goblin,26,15,11,0.5769
CBB,blk,D,Standard,26,14,12,0.5385
NBA,Blks+Stls,B,Standard,26,13,13,0.5
CBB,fantasy,B,Goblin,25,19,6,0.76
NBA,Offensive Rebounds,D,Goblin,25,18,7,0.72
NBA,Pts+Rebs+Asts,B,Demon,25,11,14,0.44
SOCCER,Fouls,B,Goblin,25,10,15,0.4
NHL,Power Play Points,A,Demon,25,5,20,0.2
NBA,Free Throws Attempted,B,Goblin,24,16,8,0.6667
