sport,player,prop_type,direction,pick_type,line,edge,rank_score,tier,hit_prob_over,hit_prob_under,hit_prob_selected,hit_prob_actionable,leg_prob_used,prop_quality_score,rank_read_score,data_completeness_score,pick_type_eligible,distribution_std,distribution_n,std_norm,confidence_score,calibration_bucket,calibration_actual_hit_rate,calibration_n,read_fields_missing
Tennis,Mirra Andreeva,Total Games Won,OVER,Goblin,10.5,3.0,7.8,D,0.4,0.0,0.4,0.4,0.4,0.5395126338668874,0.37739999999999996,0.9,False,1.5,2,0.42857142857142855,0.6916865647105535,,,,"[""confidence_score""]"
Tennis,Mirra Andreeva,Total Games,OVER,Goblin,17.5,3.0,7.8,D,0.4,0.0,0.4,0.4,0.4,0.5395126338668874,0.37739999999999996,0.9,False,2.5,2,0.35714285714285715,0.7095437075676964,,,,"[""confidence_score""]"
MLB,Otto Lopez,Hits+Runs+RBIs,OVER,Goblin,0.5,2.3,7.79,B,1.0,0.0,1.0,1.0,1.0,0.5498679185006294,0.7129333333333333,0.8,True,1.7,10,0.6409122055386156,0.6022257200905665,,,,"[""confidence_score"", ""calibration_bucket""]"
MLB,Otto Lopez,Hits,OVER,Goblin,0.5,1.3,7.59,B,1.0,0.0,1.0,1.0,1.0,0.5345265153850026,0.6942666666666666,0.8,True,0.7483314773547883,10,0.6324555320336759,0.598970397376332,,,,"[""confidence_score"", ""calibration_bucket""]"
WNBA,Jackie Young,Rebounds,OVER,Goblin,2.5,2.15,7.47,C,1.0,0.0,1.0,1.0,1.0,0.7719391439757274,0.7157333333333333,0.8,True,2.3430749027719964,10,0.5939930668754847,0.6916804336726334,,,,"[""confidence_score"", ""calibration_bucket""]"
WNBA,Leila Lacan,Assists,UNDER,Standard,5.0,-1.95,7.42,D,0.0,0.8,0.8,0.8,0.8,0.3838214713121297,0.5982000000000001,0.8,True,1.746424919657298,10,0.5127680123435535,0.576145511873357,7,0.526066,1266.0,"[""confidence_score"", ""calibration_bucket""]"
WNBA,Veronica Burton,Rebounds,OVER,Goblin,1.5,1.95,7.35,A,1.0,0.0,1.0,1.0,1.0,0.7985577453619468,0.7492,0.8,True,1.5524174696260025,10,0.3935534509644997,0.7511068481355564,,,,"[""confidence_score"", ""calibration_bucket""]"
MLB,Davis Martin,Pitcher Strikeouts,OVER,Goblin,4.5,3.5,7.25,D,1.0,0.0,1.0,1.0,1.0,0.5245276207176499,0.6943333333333334,0.8,True,1.9595917942265424,10,0.6310966503689096,0.59581050465895,,,,"[""confidence_score"", ""calibration_bucket""]"
WNBA,NaLyssa Smith,Points,OVER,Goblin,5.5,6.4,7.17,A,0.8,0.2,0.8,0.8,0.8,0.7671150070781328,0.7506666666666666,0.8,True,4.728636167014756,10,0.650045084747519,0.6759789812904669,7,0.526066,1266.0,"[""confidence_score"", ""calibration_bucket""]"
WNBA,Veronica Burton,3-PT Made,OVER,Goblin,0.5,1.45,7.14,A,1.0,0.0,1.0,1.0,1.0,0.790392267267515,0.7470666666666667,0.8,True,0.9433981132056604,10,0.5437656325319977,0.7106958854106309,,,,"[""confidence_score"", ""calibration_bucket""]"
MLB,Xavier Edwards,Hits+Runs+RBIs,OVER,Goblin,0.5,1.5,7.09,B,1.0,0.0,1.0,1.0,1.0,0.5355430953831738,0.698,0.8,True,1.0,10,0.37700717972859743,0.6631882884519615,,,,"[""confidence_score"", ""calibration_bucket""]"
WNBA,Cecilia Zandalasini,Points,OVER,Goblin,4.5,4.9,7.06,A,1.0,0.0,1.0,1.0,1.0,0.840658475476777,0.8042666666666667,0.8,True,5.114684741017769,10,0.7031151390170728,0.6884516816626037,,,,"[""confidence_score"", ""calibration_bucket""]"
MLB,Ceddanne Rafaela,Hits+Runs+RBIs,OVER,Goblin,0.5,3.1,6.86,B,1.0,0.0,1.0,1.0,1.0,0.5580063859877703,0.7278666666666667,0.8,True,2.5475478405713994,10,0.9604438265975018,0.5251912784463443,,,,"[""confidence_score"", ""calibration_bucket""]"
WNBA,Jordin Canada,Rebounds,OVER,Goblin,1.5,2.15,6.85,A,0.8,0.2,0.8,0.8,0.8,0.7034025526702029,0.6569333333333334,0.8,True,2.3259406699226015,10,0.5896493664215512,0.6687785518291833,7,0.526066,1266.0,"[""confidence_score"", ""calibration_bucket""]"
MLB,Shane Baz,Pitcher Strikeouts,OVER,Goblin,3.5,2.1,6.71,C,1.0,0.0,1.0,1.0,1.0,0.526640178553669,0.6231999999999999,0.8,True,1.4866068747318506,10,0.4787694160706424,0.6346317084761235,,,,"[""confidence_score"", ""calibration_bucket""]"
WNBA,Georgia Amoore,Pts+Rebs+Asts,UNDER,Standard,15.5,-4.06,6.67,D,0.2,0.8,0.8,0.8,0.8,0.477569022961251,0.6447866666666667,0.8,True,4.685148587179559,9,0.478245539947751,0.6175877730495001,7,0.526066,1266.0,"[""confidence_score"", ""calibration_bucket""]"
WNBA,Chelsea Gray,Assists,OVER,Goblin,4.5,2.35,6.65,C,1.0,0.0,1.0,1.0,1.0,0.7713915999815522,0.7266666666666666,0.8,True,1.6155494421403513,10,0.474341649025257,0.721401647737229,,,,"[""confidence_score"", ""calibration_bucket""]"
WNBA,Natasha Cloud,Rebounds,OVER,Goblin,2.5,2.15,6.54,C,0.8,0.2,0.8,0.8,0.8,0.6719101814576712,0.6341333333333333,0.8,True,1.8466185312619388,10,0.4681363807173683,0.6881344683308429,7,0.526066,1266.0,"[""confidence_score"", ""calibration_bucket""]"
WNBA,Skylar Diggins,Rebounds,OVER,Goblin,1.5,2.0,6.53,A,0.8,0.2,0.8,0.8,0.8,0.699659312845927,0.6541333333333333,0.8,True,2.9933259094191533,10,0.7588382407195925,0.6251711993161764,7,0.526066,1266.0,"[""confidence_score"", ""calibration_bucket""]"
MLB,Davis Martin,Pitcher Strikeouts,OVER,Standard,5.0,3.0,6.47,A,1.0,0.0,1.0,1.0,1.0,0.568642055125441,0.74,0.8,True,1.9595917942265424,10,0.6310966503689096,0.6112505567016769,,,,"[""confidence_score"", ""calibration_bucket""]"
MLB,Jake McCarthy,Hits+Runs+RBIs,OVER,Goblin,0.5,2.9,6.47,C,1.0,0.0,1.0,1.0,1.0,0.5371753884587742,0.7081333333333333,0.8,True,2.1095023109728985,10,0.7952975168908512,0.5591870067378583,,,,"[""confidence_score"", ""calibration_bucket""]"
MLB,Otto Lopez,Hitter Fantasy Score,OVER,Goblin,3.5,6.5,6.47,B,1.0,0.0,1.0,1.0,1.0,0.6059753884587743,0.7913333333333333,0.8,True,4.454211490264018,10,0.45116962425070517,0.6692989798978948,,,,"[""confidence_score"", ""calibration_bucket""]"
MLB,Xavier Edwards,Total Bases,OVER,Goblin,0.5,1.5,6.4,B,0.8,0.2,0.8,0.8,0.8,0.5657734915472497,0.6164,0.8,True,1.61245154965971,10,0.6457045136712699,0.6065945936237199,5,0.566788,5510.0,"[""confidence_score"", ""calibration_bucket""]"
WNBA,Georgia Amoore,Pts+Asts,UNDER,Standard,13.5,-3.18,6.37,D,0.2,0.8,0.8,0.8,0.8,0.4631278075813541,0.62116,0.8,True,4.422166387140534,9,0.5026653132409092,0.6064284043432466,7,0.526066,1266.0,"[""confidence_score"", ""calibration_bucket""]"
MLB,Matt Chapman,Hitter Fantasy Score,UNDER,Standard,5.0,-4.0,6.34,B,0.0,0.8,0.8,0.8,0.8,0.5172289755263909,0.6630666666666666,0.8,True,3.753664875824692,10,0.38021085781189834,0.6559774269812623,5,0.566788,5510.0,"[""confidence_score"", ""calibration_bucket""]"
MLB,Nick Sogard,Hitter Fantasy Score,OVER,Goblin,1.5,5.3,6.31,B,1.0,0.0,1.0,1.0,1.0,0.5875197885106783,0.7689333333333334,0.8,True,2.5555062599997598,7,0.2588486877227457,0.710919754048051,,,,"[""confidence_score"", ""calibration_bucket""]"
MLB,Andy Pages,Total Bases,OVER,Goblin,0.5,3.7,6.29,B,0.8,0.2,0.8,0.8,0.8,0.5974428457190564,0.6574666666666666,0.8,True,3.3778691508109073,10,1.0,0.5291049960016698,5,0.566788,5510.0,"[""confidence_score"", ""calibration_bucket""]"
MLB,Michael Busch,Hits+Runs+RBIs,OVER,Goblin,0.5,2.5,6.28,B,1.0,0.0,1.0,1.0,1.0,0.5462874255831559,0.7166666666666667,0.8,True,2.4515301344262523,10,0.9242444619997107,0.5301394834541769,,,,"[""confidence_score"", ""calibration_bucket""]"
WNBA,Cecilia Zandalasini,3-PT Made,OVER,Goblin,0.5,1.1,6.25,C,1.0,0.0,1.0,1.0,1.0,0.7509616973290847,0.6961333333333333,0.8,True,0.8,10,0.46111233416338804,0.7175585105243326,,,,"[""confidence_score"", ""calibration_bucket""]"
MLB,Brandon Marsh,Hits+Runs+RBIs,OVER,Goblin,0.5,2.9,6.25,C,1.0,0.0,1.0,1.0,1.0,0.5359866973290845,0.6381333333333333,0.8,True,1.4,10,0.5278100516200364,0.6256428311601706,,,,"[""confidence_score"", ""calibration_bucket""]"
WNBA,Leila Lacan,Rebs+Asts,UNDER,Standard,7.5,-1.99,6.24,D,0.0,1.0,1.0,1.0,1.0,0.4089588524539758,0.6877466666666667,0.8,True,2.1540659228538015,10,0.45502793751361437,0.599378613980488,,,,"[""confidence_score"", ""calibration_bucket""]"
WNBA,Georgia Amoore,Points,UNDER,Standard,8.5,-2.34,6.19,D,0.2,0.8,0.8,0.8,0.8,0.4498084220672731,0.61268,0.8,True,3.314763086705844,9,0.4556801106091367,0.6135129200712615,7,0.526066,1266.0,"[""confidence_score"", ""calibration_bucket""]"
WNBA,Cecilia Zandalasini,Points,OVER,Goblin,5.5,3.9,6.14,B,1.0,0.0,1.0,1.0,1.0,0.8073998227030402,0.7716,0.8,True,5.114684741017769,10,0.7031151390170728,0.676811153191796,,,,"[""confidence_score"", ""calibration_bucket""]"
WNBA,Allisha Gray,Steals,OVER,Goblin,0.5,0.55,6.13,A,0.8,0.2,0.8,0.8,0.8,0.676208183463373,0.6198666666666667,0.8,True,0.9433981132056604,10,0.6112849167340874,0.6538516350286587,7,0.526066,1266.0,"[""confidence_score"", ""calibration_bucket""]"
MLB,Andy Pages,Hits+Runs+RBIs,OVER,Goblin,0.5,3.9,6.09,B,0.8,0.2,0.8,0.8,0.8,0.5992313222318829,0.6611999999999999,0.8,True,3.2388269481403293,10,1.0,0.529730962781159,5,0.566788,5510.0,"[""confidence_score"", ""calibration_bucket""]"
WNBA,Shakira Austin,Two Pointers Attempted,UNDER,Standard,12.0,-2.05,6.06,D,0.0,1.0,1.0,1.0,1.0,0.4087945087582049,0.6744666666666667,0.8,True,2.0124611797498106,10,0.4933350591132038,0.5897443132870708,,,,"[""confidence_score"", ""calibration_bucket""]"
MLB,Michael Busch,Hitter Fantasy Score,OVER,Goblin,1.5,11.1,6.02,B,1.0,0.0,1.0,1.0,1.0,0.6709120625553723,0.8772,0.8,True,8.768694315575152,10,0.8881860522731575,0.582772708826091,,,,"[""confidence_score"", ""calibration_bucket""]"
MLB,Angel Martínez,Hitter Fantasy Score,UNDER,Standard,5.0,-3.6,5.96,B,0.0,0.8,0.8,0.8,0.8,0.5091566537583178,0.6556,0.8,True,3.54400902933387,10,0.3589746974522067,0.6584611544523595,5,0.566788,5510.0,"[""confidence_score"", ""calibration_bucket""]"
