sport,player,prop_type,direction,pick_type,line,edge,rank_score,tier,hit_prob_over,hit_prob_under,hit_prob_selected,hit_prob_actionable,leg_prob_used,prop_quality_score,rank_read_score,implied_prob,implied_prob_over,implied_prob_under,cross_edge,data_completeness_score,pick_type_eligible,distribution_std,distribution_n,std_norm,confidence_score,calibration_bucket,calibration_actual_hit_rate,calibration_n,read_fields_missing
Tennis,Ashlyn Krueger,Total Games,OVER,Goblin,18.5,5.9,6.4,D,0.8,0.2,0.8,0.8,0.8,0.7011818248805831,0.6091333333333334,,,,,0.9,True,4.2479,10,0.5780084907200783,0.7109115160281845,,,,[]
Tennis,Petra Marcinko,Total Games,OVER,Goblin,16.5,4.1,6.4,D,0.8,0.2,0.8,0.8,0.8,0.6747818248805831,0.5755333333333333,,,,,0.9,True,6.2013,10,0.8438061285582105,0.6352221065686515,,,,[]
Tennis,Petra Marcinko,Total Games,OVER,Goblin,17.5,3.1,6.4,D,0.8,0.2,0.8,0.8,0.8,0.6601151582139164,0.5568666666666667,,,,,0.9,True,6.2013,10,0.8438061285582105,0.6300887732353181,,,,[]
Tennis,Maja Chwalinska,Total Games Won,OVER,Goblin,6.5,4.1,6.4,D,0.8,0.2,0.8,0.8,0.8,0.674781824880583,0.5755333333333333,,,,,0.9,True,4.8178,10,0.8870272857826711,0.6244168172625363,,,,[]
Tennis,Maja Chwalinska,Double Faults,OVER,Goblin,1.5,1.1,6.4,D,0.8,0.2,0.8,0.8,0.8,0.6307818248805831,0.5195333333333333,,,,,0.9,True,1.6193,10,0.5022113052593712,0.7052208123933613,,,,[]
Tennis,Leyre Romero Gormaz,Aces,OVER,Goblin,1.5,0.3,6.26,D,0.8,0.2,0.8,0.8,0.8,0.6182843519070785,0.483,,,,,0.9,True,2.0354,7,0.5420505992010652,0.6908868733672112,,,,[]
MLB,Brandon Marsh,Hits+Runs+RBIs,OVER,Goblin,0.5,2.9,6.26,C,1.0,0.0,1.0,1.0,1.0,0.5360426852404118,0.6381333333333333,,,,,0.8,True,1.4757,10,0.5091605423869165,0.630324804237415,,,,[]
Tennis,Leyre Romero Gormaz,Double Faults,OVER,Goblin,2.5,2.1,6.26,D,0.8,0.2,0.8,0.8,0.8,0.6446843519070785,0.5166,,,,,0.9,True,3.3665,7,1.0,0.5856395231674775,,,,[]
MLB,Andy Pages,Total Bases,OVER,Goblin,0.5,3.7,6.25,C,0.8,0.2,0.8,0.8,0.8,0.5812200306624179,0.6414666666666666,0.5475,0.5475,0.5215,0.25250000000000006,0.8,True,3.5606,10,1.0,0.5234270107318463,5,0.566788,5510.0,[]
WNBA,Angel Reese,Points,OVER,Goblin,9.5,3.8,6.23,A,1.0,0.0,1.0,1.0,1.0,0.820449150094954,0.7065333333333333,,,,,0.8,True,3.3928,10,0.40105441091291655,0.7568935998050048,,,,[]
