player_id,player_name_pp,team_pp,nba_player_id,nba_player_name,resolver
3908809,Donovan Mitchell,CLE,1628378,Donovan Mitchell,espn_name_strict
4432158,Evan Mobley,CLE,1630596,Evan Mobley,espn_name_strict
2580365,Larry Nance Jr.,CLE,1626204,Larry Nance Jr.,espn_name_strict
4701233,Craig Porter Jr.,CLE,1641854,Craig Porter Jr.,espn_name_strict
5023693,Tyrese Proctor,CLE,1642878,Tyrese Proctor,espn_name_strict
4065778,Max Strus,CLE,1629622,Max Strus,espn_name_strict
5106268,Nae'Qwan Tomlin,CLE,1641772,Nae'Qwan Tomlin,espn_name_strict
4683747,Jaylon Tyson,CLE,1642281,Jaylon Tyson,espn_name_strict
3912848,Dean Wade,CLE,1629731,Dean Wade,espn_name_strict
4277848,Marvin Bagley III,DAL,1628963,Marvin Bagley III,espn_name_strict
4432582,Max Christie,DAL,1631108,Max Christie,espn_name_strict
4701208,Moussa Cisse,DAL,1630619,Moussa Cisse,espn_name_strict
5041939,Cooper Flagg,DAL,1642843,Cooper Flagg,espn_name_strict
4278049,Daniel Gafford,DAL,1629655,Daniel Gafford,espn_name_strict
6442,Kyrie Irving,DAL,202681,Kyrie Irving,espn_name_strict
5170947,AJ Johnson,DAL,1642358,AJ Johnson,espn_name_strict
3135046,Tyus Jones,DAL,1626145,Tyus Jones,espn_name_strict
4696317,Miles Kelly,DAL,1642939,Miles Kelly,espn_name_strict
4683688,Dereck Lively II,DAL,1641726,Dereck Lively II,espn_name_strict
4278594,Naji Marshall,DAL,1630230,Naji Marshall,espn_name_strict
3138160,Caleb Martin,DAL,1628997,Caleb Martin,espn_name_strict
6609,Khris Middleton,DAL,203114,Khris Middleton,espn_name_strict
4433629,Ryan Nembhard,DAL,1642948,Ryan Nembhard,espn_name_strict
2531367,Dwight Powell,DAL,203939,Dwight Powell,espn_name_strict
6475,Klay Thompson,DAL,202691,Klay Thompson,espn_name_strict
4278078,P.J. Washington,DAL,1629023,P.J. Washington,espn_name_strict
4397040,Brandon Williams,DAL,1630314,Brandon Williams,espn_name_strict
4683933,Tamar Bates,DEN,1642926,Tamar Bates,espn_name_strict
4431767,Christian Braun,DEN,1631128,Christian Braun,espn_name_strict
4065670,Bruce Brown,DEN,1628971,Bruce Brown,espn_name_strict
3064290,Aaron Gordon,DEN,203932,Aaron Gordon,espn_name_strict
2528210,Tim Hardaway Jr.,DEN,203501,Tim Hardaway Jr.,espn_name_strict
4433607,DaRon Holmes II,DEN,1641747,DaRon Holmes II,espn_name_strict
3138196,Cameron Johnson,DEN,1629661,Cameron Johnson,espn_name_strict
4898369,Curtis Jones,DEN,1642938,Curtis Jones,espn_name_strict
4592427,Spencer Jones,DEN,1642461,Spencer Jones,espn_name_strict
3936299,Jamal Murray,DEN,1627750,Jamal Murray,espn_name_strict
4431690,Zeke Nnaji,DEN,1630192,Zeke Nnaji,espn_name_strict
4398390,Jalen Pickett,DEN,1629618,Jalen Pickett,espn_name_strict
4683834,KJ Simpson,DEN,1642354,KJ Simpson,espn_name_strict
4432181,Julian Strawther,DEN,1631124,Julian Strawther,espn_name_strict
4576087,Peyton Watson,DEN,1631212,Peyton Watson,espn_name_strict
4432166,Cade Cunningham,DET,1630595,Cade Cunningham,espn_name_strict
4433621,Jalen Duren,DET,1631105,Jalen Duren,espn_name_strict
2596112,Javonte Green,DET,1629750,Javonte Green,espn_name_strict
6440,Tobias Harris,DET,202699,Tobias Harris,espn_name_strict
4683771,Ronald Holland II,DET,1641842,Ronald Holland II,espn_name_strict
4066372,Kevin Huerter,DET,1628989,Kevin Huerter,espn_name_strict
5107199,Daniss Jenkins,DET,1642450,Daniss Jenkins,espn_name_strict
5107818,Isaac Jones,DET,1642403,Isaac Jones,espn_name_strict
4906923,Bobi Klintman,DET,1641752,Bobi Klintman,espn_name_strict
4700852,Chaz Lanier,DET,1642404,Chaz Lanier,espn_name_strict
2991043,Caris LeVert,DET,1627747,Caris LeVert,espn_name_strict
4592187,Wendell Moore Jr.,DET,1631111,Wendell Moore Jr.,espn_name_strict
4278562,Paul Reed,DET,1630194,Paul Reed,espn_name_strict
3157465,Duncan Robinson,DET,1629130,Duncan Robinson,espn_name_strict
4432107,Marcus Sasser,DET,1631204,Marcus Sasser,espn_name_strict
4397882,Tolu Smith,DET,1642449,Tolu Smith,espn_name_strict
4432810,Isaiah Stewart,DET,1630191,Isaiah Stewart,espn_name_strict
4684742,Ausar Thompson,DET,1641709,Ausar Thompson,espn_name_strict
6430,Jimmy Butler III,GSW,202710,Jimmy Butler III,espn_name_strict
3975,Stephen Curry,GSW,201939,Stephen Curry,espn_name_strict
6589,Draymond Green,GSW,203110,Draymond Green,espn_name_strict
3213,Al Horford,GSW,201143,Al Horford,espn_name_strict
4066436,De'Anthony Melton,GSW,1629001,De'Anthony Melton,espn_name_strict
4432171,Moses Moody,GSW,1630541,Moses Moody,espn_name_strict
3134903,Gary Payton II,GSW,1627780,Gary Payton II,espn_name_strict
4709138,Brandin Podziemski,GSW,1641764,Brandin Podziemski,espn_name_strict
4593016,Quinten Post,GSW,1642366,Quinten Post,espn_name_strict
4897262,Will Richard,GSW,1642954,Will Richard,espn_name_strict
4997536,Gui Santos,GSW,1630611,Gui Santos,espn_name_strict
4592714,Pat Spencer,GSW,1630311,Pat Spencer,espn_name_strict
2991235,Steven Adams,HOU,203500,Steven Adams,espn_name_strict
3102529,Clint Capela,HOU,203991,Clint Capela,espn_name_strict
4592857,Isaiah Crawford,HOU,1642384,Isaiah Crawford,espn_name_strict
4576085,JD Davison,HOU,1631120,JD Davison,espn_name_strict
3202,Kevin Durant,HOU,201142,Kevin Durant,espn_name_strict
4433192,Tari Eason,HOU,1631106,Tari Eason,espn_name_strict
2578185,Dorian Finney-Smith,HOU,1627827,Dorian Finney-Smith,espn_name_strict
3209,Jeff Green,HOU,201145,Jeff Green,espn_name_strict
3922230,Aaron Holiday,HOU,1628988,Aaron Holiday,espn_name_strict
4065663,Josh Okogie,HOU,1629006,Josh Okogie,espn_name_strict
4871144,Alperen Sengun,HOU,1630578,Alperen Sengun,espn_name_strict
4711272,Reed Sheppard,HOU,1642263,Reed Sheppard,espn_name_strict
4432639,Jabari Smith Jr.,HOU,1631095,Jabari Smith Jr.,espn_name_strict
3136777,Jae'Sean Tate,HOU,1630256,Jae'Sean Tate,espn_name_strict
4684740,Amen Thompson,HOU,1641708,Amen Thompson,espn_name_strict
2991230,Fred VanVleet,HOU,1627832,Fred VanVleet,espn_name_strict
4431752,Kobe Brown,IND,1641738,Kobe Brown,espn_name_strict
5157066,Johnny Furphy,IND,1642277,Johnny Furphy,espn_name_strict
4396993,Tyrese Haliburton,IND,1630169,Tyrese Haliburton,espn_name_strict
4065731,Jay Huff,IND,1630643,Jay Huff,espn_name_strict
4592829,Quenton Jackson,IND,1631245,Quenton Jackson,espn_name_strict
4697268,Kam Jones,IND,1642880,Kam Jones,espn_name_strict
2530530,T.J. McConnell,IND,204456,T.J. McConnell,espn_name_strict
4395712,Andrew Nembhard,IND,1629614,Andrew Nembhard,espn_name_strict
4396909,Aaron Nesmith,IND,1630174,Aaron Nesmith,espn_name_strict
4703421,Taelon Peter,IND,1643007,Taelon Peter,espn_name_strict
4433076,Ben Sheppard,IND,1641767,Ben Sheppard,espn_name_strict
3149673,Pascal Siakam,IND,1627783,Pascal Siakam,espn_name_strict
4278355,Obi Toppin,IND,1630167,Obi Toppin,espn_name_strict
5106060,Jarace Walker,IND,1641716,Jarace Walker,espn_name_strict
4017837,Ivica Zubac,IND,1627826,Ivica Zubac,espn_name_strict
3416,Nicolas Batum,LAC,201587,Nicolas Batum,espn_name_strict
6580,Bradley Beal,LAC,203078,Bradley Beal,espn_name_strict
4845363,Cam Christie,LAC,1642353,Cam Christie,espn_name_strict
3908845,John Collins,LAC,1628381,John Collins,espn_name_strict
2991139,Kris Dunn,LAC,1627739,Kris Dunn,espn_name_strict
4396907,Darius Garland,LAC,1629636,Darius Garland,espn_name_strict
4432170,Isaiah Jackson,LAC,1630543,Isaiah Jackson,espn_name_strict
3936099,Derrick Jones Jr.,LAC,1627884,Derrick Jones Jr.,espn_name_strict
6450,Kawhi Leonard,LAC,202695,Kawhi Leonard,espn_name_strict
3448,Brook Lopez,LAC,201572,Brook Lopez,espn_name_strict
4683634,Bennedict Mathurin,LAC,1631097,Bennedict Mathurin,espn_name_strict
4396818,Jordan Miller,LAC,1641757,Jordan Miller,espn_name_strict
4702352,Kobe Sanders,LAC,1642920,Kobe Sanders,espn_name_strict
4278129,Deandre Ayton,LAL,1629028,Deandre Ayton,espn_name_strict
4066648,Rui Hachimura,LAL,1629060,Rui Hachimura,espn_name_strict
4397077,Jaxson Hayes,LAL,1629637,Jaxson Hayes,espn_name_strict
4683774,Bronny James,LAL,1642355,Bronny James,espn_name_strict
1966,LeBron James,LAL,2544,LeBron James,espn_name_strict
3913174,Luke Kennard,LAL,1628379,Luke Kennard,espn_name_strict
2960236,Maxi Kleber,LAL,1628467,Maxi Kleber,espn_name_strict
4897943,Dalton Knecht,LAL,1642261,Dalton Knecht,espn_name_strict
4592691,Jake LaRavia,LAL,1631222,Jake LaRavia,espn_name_strict
4066457,Austin Reaves,LAL,1630559,Austin Reaves,espn_name_strict
