projection_id,player_name,team,prop_type,line_score,start_time,sport,league,pick_type,standard_line,goblin_line,demon_line,pp_projection_id,player_id,pp_game_id,player,line,pos,opp_team,pp_home_team,pp_away_team,image_url,tournament,prop_norm,unsupported_prop,espn_athlete_id,tour
12077760,Granollers M / Zeballos H,GRANOLLERS M / ZEBALLOS H,Fantasy Score,19.5,2026-05-14T09:20:00.000-04:00,Tennis,TENNIS,Standard,19.5,,,12077760,305062,158954,Granollers M / Zeballos H,19.5,Player,,,,https://static.prizepicks.com/images/manual/Granollers M : Zeballos H.png,,fantasy_score,1,,ATP
12084499,Erler A / Miedler L,ERLER A / MIEDLER L,Total Games,21.0,2026-05-14T10:30:00.000-04:00,Tennis,TENNIS,Standard,21.0,,,12084499,217326,159183,Erler A / Miedler L,21.0,Player,,,,https://static.prizepicks.com/images/manual/ErlerMiedler.png,,match_total_games,0,,ATP
12084498,Erler A / Miedler L,ERLER A / MIEDLER L,Fantasy Score,13.0,2026-05-14T10:30:00.000-04:00,Tennis,TENNIS,Standard,13.0,,,12084498,217326,159183,Erler A / Miedler L,13.0,Player,,,,https://static.prizepicks.com/images/manual/ErlerMiedler.png,,fantasy_score,1,,ATP
12084500,Erler A / Miedler L,ERLER A / MIEDLER L,Break Points Won,2.0,2026-05-14T10:30:00.000-04:00,Tennis,TENNIS,Standard,2.0,,,12084500,217326,159183,Erler A / Miedler L,2.0,Player,,,,https://static.prizepicks.com/images/manual/ErlerMiedler.png,,break_points_won,0,,ATP
12084560,Jessica Bouzas Maneiro,JESSICA BOUZAS MANEIRO,Fantasy Score,21.0,2026-05-14T10:30:00.000-04:00,Tennis,TENNIS,Standard,21.0,,,12084560,267999,159240,Jessica Bouzas Maneiro,21.0,Player,,,,https://static.prizepicks.com/images/manual/bouzas.png,,fantasy_score,1,6059,WTA
12084566,Jessica Bouzas Maneiro,JESSICA BOUZAS MANEIRO,Break Points Won,5.5,2026-05-14T10:30:00.000-04:00,Tennis,TENNIS,Standard,5.5,,,12084566,267999,159240,Jessica Bouzas Maneiro,5.5,Player,,,,https://static.prizepicks.com/images/manual/bouzas.png,,break_points_won,0,6059,WTA
12084607,Nouza P / Oberleitner N,NOUZA P / OBERLEITNER N,Fantasy Score,22.0,2026-05-14T10:30:00.000-04:00,Tennis,TENNIS,Standard,22.0,,,12084607,317915,159289,Nouza P / Oberleitner N,22.0,Player,,,,https://static.prizepicks.com/images/manual/NouzaOber.png,,fantasy_score,1,,ATP
12084611,Nouza P / Oberleitner N,NOUZA P / OBERLEITNER N,Total Games,18.0,2026-05-14T10:30:00.000-04:00,Tennis,TENNIS,Standard,18.0,,,12084611,317915,159289,Nouza P / Oberleitner N,18.0,Player,,,,https://static.prizepicks.com/images/manual/NouzaOber.png,,match_total_games,0,,ATP
12094166,Jessica Bouzas Maneiro,JESSICA BOUZAS MANEIRO,Total Games,20.5,2026-05-14T10:30:00.000-04:00,Tennis,TENNIS,Demon,,,,12094166,267999,159240,Jessica Bouzas Maneiro,20.5,Player,,,,https://static.prizepicks.com/images/manual/bouzas.png,,match_total_games,0,6059,WTA
12084641,Jessica Bouzas Maneiro,JESSICA BOUZAS MANEIRO,Total Games,19.5,2026-05-14T10:30:00.000-04:00,Tennis,TENNIS,Standard,19.5,,,12084641,267999,159240,Jessica Bouzas Maneiro,19.5,Player,,,,https://static.prizepicks.com/images/manual/bouzas.png,,match_total_games,0,6059,WTA
12084755,Jessica Bouzas Maneiro,JESSICA BOUZAS MANEIRO,Total Games Won,12.5,2026-05-14T10:30:00.000-04:00,Tennis,TENNIS,Demon,,,,12084755,267999,159240,Jessica Bouzas Maneiro,12.5,Player,,,,https://static.prizepicks.com/images/manual/bouzas.png,,games_won,0,6059,WTA
12084760,Susan Bandecchi,SUSAN BANDECCHI,Total Games Won,7.5,2026-05-14T10:30:00.000-04:00,Tennis,TENNIS,Standard,7.5,,,12084760,240834,159240,Susan Bandecchi,7.5,Player,,,,https://static.prizepicks.com/images/manual/susanb.png,,games_won,0,,ATP
12084754,Jessica Bouzas Maneiro,JESSICA BOUZAS MANEIRO,Double Faults,6.5,2026-05-14T10:30:00.000-04:00,Tennis,TENNIS,Demon,,,,12084754,267999,159240,Jessica Bouzas Maneiro,6.5,Player,,,,https://static.prizepicks.com/images/manual/bouzas.png,,double_faults,0,6059,WTA
12084753,Jessica Bouzas Maneiro,JESSICA BOUZAS MANEIRO,Double Faults,5.5,2026-05-14T10:30:00.000-04:00,Tennis,TENNIS,Demon,,,,12084753,267999,159240,Jessica Bouzas Maneiro,5.5,Player,,,,https://static.prizepicks.com/images/manual/bouzas.png,,double_faults,0,6059,WTA
12084752,Jessica Bouzas Maneiro,JESSICA BOUZAS MANEIRO,Double Faults,4.5,2026-05-14T10:30:00.000-04:00,Tennis,TENNIS,Demon,,,,12084752,267999,159240,Jessica Bouzas Maneiro,4.5,Player,,,,https://static.prizepicks.com/images/manual/bouzas.png,,double_faults,0,6059,WTA
12084219,Jessica Bouzas Maneiro,JESSICA BOUZAS MANEIRO,Total Sets,2.5,2026-05-14T10:30:00.000-04:00,Tennis,TENNIS,Demon,,,,12084219,267999,159240,Jessica Bouzas Maneiro,2.5,Player,,,,https://static.prizepicks.com/images/manual/bouzas.png,,total_sets,1,6059,WTA
12084750,Jessica Bouzas Maneiro,JESSICA BOUZAS MANEIRO,Aces,2.5,2026-05-14T10:30:00.000-04:00,Tennis,TENNIS,Demon,,,,12084750,267999,159240,Jessica Bouzas Maneiro,2.5,Player,,,,https://static.prizepicks.com/images/manual/bouzas.png,,aces,0,6059,WTA
12084751,Jessica Bouzas Maneiro,JESSICA BOUZAS MANEIRO,Double Faults,2.5,2026-05-14T10:30:00.000-04:00,Tennis,TENNIS,Goblin,,,,12084751,267999,159240,Jessica Bouzas Maneiro,2.5,Player,,,,https://static.prizepicks.com/images/manual/bouzas.png,,double_faults,0,6059,WTA
