projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,stat_norm,player_role,opponent,is_home,nhl_player_id,combo_prop,combo_player_ids,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,hit_rate_over_L5,over_L5,under_L5,sample_L5,hit_rate_over_L10,over_L10,under_L10,sample_L10,hit_rate_over_L20,over_L20,under_L20,sample_L20,hit_rate_over_season,sample_season,composite_hit_rate,recommended_side,edge
10972593,218255,Adam Fantilli,CBJ,F,Goals,0.5,demon,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,goals,SKATER,CAR,1,8484166,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.2,2,8,10,0.35,7,13,20,0.2667,30,0.1492,OVER,-0.3508
10972594,268899,Alexander Nikishin,CAR,D,Goals,0.5,demon,False,CBJ,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,goals,SKATER,CBJ,0,8482100,False,,3.118,0.0,0.0,3.279,0.0,0.0,68.0,19.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.2,1,4,5,0.2,2,8,10,0.2,4,16,20,0.1667,30,0.1967,OVER,-0.3033
10972595,218693,Andrei Svechnikov,CAR,F,Goals,0.5,demon,False,CBJ,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,goals,SKATER,CBJ,0,8480830,False,,3.118,0.0,0.0,3.279,0.0,0.0,68.0,19.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.2,1,4,5,0.3,3,7,10,0.3,6,14,20,0.3667,30,0.2667,OVER,-0.2333
10972596,57978,Boone Jenner,CBJ,F,Goals,0.5,demon,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,goals,SKATER,CAR,1,8476432,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.2,1,4,5,0.2,2,8,10,0.15,3,17,20,0.1333,30,0.1858,OVER,-0.3142
10972597,265265,Charlie Coyle,CBJ,F,Goals,0.5,demon,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,goals,SKATER,CAR,1,8475745,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.2,1,4,5,0.2,2,8,10,0.15,3,17,20,0.3,30,0.2025,OVER,-0.2975
10972598,218260,Cole Sillinger,CBJ,F,Goals,0.5,demon,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,goals,SKATER,CAR,1,8482705,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.2,1,4,5,0.2,2,8,10,0.1,2,18,20,0.1,30,0.175,OVER,-0.325
10972599,305144,Conor Garland,CBJ,F,Goals,0.5,demon,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,goals,SKATER,CAR,1,8478856,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.1,1,9,10,0.15,3,17,20,0.1,30,0.0675,OVER,-0.4325
10972600,219949,Dante Fabbro,CBJ,D,Goals,0.5,demon,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,goals,SKATER,CAR,1,8479371,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.1,2,18,20,0.1,30,0.025,OVER,-0.475
10972601,289936,Danton Heinen,CBJ,F,Goals,0.5,demon,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,goals,SKATER,CAR,1,8478046,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.2,1,4,5,0.2,2,8,10,0.2,4,16,20,0.1667,30,0.1967,OVER,-0.3033
10972602,271232,Denton Mateychuk,CBJ,D,Goals,0.5,demon,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,goals,SKATER,CAR,1,8483485,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.2,1,4,5,0.2,2,8,10,0.15,3,17,20,0.1667,30,0.1892,OVER,-0.3108
