rank,tier,player,team,opp,is_home,player_role,position_group,prop_display,prop_type,line,direction,composite_hr,hit_rate,hr_L5,hr_L10,hr_L20,hr_season,sample_L5,hit_L5,sample_L10,hit_L10,sample_L20,sample_season,avg_L5,avg_L10,avg_L20,avg_season,gap_vs_line_L5,gap_vs_line_L10,projection,over_L5_raw,under_L5_raw,over_L10_raw,under_L10_raw,last1_raw,last2_raw,last3_raw,games_played,scoring_tier,pp_tier,def_tier,def_rank,opp_gaa,opp_saa,opp_pk_pct,pts_per_game,pp_pts_per_game,toi_avg_L10,toi_per_game_api,prop_score,edge,ml_prob,edge_score,blended_score,pick_type,game_start,game_script_mult,game_script_note
195,D,Cam York,PHI,NYI,0,SKATER,D,Points,points,0.5,OVER,0.2417,0.2417,0.2,0.3,0.2,0.2667,5,1/5,10,3/10,20,30,,,,,,,,1,4,3,7,,,,,DEPTH,PP_OCC,ELITE,5,2.826,0.000,0.000,0.382,0.103,,22.57,0.03899,-0.2583,0.2388,,,demon,2026-04-03T19:00:00.000-04:00,0.981,"PHI -1.5 pt margin vs NYI, points: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
196,D,Bo Horvat,NYI,PHI,1,SKATER,F,Shots On Goal,shots_on_goal,5.5,OVER,0.1933,0.1933,0.2,0.2,0.2,0.1333,5,1/5,10,2/10,20,30,,,,,,,,1,4,2,8,,,,,SECONDARY,PP_REGULAR,SOLID,14,3.088,0.000,0.000,0.887,0.258,,20.73,0.03852,-0.3067,0.0833,,,demon,2026-04-03T19:00:00.000-04:00,1.000,"NYI +1.5 pt margin vs PHI, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
197,D,Christian Dvorak,PHI,NYI,0,SKATER,F,Points,points,1.5,OVER,0.2658,0.2658,0.4,0.2,0.15,0.1333,5,2/5,10,2/10,20,30,,,,,,,,2,3,2,8,,,,,SECONDARY,PP_OCC,ELITE,5,2.826,0.000,0.000,0.635,0.054,,18.52,0.03733,-0.2342,0.0833,,,demon,2026-04-03T19:00:00.000-04:00,0.981,"PHI -1.5 pt margin vs NYI, points: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
198,D,Cam York,PHI,NYI,0,SKATER,D,Assists,assists,0.5,OVER,0.2383,0.2383,0.2,0.3,0.2,0.2333,5,1/5,10,3/10,20,30,,,,,,,,1,4,3,7,,,,,DEPTH,PP_OCC,ELITE,5,2.826,0.000,0.000,0.382,0.103,,22.57,0.03680,-0.2617,0.2388,,,demon,2026-04-03T19:00:00.000-04:00,0.982,"PHI -1.5 pt margin vs NYI, assists: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
199,D,Emil Heineman,NYI,PHI,1,SKATER,F,Plus/Minus,plus/minus,0.5,OVER,0.2317,0.2317,0.2,0.3,0.2,0.1667,5,1/5,10,3/10,20,30,,,,,,,,1,4,3,7,,,,,DEPTH,NO_PP,SOLID,14,3.088,0.000,0.000,0.395,0.039,,16.78,0.03680,-0.2683,0.1818,,,demon,2026-04-03T19:00:00.000-04:00,1.000,"NYI +1.5 pt margin vs PHI, plus/minus: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
200,D,Jackson LaCombe,ANA,STL,1,SKATER,D,Points,points,1.5,OVER,0.1933,0.1933,0.2,0.2,0.2,0.1333,5,1/5,10,2/10,20,30,,,,,,,,1,4,2,8,,,,,SECONDARY,PP_REGULAR,AVERAGE,24,3.294,0.000,0.000,0.720,0.200,,24.30,0.03673,-0.3067,0.0845,,,demon,2026-04-03T22:00:00.000-04:00,1.000,"ANA +1.5 pt margin vs STL, points: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
201,D,Jackson LaCombe,ANA,STL,1,SKATER,D,Goals,goals,0.5,OVER,0.1825,0.1825,0.2,0.2,0.15,0.1,5,1/5,10,2/10,20,30,,,,,,,,1,4,2,8,,,,,SECONDARY,PP_REGULAR,AVERAGE,24,3.294,0.000,0.000,0.720,0.200,,24.30,0.03544,-0.3175,0.1818,,,demon,2026-04-03T22:00:00.000-04:00,1.000,"ANA +1.5 pt margin vs STL, goals: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
202,D,Robert Thomas,STL,ANA,0,SKATER,F,Assists,assists,1.5,OVER,0.1858,0.1858,0.2,0.2,0.15,0.1333,5,1/5,10,2/10,20,30,,,,,,,,1,4,2,8,,,,,SECONDARY,PP_OCC,WEAK,29,3.435,0.000,0.000,0.893,0.196,,19.00,0.03330,-0.3142,0.0455,,,demon,2026-04-03T22:00:00.000-04:00,0.982,"STL -1.5 pt margin vs ANA, assists: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
203,D,Jake Neighbours,STL,ANA,0,SKATER,F,Points,points,0.5,OVER,0.2067,0.2067,0.2,0.2,0.2,0.2667,5,1/5,10,2/10,20,30,,,,,,,,1,4,2,8,,,,,DEPTH,PP_OCC,WEAK,29,3.435,0.000,0.000,0.492,0.082,,15.28,0.03189,-0.2933,0.0851,,,demon,2026-04-03T22:00:00.000-04:00,0.981,"STL -1.5 pt margin vs ANA, points: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
204,D,Mikael Granlund,ANA,STL,1,SKATER,F,Shots On Goal,shots_on_goal,3.5,OVER,0.1892,0.1892,0.2,0.2,0.15,0.1667,5,1/5,10,2/10,20,30,,,,,,,,1,4,2,8,,,,,SECONDARY,PP_OCC,AVERAGE,24,3.294,0.000,0.000,0.686,0.196,,19.00,0.03132,-0.3108,0.0455,,,demon,2026-04-03T22:00:00.000-04:00,1.000,"ANA +1.5 pt margin vs STL, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
