player_norm,espn_athlete_id
lewis hall,106139
harvey barnes,243386
david hancko,257786
micky van de ven,296512
pedro porro,268533
julian alvarez,277206
archie gray,328050
joao palhinha,224144
alexander sørloth,188230
ademola lookman,229645
antoine griezmann,140416
nico gonzalez,323986
thiago almada,277208
antonin kinsky,324393
guglielmo vicario,204082
cristian romero,96970
yves bissouma,232810
johnny cardoso,290802
matteo ruggeri,297229
alex baena,297373
giuliano simeone,323838
mathys tel,325042
richarlison,156799
jan oblak,149622
juan musso,177927
pablo barrios,336634
rodrigo mendoza,74630
callum olusesi,372016
xavi simons,332962
dominic solanke,194115
nahuel molina,164826
randal muani,252971
marcos llorente,206474
koke,140791
conor gallagher,266696
clement lenglet,193917
djed spence,267711
jose gimenez,188398
obed vargas,318554
pape sarr,297337
robin normand,214888
luca williams-barnett,395939
lucas bergvall,356379
marc pubill,332613
destiny udogie,290076
julio diaz,387493
kevin danso,250543
radu dragusin,310216
jun'ai byfield,403835
malachi hardy,396748
rio kyerematen,367520
jano monserrate,388080
james wilson,362560
rayane belaid,377843
taufik seidu,388081
tynan thompson,397881
ivan azon,310259
marcelino nunez,301554
million manhoef,305628
alex palmer,219390
christian walton,168746
chuba akpom,181092
frank fielding,87309
anis mehmeti,308891
george hirst,241325
jack clarke,269343
lamine cisse,30173
sindre egeli,330045
ben johnson,9426
divin mubama,346910
kasey mcateer,307073
sam gallagher,196098
dan neil,283179
jack taylor,139744
jesurun rak-sakyi,317718
milan smit,338861
bosun lawal,323201
tomas rigo,310030
wes burns,181516
ashley phillips,273628
ashley young,31810
azor matusiwa,246825
ben pearson,194822
ben gibson,147131
ben wilmot,246945
cedric kipre,243648
dara o'shea,243440
darnell furlong,215075
eric-junior bocat,301853
jacob greaves,291174
jens cajuste,274971
junior tchamadeu,311116
leif davis,283086
maksym talovierov,326672
tatsuki seko,303044
aaron cresswell,121473
elkan baggott,308555
ato ampah,369484
sorba thomas,250478
jaden philogene,295370
bae jun-ho,362208
lewis baker,40192
jerome kyremeh,419234
jamal musiala,303821
manuel neuer,84774
marco sportiello,174915
nicolas jackson,308524
nikola krstovic,258158
konrad laimer,169189
marten roon,146335
tom bischof,324660
gianluca scamacca,233140
lazar samardzic,303296
lennart karl,402841
mario pasalic,189668
serge gnabry,178980
giacomo raspadori,271679
leon goretzka,174550
wisdom mike,399864
giorgio scalvini,309812
alphonso davies,236721
davide zappacosta,182627
dayot upamecano,222793
honest ahanor,388605
isak hien,312862
josip stanisic,276329
kamaldeen sulemana,303115
odilon kossounou,284822
lorenzo bernasconi,303988
mitchel bakker,267573
nicola zalewski,288488
raoul bellanova,268452
raphael guerreiro,176228
sead kolasinac,170553
yunus musah,307527
ederson,176948
charles ketelaere,296319
dominic vavassori,388801
