prop_cat,n,hits,hr,sport,dimension,lift_pp,pick_type_norm,direction,tier,def_tier,player_tier_bucket,l5_side_bucket,l10_side_bucket,l10_streak,consistency_grade,minutes_tier,usage_tier,game_total_bucket,h2h_bucket,confidence_tier,on_ticket_flag,hit_rate_bin,edge_bin,ml_prob_bin,top3_weak_overperformer,top3_elite_fader,injury_boost_candidate,team_star_out,usage_vacuum,stack_70_eligible,pick_dir_def,tier_dir_player
,411,249,0.6058394160583942,ON_TICKET,ml_prob_bin,-3.4121019154266574,,,,,,,,,,,,,,,,,,50-60,,,,,,,,
,278,136,0.4892086330935252,ON_TICKET,ml_prob_bin,-15.075180211913558,,,,,,,,,,,,,,,,,,<50,,,,,,,,
,156,102,0.6538461538461539,ON_TICKET,top3_weak_overperformer,1.3885718633493083,,,,,,,,,,,,,,,,,,,yes,,,,,,,
,1866,1192,0.6387995712754555,ON_TICKET,top3_weak_overperformer,-0.11608639372052698,,,,,,,,,,,,,,,,,,,no,,,,,,,
,1810,1162,0.6419889502762431,ON_TICKET,top3_elite_fader,0.202851506358237,,,,,,,,,,,,,,,,,,,,no,,,,,,
,212,132,0.6226415094339622,ON_TICKET,top3_elite_fader,-1.7318925778698535,,,,,,,,,,,,,,,,,,,,yes,,,,,,
,2022,1294,0.6399604352126608,ON_TICKET,injury_boost_candidate,0.0,,,,,,,,,,,,,,,,,,,,,no,,,,,
,2022,1294,0.6399604352126608,ON_TICKET,team_star_out,0.0,,,,,,,,,,,,,,,,,,,,,,no,,,,
,2022,1294,0.6399604352126608,ON_TICKET,usage_vacuum,0.0,,,,,,,,,,,,,,,,,,,,,,,no,,,
,85,56,0.6588235294117647,ON_TICKET,stack_70_eligible,1.8863094199103925,,,,,,,,,,,,,,,,,,,,,,,,yes,,
,1937,1238,0.6391326794011358,ON_TICKET,stack_70_eligible,-0.08277558115249439,,,,,,,,,,,,,,,,,,,,,,,,no,,
,248,180,0.7258064516129032,ON_TICKET,pick_dir_def,8.584601640024248,,,,,,,,,,,,,,,,,,,,,,,,,Goblin | OVER | def=Weak,
,315,227,0.7206349206349206,ON_TICKET,pick_dir_def,8.067448542225986,,,,,,,,,,,,,,,,,,,,,,,,,Goblin | OVER | def=Below Avg,
,343,243,0.7084548104956269,ON_TICKET,pick_dir_def,6.849437528296609,,,,,,,,,,,,,,,,,,,,,,,,,Goblin | OVER | def=Elite,
,192,136,0.7083333333333334,ON_TICKET,pick_dir_def,6.83728981206726,,,,,,,,,,,,,,,,,,,,,,,,,Goblin | OVER | def=(missing),
,237,166,0.70042194092827,ON_TICKET,pick_dir_def,6.0461505715609265,,,,,,,,,,,,,,,,,,,,,,,,,Goblin | OVER | def=Avg,
,288,170,0.5902777777777778,ON_TICKET,pick_dir_def,-4.968265743488298,,,,,,,,,,,,,,,,,,,,,,,,,Goblin | OVER | def=Above Avg,
,55,27,0.4909090909090909,ON_TICKET,pick_dir_def,-14.905134430356986,,,,,,,,,,,,,,,,,,,,,,,,,Standard | OVER | def=Elite,
,181,59,0.3259668508287293,ON_TICKET,pick_dir_def,-31.39935843839315,,,,,,,,,,,,,,,,,,,,,,,,,Demon | OVER | def=(missing),
,92,71,0.7717391304347826,ON_TICKET,tier_dir_player,13.177869522212182,,,,,,,,,,,,,,,,,,,,,,,,,,C | OVER | mid/other
,159,112,0.7044025157232704,ON_TICKET,tier_dir_player,6.444208051060962,,,,,,,,,,,,,,,,,,,,,,,,,,A | OVER | top3
,94,65,0.6914893617021277,ON_TICKET,tier_dir_player,5.152892648946694,,,,,,,,,,,,,,,,,,,,,,,,,,C | OVER | top3
,215,148,0.6883720930232559,ON_TICKET,tier_dir_player,4.841165781059509,,,,,,,,,,,,,,,,,,,,,,,,,,A | OVER | mid/other
,63,43,0.6825396825396826,ON_TICKET,tier_dir_player,4.257924732702179,,,,,,,,,,,,,,,,,,,,,,,,,,B | OVER | bottom3
,357,240,0.6722689075630253,ON_TICKET,tier_dir_player,3.230847235036449,,,,,,,,,,,,,,,,,,,,,,,,,,B | OVER | top3
,563,355,0.6305506216696269,ON_TICKET,tier_dir_player,-0.9409813543033829,,,,,,,,,,,,,,,,,,,,,,,,,,B | OVER | mid/other
,401,208,0.5187032418952618,ON_TICKET,tier_dir_player,-12.125719331739893,,,,,,,,,,,,,,,,,,,,,,,,,,D | OVER | mid/other
