prop_cat,n,hits,hr,sport,dimension,lift_pp,pick_type_norm,direction,tier,def_tier,player_tier_bucket,l5_side_bucket,l10_side_bucket,l10_streak,consistency_grade,minutes_tier,usage_tier,game_total_bucket,h2h_bucket,confidence_tier,on_ticket_flag,hit_rate_bin,edge_bin,ml_prob_bin,top3_weak_overperformer,top3_elite_fader,injury_boost_candidate,team_star_out,usage_vacuum,stack_70_eligible,pick_dir_def,tier_dir_player
,71,13,0.18309859154929578,SOCCER,hit_rate_bin,-0.44014084507042195,,,,,,,,,,,,,,,,50-55,,,,,,,,,,
,57199,8814,0.1540936030350181,SOCCER,hit_rate_bin,-3.3406396964981906,,,,,,,,,,,,,,,,<50,,,,,,,,,,
,1361,1355,0.9955914768552535,SOCCER,edge_bin,80.80914768552535,,,,,,,,,,,,,,,,,2+,,,,,,,,,
,2273,2226,0.9793224813022438,SOCCER,edge_bin,79.18224813022438,,,,,,,,,,,,,,,,,1-1.5,,,,,,,,,
,7448,7143,0.9590494092373791,SOCCER,edge_bin,77.15494092373791,,,,,,,,,,,,,,,,,0-0.5,,,,,,,,,
,129,109,0.8449612403100775,SOCCER,edge_bin,65.74612403100775,,,,,,,,,,,,,,,,,1.5-2,,,,,,,,,
,537,330,0.6145251396648045,SOCCER,edge_bin,42.702513966480446,,,,,,,,,,,,,,,,,0.5-1,,,,,,,,,
,56380,1611,0.02857396239801348,SOCCER,edge_bin,-15.89260376019865,,,,,,,,,,,,,,,,,<0,,,,,,,,,
,15606,4058,0.26002819428424967,SOCCER,ml_prob_bin,7.252819428424967,,,,,,,,,,,,,,,,,,,,,,,,,,
,1973,492,0.24936644703497213,SOCCER,ml_prob_bin,6.186644703497213,,,,,,,,,,,,,,,,,,50-60,,,,,,,,
,802,163,0.20324189526184538,SOCCER,ml_prob_bin,1.5741895261845384,,,,,,,,,,,,,,,,,,70-80,,,,,,,,
,41710,7010,0.16806521217933348,SOCCER,ml_prob_bin,-1.9434787820666517,,,,,,,,,,,,,,,,,,<50,,,,,,,,
