PLAYER_NAME,PLAYER_NORM,TEAM,season_avg,games,avg_min,category,team_slate,team_def_key,rank_on_team,leader_side,PLAYER_NAME_split,n_games,n_elite,n_weak,avg_delta_all,avg_delta_vs_elite,avg_delta_vs_weak,avg_delta_vs_mid,def_rank_corr,weak_over_rate,elite_over_rate,def_boost,overperform_vs_weak,fades_vs_elite,player,team,opp_team,prop_norm,line,bet_direction,final_bet_direction,rank_score,edge,edge_score,tier,slate_opp_def_rank,slate_opp_def_tier,line_hit_rate_over_ou_5,stat_last5_avg,player_norm,on_slate,slate_edge_signal
Rhyne Howard,rhyne howard,ATL,13.264705882352942,34,33.26470588235294,fga,ATL,ATL,2,top,Rhyne Howard,31.0,8.0,13.0,1.552290945724243,1.7716557017543861,0.5121263490988679,2.7290131165131157,-0.07774068860923297,0.46153846153846156,0.625,-1.2595293526555182,False,False,,,,,,,,,,,,,,,,,False,False
Angel Reese,angel reese,ATL,12.588235294117647,34,29.647058823529413,fga,ATL,ATL,3,top,Angel Reese,31.0,8.0,12.0,1.9791153070864407,0.2955237246413718,2.5589118845384866,2.5710401916442582,0.20499199013276032,0.75,0.5,2.263388159897115,True,False,,,,,,,,,,,,,,,,,False,False
Stephanie Jones,stephanie jones,ATL,0.0,1,20.0,fgm,ATL,ATL,1,bottom,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Maite Cazorla,maite cazorla,ATL,1.0,1,22.0,fgm,ATL,ATL,2,bottom,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Isobel Borlase,isobel borlase,ATL,1.9666666666666666,30,15.233333333333333,fgm,ATL,ATL,3,bottom,Isobel Borlase,27.0,8.0,12.0,-0.2982773068878537,-0.8943452380952381,0.12997609437793942,-0.3512055019636313,0.3905442829575784,0.5,0.25,1.0243213324731775,False,True,,,,,,,,,,,,,,,,,False,False
Allisha Gray,allisha gray,ATL,6.3428571428571425,35,31.685714285714287,fgm,ATL,ATL,1,top,Allisha Gray,32.0,8.0,13.0,0.8609610893952464,-0.12722654743527606,1.0888135936134165,1.310362774832334,0.21791488791761163,0.6923076923076923,0.5,1.2160401410486925,True,False,,,,,,,,,,,,,,,,,False,False
Rhyne Howard,rhyne howard,ATL,5.382352941176471,34,33.26470588235294,fgm,ATL,ATL,2,top,Rhyne Howard,31.0,8.0,13.0,0.7157220357338155,-0.07336300309597532,0.28964954797485193,1.9008843008843006,0.1037715730806132,0.6153846153846154,0.5,0.36301255107082725,False,False,,,,,,,,,,,,,,,,,False,False
Angel Reese,angel reese,ATL,5.235294117647059,34,29.647058823529413,fgm,ATL,ATL,3,top,Angel Reese,31.0,8.0,12.0,0.8945001687356161,-0.9638970588235294,1.4882091584547814,1.5983792545395417,0.3013297020264615,0.75,0.25,2.4521062172783106,True,True,,,,,,,,,,,,,,,,,False,False
Isobel Borlase,isobel borlase,ATL,1.0333333333333334,30,15.233333333333333,fta,ATL,ATL,1,bottom,Isobel Borlase,27.0,8.0,12.0,-0.03819711471608004,-0.5367101648351649,0.40384750153277077,-0.22625868529229873,0.39079229651387354,0.4166666666666667,0.25,0.9405576663679356,False,True,,,,,,,,,,,,,,,,,False,False
Naz Hillmon,naz hillmon,ATL,1.393939393939394,33,28.09090909090909,fta,ATL,ATL,2,bottom,Naz Hillmon,30.0,8.0,13.0,-0.035682689030620364,-0.829430021025349,0.6022324711705983,-0.25156251421484394,0.18815266868863248,0.5384615384615384,0.25,1.4316624921959473,False,True,,,,,,,,,,,,,,,,,False,False
Brionna Jones,brionna jones,ATL,2.625,8,18.375,fta,ATL,ATL,3,bottom,Brionna Jones,5.0,1.0,2.0,-0.16190476190476177,-2.5,0.4285714285714286,0.41666666666666674,0.40839546131898274,0.5,0.0,2.928571428571429,False,False,,,,,,,,,,,,,,,,,False,False
