type,player,prop,reason,action,confidence
AVOID,Cutter Gauthier,time_on_ice,Low confidence (4) vs VGK,Skip this player-opponent-prop combo,95.625
AVOID,Colton Sissons,hits,Low confidence (4) vs ANA,Skip this player-opponent-prop combo,95.5
AVOID,Cutter Gauthier,goals,Low confidence (4) vs VGK,Skip this player-opponent-prop combo,95.5
AVOID,Tage Thompson,goals,Low confidence (4) vs MTL,Skip this player-opponent-prop combo,95.5
AVOID,Chris Kreider,points,Low confidence (4) vs VGK,Skip this player-opponent-prop combo,95.5
AVOID,Mike Matheson,shots_on_goal,Low confidence (4) vs BUF,Skip this player-opponent-prop combo,95.5
AVOID,Josh Anderson,shots_on_goal,Low confidence (4) vs BUF,Skip this player-opponent-prop combo,95.5
AVOID,Tage Thompson,assists,Low confidence (4) vs MTL,Skip this player-opponent-prop combo,95.5
AVOID,Josh Norris,points,Low confidence (4) vs MTL,Skip this player-opponent-prop combo,95.5
AVOID,Bowen Byram,points,Low confidence (4) vs MTL,Skip this player-opponent-prop combo,95.5
AVOID,Jackson LaCombe,assists,Low confidence (4) vs VGK,Skip this player-opponent-prop combo,95.5
AVOID,John Carlson,plus/minus,Low confidence (4) vs VGK,Skip this player-opponent-prop combo,95.5
AVOID,Peyton Krebs,points,Low confidence (4) vs MTL,Skip this player-opponent-prop combo,95.5
AVOID,Alex Killorn,hits,Low confidence (4) vs VGK,Skip this player-opponent-prop combo,95.5
AVOID,Jakub Dobes,goalie_saves,Low confidence (4) vs BUF,Skip this player-opponent-prop combo,95.5
AVOID,Alex Killorn,points,Low confidence (4) vs VGK,Skip this player-opponent-prop combo,95.5
AVOID,Jack Eichel,goals,Low confidence (4) vs ANA,Skip this player-opponent-prop combo,95.5
AVOID,Chris Kreider,shots_on_goal,Low confidence (4) vs VGK,Skip this player-opponent-prop combo,95.5
AVOID,Jack Quinn,shots_on_goal,Low confidence (4) vs MTL,Skip this player-opponent-prop combo,95.5
AVOID,Zach Benson,shots_on_goal,Low confidence (4) vs MTL,Skip this player-opponent-prop combo,95.5
AVOID,Alex Tuch,hits,Low confidence (4) vs MTL,Skip this player-opponent-prop combo,95.5
AVOID,Jackson LaCombe,shots_on_goal,Low confidence (4) vs VGK,Skip this player-opponent-prop combo,95.5
AVOID,Tage Thompson,hits,Low confidence (4) vs MTL,Skip this player-opponent-prop combo,95.5
AVOID,Lane Hutson,blocked_shots,Low confidence (4) vs BUF,Skip this player-opponent-prop combo,95.5
AVOID,Rasmus Andersson,blocked_shots,Low confidence (4) vs ANA,Skip this player-opponent-prop combo,95.5
AVOID,Ivan Demidov,points,Low confidence (4) vs BUF,Skip this player-opponent-prop combo,95.5
AVOID,Noah Dobson,shots_on_goal,Low confidence (4) vs BUF,Skip this player-opponent-prop combo,95.5
AVOID,Jake Evans,hits,Low confidence (4) vs BUF,Skip this player-opponent-prop combo,95.5
AVOID,Kaiden Guhle,hits,Low confidence (4) vs BUF,Skip this player-opponent-prop combo,95.5
AVOID,John Carlson,assists,Low confidence (4) vs VGK,Skip this player-opponent-prop combo,95.5
AVOID,Tomas Hertl,shots_on_goal,Low confidence (4) vs ANA,Skip this player-opponent-prop combo,95.5
AVOID,Tage Thompson,points,Low confidence (4) vs MTL,Skip this player-opponent-prop combo,95.5
AVOID,Jacob Trouba,blocked_shots,Low confidence (4) vs VGK,Skip this player-opponent-prop combo,95.5
AVOID,Nick Suzuki,shots_on_goal,Low confidence (4) vs BUF,Skip this player-opponent-prop combo,95.5
AVOID,Cole Smith,hits,Low confidence (4) vs ANA,Skip this player-opponent-prop combo,95.5
AVOID,Tomas Hertl,hits,Low confidence (4) vs ANA,Skip this player-opponent-prop combo,95.5
AVOID,Jack Eichel,points,Low confidence (4) vs ANA,Skip this player-opponent-prop combo,95.5
AVOID,Jack Eichel,assists,Low confidence (4) vs ANA,Skip this player-opponent-prop combo,95.5
AVOID,Nick Suzuki,assists,Low confidence (4) vs BUF,Skip this player-opponent-prop combo,95.5
AVOID,Shea Theodore,shots_on_goal,Low confidence (4) vs ANA,Skip this player-opponent-prop combo,95.5
AVOID,Ivan Barbashev,shots_on_goal,Low confidence (4) vs ANA,Skip this player-opponent-prop combo,95.5
AVOID,Troy Terry,shots_on_goal,Low confidence (4) vs VGK,Skip this player-opponent-prop combo,95.5
AVOID,Noah Hanifin,blocked_shots,Low confidence (4) vs ANA,Skip this player-opponent-prop combo,95.5
AVOID,Beckett Sennecke,points,Low confidence (4) vs VGK,Skip this player-opponent-prop combo,95.5
AVOID,Mason McTavish,hits,Low confidence (4) vs VGK,Skip this player-opponent-prop combo,95.5
AVOID,Leo Carlsson,goals,Low confidence (4) vs VGK,Skip this player-opponent-prop combo,95.5
AVOID,Cole Caufield,shots_on_goal,Low confidence (4) vs BUF,Skip this player-opponent-prop combo,95.5
AVOID,Jordan Greenway,hits,Low confidence (4) vs MTL,Skip this player-opponent-prop combo,95.5
AVOID,Cutter Gauthier,points,Low confidence (4) vs VGK,Skip this player-opponent-prop combo,95.5
AVOID,Conor Timmins,plus/minus,Low confidence (4) vs MTL,Skip this player-opponent-prop combo,95.5
AVOID,Alex Tuch,points,Low confidence (4) vs MTL,Skip this player-opponent-prop combo,95.5
AVOID,Jack Eichel,shots_on_goal,Low confidence (4) vs ANA,Skip this player-opponent-prop combo,95.5
AVOID,Tage Thompson,shots_on_goal,Low confidence (4) vs MTL,Skip this player-opponent-prop combo,95.5
AVOID,Chris Kreider,hits,Low confidence (4) vs VGK,Skip this player-opponent-prop combo,95.5
AVOID,Mason McTavish,points,Low confidence (4) vs VGK,Skip this player-opponent-prop combo,95.5
AVOID,Rasmus Andersson,shots_on_goal,Low confidence (4) vs ANA,Skip this player-opponent-prop combo,95.5
AVOID,Mitch Marner,shots_on_goal,Low confidence (4) vs ANA,Skip this player-opponent-prop combo,95.5
AVOID,Ross Johnston,hits,Low confidence (5) vs VGK,Skip this player-opponent-prop combo,94.875
AVOID,Tage Thompson,points,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.25
AVOID,Tage Thompson,shots_on_goal,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.25
AVOID,Jack Eichel,points,Low confidence (6) vs ANA,Skip this player-opponent-prop combo,94.25
AVOID,Jacob Trouba,plus/minus,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,94.25
AVOID,Alex Newhook,shots_on_goal,Low confidence (6) vs BUF,Skip this player-opponent-prop combo,94.25
AVOID,Ivan Barbashev,shots_on_goal,Low confidence (6) vs ANA,Skip this player-opponent-prop combo,94.25
AVOID,Cutter Gauthier,shots_on_goal,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,94.25
AVOID,Ukko-Pekka Luukkonen,goals_allowed,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.25
AVOID,Alex Killorn,shots_on_goal,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,94.25
AVOID,Nick Suzuki,shots_on_goal,Low confidence (6) vs BUF,Skip this player-opponent-prop combo,94.25
AVOID,Jackson LaCombe,blocked_shots,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,94.25
AVOID,Arber Xhekaj,hits,Low confidence (6) vs BUF,Skip this player-opponent-prop combo,94.25
AVOID,Rasmus Andersson,shots_on_goal,Low confidence (6) vs ANA,Skip this player-opponent-prop combo,94.25
AVOID,Beckett Sennecke,plus/minus,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,94.25
AVOID,Cutter Gauthier,plus/minus,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,94.25
AVOID,Troy Terry,shots_on_goal,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,94.25
AVOID,Conor Timmins,blocked_shots,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.25
AVOID,Cole Caufield,shots_on_goal,Low confidence (6) vs BUF,Skip this player-opponent-prop combo,94.25
AVOID,Bowen Byram,shots_on_goal,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.25
AVOID,Noah Dobson,shots_on_goal,Low confidence (6) vs BUF,Skip this player-opponent-prop combo,94.25
AVOID,Josh Anderson,hits,Low confidence (6) vs BUF,Skip this player-opponent-prop combo,94.25
AVOID,Tomas Hertl,shots_on_goal,Low confidence (6) vs ANA,Skip this player-opponent-prop combo,94.25
AVOID,Zach Benson,shots_on_goal,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.25
AVOID,Mitch Marner,shots_on_goal,Low confidence (6) vs ANA,Skip this player-opponent-prop combo,94.25
