espn_player_id,player,pos,team,opp_team,league,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,game_date,player_1,player_2,team_1,team_2,id_status,TEAM_NAME,OVERALL_DEF_RANK,OPP_PPG,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_wins,opp_gp,def_rank,DEF_TIER,updated_at,gp,goals_conceded,goals_conceded_pg,clean_sheets,wins,draws,losses,opp_team_1,opp_team_2,TEAM_NAME_DEF_1,OVERALL_DEF_RANK_DEF_1,OPP_PPG_DEF_1,opp_gaa_DEF_1,opp_saa_DEF_1,opp_pk_pct_DEF_1,opp_gf_per_game_DEF_1,opp_sf_per_game_DEF_1,opp_pp_pct_DEF_1,opp_wins_DEF_1,opp_gp_DEF_1,def_rank_DEF_1,def_tier_DEF_1,updated_at_DEF_1,gp_DEF_1,goals_conceded_DEF_1,goals_conceded_pg_DEF_1,clean_sheets_DEF_1,wins_DEF_1,draws_DEF_1,losses_DEF_1,TEAM_NAME_DEF_2,OVERALL_DEF_RANK_DEF_2,OPP_PPG_DEF_2,opp_gaa_DEF_2,opp_saa_DEF_2,opp_pk_pct_DEF_2,opp_gf_per_game_DEF_2,opp_sf_per_game_DEF_2,opp_pp_pct_DEF_2,opp_wins_DEF_2,opp_gp_DEF_2,def_rank_DEF_2,def_tier_DEF_2,updated_at_DEF_2,gp_DEF_2,goals_conceded_DEF_2,goals_conceded_pg_DEF_2,clean_sheets_DEF_2,wins_DEF_2,draws_DEF_2,losses_DEF_2,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,avg_minutes,avg_passes,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,line_games_played_10,line_hits_over_10,line_hits_under_10,line_hits_push_10,line_hit_rate_over_10,line_hit_rate_under_10
241139,Abdul Mumin,Defender,RAYO,,SOCCER,1.5,Tackles,tackles,Demon,12069857,12069857,252168,151607,2026-05-14T13:00:00.000-04:00,,,,1,https://static.prizepicks.com/images/players/soccer/lp63o37czdwete0smmu62k89.webp,2026-05-14,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
291435,Largie Ramazani,Attacker,VALENCIA,,SOCCER,1.5,Tackles,tackles,Demon,12069859,12069859,261423,151607,2026-05-14T13:00:00.000-04:00,,,,1,https://static.prizepicks.com/images/manual/Largie Ramazani.png,2026-05-14,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
280381,Lucas Beltrán,Attacker,VALENCIA,,SOCCER,1.5,Tackles,tackles,Demon,12069861,12069861,261424,151607,2026-05-14T13:00:00.000-04:00,,,,1,https://static.prizepicks.com/images/manual/Lucas Ezequiel Beltrán.png,2026-05-14,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
199790,Pacha Espino,Defender,RAYO,,SOCCER,1.5,Shots On Target,shots_on_target,Demon,12069864,12069864,252169,151607,2026-05-14T13:00:00.000-04:00,,,,2,https://static.prizepicks.com/images/players/soccer/2qauzcv74cd8uqfv2ibl52ymt.webp,2026-05-14,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,0.2,0.286,0.286,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,OK,45.0,,OK,5.0,0.0,5.0,0.0,0.0,1.0,7.0,0.0,7.0,0.0,0.0,1.0
264177,Luis Rioja,Attacker,VALENCIA,,SOCCER,1.5,Tackles,tackles,Demon,12069866,12069866,213778,151607,2026-05-14T13:00:00.000-04:00,,,,1,https://static.prizepicks.com/images/players/soccer/6kc8ieszwg6u00e3sa554y7yt.webp,2026-05-14,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
276847,Randy Nteka,Midfielder,RAYO,,SOCCER,1.5,Tackles,tackles,Demon,12069872,12069872,252175,151607,2026-05-14T13:00:00.000-04:00,,,,1,https://static.prizepicks.com/images/players/soccer/a045sz2acqbfgyq9puwsu8sx6.webp,2026-05-14,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
332342,Rubén Iranzo,Defender,VALENCIA,,SOCCER,1.5,Fouls,fouls,Demon,12069874,12069874,253412,151607,2026-05-14T13:00:00.000-04:00,,,,1,https://static.prizepicks.com/images/players/soccer/b4k7aa5fph5t3usotjsw8ygyy.webp,2026-05-14,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,OK,0.0,,OK,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0
332342,Rubén Iranzo,Defender,VALENCIA,,SOCCER,1.5,Shots,shots,Demon,12069876,12069876,253412,151607,2026-05-14T13:00:00.000-04:00,,,,1,https://static.prizepicks.com/images/players/soccer/b4k7aa5fph5t3usotjsw8ygyy.webp,2026-05-14,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,OK,0.0,,OK,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0
276652,Sergio Camello,Attacker,RAYO,,SOCCER,1.5,Tackles,tackles,Demon,12069879,12069879,252176,151607,2026-05-14T13:00:00.000-04:00,,,,1,https://static.prizepicks.com/images/players/soccer/1bdnkqbxm2u5ror7ipig5m73e.webp,2026-05-14,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,
165334,Stole Dimitrievski,Goalkeeper,VALENCIA,,SOCCER,1.5,Goalie Saves,saves,Goblin,12069880,12069880,222140,151607,2026-05-14T13:00:00.000-04:00,,,2.5,1,https://static.prizepicks.com/images/players/soccer/5dfvefxvwj8kixbajluw25mtx.webp,2026-05-14,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,7.0,2.0,5.0,3.0,0.0,,,,,3.8,3.167,3.167,5.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.16666666666666666,OK,90.0,,OK,5.0,5.0,0.0,0.0,1.0,0.0,6.0,5.0,1.0,0.0,0.8333333333333334,0.16666666666666666
