player,team,prop_type,actual,league,espn_player_id,SOT,SH,G,A,SV,PA,KP,TK
Alex Telles,BOT,Goal + Assist,0.0,bra.copa_do_brazil,199734,,,,,,,,
Alex Telles,BOT,Goals,0.0,bra.copa_do_brazil,199734,,0.0,0.0,0.0,,,,
Alex Telles,BOT,Shots,0.0,bra.copa_do_brazil,199734,,0.0,0.0,0.0,,,,
Alex Telles,BOT,Yellow Cards,0.0,bra.copa_do_brazil,199734,,0.0,0.0,0.0,,,,
Alexander Barboza,BOT,Assists,0.0,bra.copa_do_brazil,222631,,2.0,0.0,0.0,,,,
Alexander Barboza,BOT,Fouls,1.0,bra.copa_do_brazil,222631,,2.0,0.0,0.0,,,,
Alexander Barboza,BOT,Goal + Assist,0.0,bra.copa_do_brazil,222631,,,,,,,,
Alexander Barboza,BOT,Goals,0.0,bra.copa_do_brazil,222631,,2.0,0.0,0.0,,,,
Alexander Barboza,BOT,Shots,2.0,bra.copa_do_brazil,222631,,2.0,0.0,0.0,,,,
Alexander Barboza,BOT,Yellow Cards,0.0,bra.copa_do_brazil,222631,,2.0,0.0,0.0,,,,
Alexéi Domínguez,PAC,Assists,0.0,mex.1,365134,,0.0,0.0,0.0,,,,
Alexéi Domínguez,PAC,Fouls,0.0,mex.1,365134,,0.0,0.0,0.0,,,,
Alexéi Domínguez,PAC,Goal + Assist,0.0,mex.1,365134,,,,,,,,
Alexéi Domínguez,PAC,Goals,0.0,mex.1,365134,,0.0,0.0,0.0,,,,
Alexéi Domínguez,PAC,Shots,0.0,mex.1,365134,,0.0,0.0,0.0,,,,
Alexéi Domínguez,PAC,Yellow Cards,0.0,mex.1,365134,,0.0,0.0,0.0,,,,
Allan,COR,Assists,0.0,bra.copa_do_brazil,223437,,2.0,0.0,0.0,,,,
Allan,COR,Fouls,1.0,bra.copa_do_brazil,223437,,2.0,0.0,0.0,,,,
Allan,COR,Goal + Assist,0.0,bra.copa_do_brazil,223437,,,,,,,,
Allan,COR,Goals,0.0,bra.copa_do_brazil,223437,,2.0,0.0,0.0,,,,
Allan,COR,Shots,2.0,bra.copa_do_brazil,223437,,2.0,0.0,0.0,,,,
Allan,COR,Yellow Cards,0.0,bra.copa_do_brazil,223437,,2.0,0.0,0.0,,,,
Ander Barrenetxea,RSO,Assists,0.0,esp.1,283941,,1.0,0.0,0.0,,,,
