projection_id,player_id,player_name,team,position,stat_type,line_score,standard_line,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,delta_pct,stat_norm,player_role,opponent,is_home,nhl_player_id,combo_prop,combo_player_ids,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,hit_rate_over_L5,over_L5,under_L5,sample_L5,hit_rate_over_L10,over_L10,under_L10,sample_L10,hit_rate_over_L20,over_L20,under_L20,sample_L20,hit_rate_over_season,sample_season,composite_hit_rate,recommended_side,edge,position_code,position_group,scoring_tier,pp_tier,pts_per_game,goals_per_game,pp_pts_per_game,toi_per_game_api
12077776,267720,Zachary Bolduc,MTL,F,Hits,2.5,2.5,standard,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,hits,SKATER,BUF,0,8482737,False,,2.939,0.0,0.0,3.512,0.0,0.0,82.0,7.0,Elite,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5,R,F,DEPTH,PP_OCC,0.385,0.154,0.077,13.63
12077772,230933,Josh Norris,BUF,F,Hits,1.5,,goblin,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,hits,SKATER,MTL,1,8480064,False,,3.122,0.0,0.0,3.451,0.0,0.0,82.0,18.0,Avg,5,2,4,0,1,1,0,2,,,2.4,1.875,1.875,,,,,,,,,OK,0.6,3,2,5,0.5,4,4,8,0.5,4,4,8,0.5,8,0.54,OVER,0.04,C,F,SECONDARY,PP_REGULAR,0.773,0.295,0.205,15.83
12077777,88751,Jake Evans,MTL,F,Hits,1.5,,goblin,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,hits,SKATER,BUF,0,8478133,False,,2.939,0.0,0.0,3.512,0.0,0.0,82.0,7.0,Elite,4,6,2,5,3,2,1,2,1,1,4,2.7,2.7,,,,,,,,,OK,1.0,5,0,5,0.7,7,3,10,0.7,7,3,10,0.7,10,0.82,OVER,0.32,C,F,DEPTH,NO_PP,0.353,0.176,0.0,15.35
12077778,218270,Tage Thompson,BUF,F,Hits,1.5,,goblin,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,hits,SKATER,MTL,1,8479420,False,,3.122,0.0,0.0,3.451,0.0,0.0,82.0,18.0,Avg,2,0,1,2,2,3,2,1,1,3,1.4,1.7,1.7,,,,,,,,,OK,0.6,3,2,5,0.6,6,4,10,0.6,6,4,10,0.6,10,0.6,OVER,0.1,C,F,ELITE,PP_REGULAR,1.0,0.494,0.296,19.25
12077779,218366,Kirby Dach,MTL,F,Hits,1.5,1.5,standard,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,hits,SKATER,BUF,0,8481523,False,,2.939,0.0,0.0,3.512,0.0,0.0,82.0,7.0,Elite,4,0,3,2,1,3,2,0,1,2,2,1.8,1.8,,,,,,,,,OK,0.6,3,2,5,0.6,6,4,10,0.6,6,4,10,0.6,10,0.6,OVER,0.1,C,F,DEPTH,PP_OCC,0.405,0.216,0.054,13.65
12077780,287948,Phillip Danault,MTL,F,Hits,1.5,,goblin,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,hits,SKATER,BUF,0,8476479,False,,2.939,0.0,0.0,3.512,0.0,0.0,82.0,7.0,Elite,3,4,2,1,0,3,1,0,1,1,2,1.6,1.6,,,,,,,,,OK,0.6,3,2,5,0.4,4,6,10,0.4,4,6,10,0.4,10,0.48,OVER,-0.02,C,F,DEPTH,NO_PP,0.267,0.133,0.0,15.07
12077781,171835,Alex Newhook,MTL,F,Hits,1.5,,goblin,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,hits,SKATER,BUF,0,8481618,False,,2.939,0.0,0.0,3.512,0.0,0.0,82.0,7.0,Elite,1,0,2,1,1,2,4,2,0,1,1,1.4,1.4,,,,,,,,,OK,0.2,1,4,5,0.4,4,6,10,0.4,4,6,10,0.4,10,0.32,OVER,-0.18,C,F,SECONDARY,PP_OCC,0.595,0.31,0.071,14.48
12077782,218322,Nick Suzuki,MTL,F,Hits,1.5,1.5,standard,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,hits,SKATER,BUF,0,8480018,False,,2.939,0.0,0.0,3.512,0.0,0.0,82.0,7.0,Elite,3,2,3,4,2,2,1,0,1,0,2.8,1.8,1.8,,,,,,,,,OK,1.0,5,0,5,0.6,6,4,10,0.6,6,4,10,0.6,10,0.76,OVER,0.26,C,F,ELITE,PP1_STAR,1.232,0.354,0.524,20.82
12077783,268183,Josh Doan,BUF,F,Hits,1.5,,goblin,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,hits,SKATER,MTL,1,8482659,False,,3.122,0.0,0.0,3.451,0.0,0.0,82.0,18.0,Avg,3,1,2,3,2,3,0,0,0,0,2.2,1.4,1.4,,,,,,,,,OK,0.8,4,1,5,0.5,5,5,10,0.5,5,5,10,0.5,10,0.62,OVER,0.12,R,F,SECONDARY,PP_REGULAR,0.634,0.305,0.207,15.87
12077784,218237,Juraj Slafkovský,MTL,F,Hits,1.5,,goblin,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,hits,SKATER,BUF,0,8483515,False,,2.939,0.0,0.0,3.512,0.0,0.0,82.0,7.0,Elite,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,OVER,-0.5,L,F,SECONDARY,PP_REGULAR,0.89,0.366,0.341,18.53
