player,team,prop_type,actual,PTS,REB,AST,BLK,STL,TO,FGM,FGA,3PM,3PA,3PT,FTM,FTA,2PM,2PA,OREB,DREB,PF,MIN
Han Xu,NY,Assists,2.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,7.0
Han Xu,NY,Rebounds,2.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,7.0
Aziaha James,DAL,Free Throws Attempted,2.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,11.0
Aziaha James,DAL,Free Throws Made,2.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,11.0
Aziaha James,DAL,Steals,2.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,11.0
Alex Fowler,NY,Free Throws Attempted,2.0,12.0,0.0,1.0,0.0,0.0,3.0,4.0,7.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,6.0,17.0
Alex Fowler,NY,Free Throws Made,2.0,12.0,0.0,1.0,0.0,0.0,3.0,4.0,7.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,6.0,17.0
Alex Fowler,NY,Two Pointers Attempted,2.0,12.0,0.0,1.0,0.0,0.0,3.0,4.0,7.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,6.0,17.0
Nyadiew Puoch,POR,Steals,2.0,13.0,2.0,2.0,0.0,2.0,1.0,5.0,9.0,2.0,5.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,5.0,31.0
Nyadiew Puoch,POR,Assists,2.0,13.0,2.0,2.0,0.0,2.0,1.0,5.0,9.0,2.0,5.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,5.0,31.0
Nyadiew Puoch,POR,Rebounds,2.0,13.0,2.0,2.0,0.0,2.0,1.0,5.0,9.0,2.0,5.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,5.0,31.0
Emily Engstler,POR,Free Throws Attempted,2.0,11.0,4.0,0.0,1.0,0.0,1.0,4.0,7.0,2.0,3.0,2.0,1.0,2.0,2.0,4.0,1.0,3.0,1.0,19.0
Emily Engstler,POR,Two Pointers Made,2.0,11.0,4.0,0.0,1.0,0.0,1.0,4.0,7.0,2.0,3.0,2.0,1.0,2.0,2.0,4.0,1.0,3.0,1.0,19.0
Alex Fowler,NY,Two Pointers Made,2.0,12.0,0.0,1.0,0.0,0.0,3.0,4.0,7.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,6.0,17.0
Anastasiia Olairi Kosu,MIN,FG Attempted,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0
Anastasiia Olairi Kosu,MIN,Points,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0
Antonia Delaere,MIN,Rebs+Asts,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0
Antonia Delaere,MIN,PRA,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0
Antonia Delaere,MIN,Pts+Rebs+Asts,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0
Alex Fowler,NY,3-PT Made,2.0,12.0,0.0,1.0,0.0,0.0,3.0,4.0,7.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,6.0,17.0
Emma Cechova,MIN,Pts+Asts,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,11.0
Emma Cechova,MIN,Personal Fouls,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,11.0
Luisa Geiselsoder,POR,3-PT Attempted,2.0,6.0,5.0,1.0,0.0,1.0,1.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,5.0,3.0,22.0
Nyadiew Puoch,POR,Blks+Stls,2.0,13.0,2.0,2.0,0.0,2.0,1.0,5.0,9.0,2.0,5.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,5.0,31.0
Nyadiew Puoch,POR,3-PT Made,2.0,13.0,2.0,2.0,0.0,2.0,1.0,5.0,9.0,2.0,5.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,5.0,31.0
Frieda Buhner,POR,Personal Fouls,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0
Frieda Buhner,POR,Turnovers,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0
Courtney Williams,MIN,Steals,2.0,21.0,5.0,3.0,0.0,2.0,1.0,9.0,10.0,3.0,4.0,3.0,0.0,0.0,6.0,6.0,0.0,5.0,3.0,31.0
Kayla McBride,MIN,Blks+Stls,2.0,11.0,8.0,1.0,1.0,1.0,3.0,1.0,7.0,0.0,2.0,0.0,9.0,11.0,1.0,5.0,1.0,7.0,3.0,34.0
Megan Gustafson,POR,Personal Fouls,2.0,14.0,3.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,1.0,0.0,4.0,4.0,5.0,5.0,1.0,2.0,2.0,14.0
Megan Gustafson,POR,Defensive Rebounds,2.0,14.0,3.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,1.0,0.0,4.0,4.0,5.0,5.0,1.0,2.0,2.0,14.0
Maya Caldwell,MIN,Blks+Stls,2.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0
Paige Bueckers,DAL,Personal Fouls,2.0,27.0,3.0,8.0,0.0,0.0,3.0,7.0,13.0,3.0,4.0,3.0,10.0,11.0,4.0,9.0,0.0,3.0,2.0,31.0
Emma Cechova,MIN,Defensive Rebounds,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,11.0
Breanna Stewart,NY,Turnovers,2.0,22.0,7.0,1.0,0.0,0.0,2.0,8.0,14.0,1.0,4.0,1.0,5.0,6.0,7.0,10.0,1.0,6.0,3.0,28.0
Aziaha James,DAL,Blks+Stls,2.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,11.0
Aziaha James,DAL,Rebs+Asts,2.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,11.0
Emma Cechova,MIN,Rebs+Asts,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,11.0
Pauline Astier,NY,Personal Fouls,2.0,20.0,3.0,2.0,0.0,1.0,0.0,7.0,12.0,3.0,6.0,3.0,3.0,4.0,4.0,6.0,0.0,3.0,2.0,22.0
Serah Williams,POR,Pts+Asts,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0
Serah Williams,POR,Defensive Rebounds,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0
Serah Williams,POR,Free Throws Attempted,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0
Kayla McBride,MIN,3-PT Attempted,2.0,11.0,8.0,1.0,1.0,1.0,3.0,1.0,7.0,0.0,2.0,0.0,9.0,11.0,1.0,5.0,1.0,7.0,3.0,34.0
Serah Williams,POR,Rebounds,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0
Pauline Astier,NY,Assists,2.0,20.0,3.0,2.0,0.0,1.0,0.0,7.0,12.0,3.0,6.0,3.0,3.0,4.0,4.0,6.0,0.0,3.0,2.0,22.0
Jonquel Jones,NY,Free Throws Attempted,2.0,6.0,9.0,3.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,8.0,1.0,26.0
Jonquel Jones,NY,Free Throws Made,2.0,6.0,9.0,3.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,8.0,1.0,26.0
Jonquel Jones,NY,Two Pointers Made,2.0,6.0,9.0,3.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,8.0,1.0,26.0
Jonquel Jones,NY,FG Made,2.0,6.0,9.0,3.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,8.0,1.0,26.0
Jonquel Jones,NY,Turnovers,2.0,6.0,9.0,3.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,8.0,1.0,26.0
Anastasiia Olairi Kosu,MIN,Pts+Rebs,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0
Anastasiia Olairi Kosu,MIN,Two Pointers Attempted,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0
Alanna Smith,DAL,Offensive Rebounds,2.0,6.0,4.0,5.0,1.0,2.0,2.0,3.0,6.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,2.0,2.0,3.0,27.0
Jessica Shepard,DAL,Offensive Rebounds,2.0,7.0,6.0,4.0,0.0,1.0,0.0,3.0,8.0,0.0,1.0,0.0,1.0,2.0,3.0,7.0,2.0,4.0,3.0,31.0
Jessica Shepard,DAL,Free Throws Attempted,2.0,7.0,6.0,4.0,0.0,1.0,0.0,3.0,8.0,0.0,1.0,0.0,1.0,2.0,3.0,7.0,2.0,4.0,3.0,31.0
