player_norm,espn_athlete_id,team_norm
jim thwaites,381057,manchesterunited
jacob devaney,384068,manchesterunited
tyler fletcher,393138,manchesterunited
marcus rashford,230945,manchesterunited
matheus cunha,259902,manchesterunited
bryan mbeumo,271170,manchesterunited
joshua zirkzee,276327,manchesterunited
benjamin sesko,289155,manchesterunited
amad diallo,291630,manchesterunited
shea lacey,358180,manchesterunited
ethan williams,360077,manchesterunited
ethan wheatley,368547,manchesterunited
enzo kana-biyik,398006,manchesterunited
joseph junior andreou gabriel,3108507,manchesterunited
marco bizot,132233,astonvilla
emiliano martinez,109962,palmeiras
lucas digne,160115,astonvilla
tyrone mings,181312,astonvilla
victor lindelof,204679,astonvilla
ezri konsa,231859,astonvilla
matty cash,234698,astonvilla
pau torres,251100,astonvilla
ian maatsen,281125,astonvilla
kosta nedeljkovic,365367,astonvilla
ross barkley,152469,astonvilla
john mcginn,162843,astonvilla
emiliano buendia,214375,astonvilla
boubacar kamara,250936,astonvilla
joao gomes,301524,astonvilla
amadou onana,304799,astonvilla
lamare bogarde,310607,astonvilla
johan manzambi,386992,astonvilla
modou cisse,392682,astonvilla
ollie watkins,198825,astonvilla
leon bailey,224809,astonvilla
tammy abraham,236209,astonvilla
evann guessand,288924,astonvilla
alejandro garnacho,325555,astonvilla
samuel iling-junior,341273,astonvilla
alysson,382839,astonvilla
brian madjo,401451,astonvilla
kepa arrizabalaga,169532,arsenal
david raya,196176,arsenal
illan meslier,265921,arsenal
tommy setford,343573,arsenal
gabriel magalhaes,236322,arsenal
ben white,241077,arsenal
william saliba,277385,arsenal
jurrien timber,282716,arsenal
piero hincapie,292062,arsenal
riccardo calafiori,298329,arsenal
cristhian mosquera,328497,arsenal
myles lewis-skelly,352758,arsenal
fabio vieira,88865,arsenal
christian nørgaard,178077,arsenal
martin ødegaard,203669,arsenal
mikel merino,209581,arsenal
declan rice,238262,arsenal
eberechi eze,251400,arsenal
martin zubimendi,287266,arsenal
ethan nwaneri,349733,arsenal
gabriel jesus,217289,arsenal
reiss nelson,227794,arsenal
kai havertz,231182,arsenal
viktor gyokeres,258906,arsenal
gabriel martinelli,269844,arsenal
bukayo saka,280555,arsenal
noni madueke,293236,arsenal
christos tzolis,303793,arsenal
ismeal kabia,378457,arsenal
robert sanchez,108662,chelsea
gaga slonina,286774,chelsea
teddy sharman-lowe,300049,chelsea
filip jørgensen,304256,chelsea
mike penders,332343,chelsea
ted curd,349214,chelsea
reece james,189007,chelsea
trevoh chalobah,227784,chelsea
tosin adarabioyo,231198,chelsea
axel disasi,231718,chelsea
maxence lacroix,265918,chelsea
wesley fofana,270190,chelsea
benoit badiashile,282585,chelsea
levi colwill,296410,chelsea
malo gusto,308947,chelsea
jorrel hato,353951,chelsea
mamadou sarr,355433,chelsea
marco palestra,362486,chelsea
aaron anselmino,363218,chelsea
josh acheampong,368317,chelsea
landon emenalo,379702,chelsea
calvin diakite,399896,chelsea
olutayo subuloye,408508,chelsea
morgan rogers,265653,chelsea
enzo fernandez,285450,chelsea
moises caicedo,289877,chelsea
cole palmer,296395,chelsea
mykhailo mudryk,299911,chelsea
romeo lavia,308217,chelsea
dario essugo,316560,chelsea
omari kellyman,331082,chelsea
geovany quenda,376274,chelsea
mahdi nicoll-jazuli,399562,chelsea
reggie watson,399564,chelsea
reggie walsh,400749,chelsea
pedro neto,256115,chelsea
joao pedro,152014,atleticodesanluis
david datro fofana,301047,
emmanuel emegha,304871,chelsea
liam delap,307114,chelsea
nicolas jackson,308524,chelsea
jamie gittens,339879,chelsea
marc guiu,363038,chelsea
estevao,376481,chelsea
ryan kavuma-mcqueen,399895,chelsea
dastan satpaev,402242,chelsea
alex cairns,164148,leedsunited
lucas perri,252406,leedsunited
sam byram,223454,leedsunited
james justin,231863,leedsunited
joe rodon,232325,leedsunited
jayden bogle,243408,leedsunited
gabriel gudmundsson,250166,leedsunited
sebastiaan bornauw,271130,leedsunited
jaka bijol,274649,leedsunited
tarik muharemovic,318390,leedsunited
ilia gruev,30116,leedsunited
ethan ampadu,241317,leedsunited
sean longstaff,251658,leedsunited
ao tanaka,253173,leedsunited
brenden aaronson,259653,leedsunited
anton stach,304802,leedsunited
sam chambers,390040,leedsunited
harry wilson,194801,leedsunited
dominic calvert-lewin,197717,leedsunited
daniel james,203072,leedsunited
joel piroe,245562,leedsunited
lukas nmecha,258956,leedsunited
noah okafor,270641,leedsunited
joe gelhardt,277531,leedsunited
largie ramazani,291435,leedsunited
wilfried gnonto,297784,leedsunited
mateo joseph,346709,leedsunited
freddie woodman,194121,liverpool
alisson becker,196876,liverpool
giorgi mamardashvili,274742,liverpool
