team,OVERALL_DEF_RANK,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_wins,opp_gp,def_rank,def_tier,updated_at,sa_ratio,opp_gaa_rank,opp_saa_rank,opp_pk_pct_rank,opp_gf_rank,pace_fast_rank,pace_slow_rank,OVERALL_DEF_SCORE
MTL,16.0,3.061,27.829,0.782,3.402,26.293,0.231,48.0,82.0,16,Avg,2026-05-26T01:17:42.384743+00:00,9.09,16,18,18,7,24,9,16.933333333333334
NJD,15.0,3.085,27.366,0.793,2.756,29.585,0.22,42.0,82.0,18,Avg,2026-05-26T01:17:42.384743+00:00,8.87,18,12,17,27,5,28,16.733333333333334
NSH,26.0,3.256,29.622,0.817,2.951,27.866,0.231,38.0,82.0,26,Below Avg,2026-05-26T01:17:42.384743+00:00,9.1,26,26,5,20,19,14,20.2
NYI,5.0,2.878,27.695,0.808,2.793,28.171,0.165,43.0,82.0,6,Elite,2026-05-26T01:17:42.384743+00:00,9.62,5,14,10,25,12,21,8.666666666666666
NYR,14.0,3.037,28.829,0.799,2.866,25.195,0.247,34.0,82.0,15,Avg,2026-05-26T01:17:42.384743+00:00,9.49,15,21,15,23,31,2,15.933333333333334
OTT,13.0,2.988,24.402,0.757,3.354,28.915,0.24,44.0,82.0,13,Above Avg,2026-05-26T01:17:42.384743+00:00,8.17,13,3,29,8,9,24,15.666666666666668
PHI,10.0,2.915,25.451,0.776,2.927,25.463,0.157,43.0,82.0,9,Above Avg,2026-05-26T01:17:42.384743+00:00,8.73,9,4,21,21,28,5,11.933333333333334
PIT,17.0,3.146,27.366,0.814,3.537,28.573,0.241,41.0,82.0,24,Below Avg,2026-05-26T01:17:42.384743+00:00,8.7,24,12,6,3,10,23,17.200000000000003
SEA,28.0,3.134,29.451,0.722,2.732,25.585,0.195,34.0,82.0,23,Below Avg,2026-05-26T01:17:42.384743+00:00,9.4,23,25,31,28,27,6,23.666666666666668
SJS,31.0,3.537,29.646,0.764,3.037,25.756,0.212,39.0,82.0,30,Weak,2026-05-26T01:17:42.384743+00:00,8.38,30,27,26,17,26,7,27.733333333333334
STL,20.0,3.098,27.707,0.767,2.805,25.329,0.176,37.0,82.0,20,Avg,2026-05-26T01:17:42.384743+00:00,8.94,19,15,25,24,29,4,19.133333333333333
TBL,2.0,2.793,26.695,0.826,3.488,28.11,0.207,50.0,82.0,3,Elite,2026-05-26T01:17:42.384743+00:00,9.56,3,8,3,4,14,18,5.133333333333334
TOR,29.0,3.598,32.439,0.812,3.073,26.329,0.213,32.0,82.0,31,Weak,2026-05-26T01:17:42.384743+00:00,9.02,31,32,8,16,23,10,24.8
UTA,11.0,2.927,26.146,0.781,3.268,27.707,0.2,43.0,82.0,11,Above Avg,2026-05-26T01:17:42.384743+00:00,8.93,10,6,19,10,20,13,12.066666666666666
VAN,32.0,3.829,29.817,0.715,2.561,25.963,0.218,25.0,82.0,32,Weak,2026-05-26T01:17:42.384743+00:00,7.79,32,29,32,30,25,8,31.200000000000003
VGK,6.0,2.951,24.39,0.814,3.22,28.988,0.246,39.0,82.0,12,Above Avg,2026-05-26T01:17:42.384743+00:00,8.26,12,2,6,14,8,25,10.133333333333335
WPG,24.0,3.122,27.768,0.776,2.793,26.366,0.185,35.0,82.0,22,Below Avg,2026-05-26T01:17:42.384743+00:00,8.89,21,17,21,25,22,11,19.933333333333334
WSH,8.0,2.902,28.134,0.801,3.183,28.049,0.178,43.0,82.0,7,Elite,2026-05-26T01:17:42.384743+00:00,9.69,7,19,14,15,16,17,11.333333333333334
