slate_date,group_name,group_type,ticket_no,ticket_uid,n_legs,is_flex_structure,sports_in_ticket,dominant_sport,legs_nba,legs_wnba,legs_cbb,legs_nhl,legs_soccer,legs_mlb,pick_standard_count,pick_goblin_count,pick_demon_count,n_hit,n_miss,n_void,n_ungraded,n_push,n_no_line,n_no_actual,n_no_data,n_dnp,has_any_unresolved,pending,result,canonical_leg_ids,leg_statuses,leg_reasons,label_cash,label_paid,actual_payout_mult,net_10,predicted_payout_mult,predicted_p_win,predicted_ev,ticket_objective_score,ev_power,est_ev,flat_ev,payout_multiplier,power_payout,flex_payout,est_win_prob,avg_hit_rate_leg,avg_ml_prob_leg,min_ml_prob_leg,max_ml_prob_leg,std_ml_prob_leg,avg_leg_prob_used,min_leg_prob_used,avg_edge_leg,min_edge_leg,max_edge_leg,avg_abs_edge_leg,avg_rank_score_leg,min_rank_score_leg,avg_context_score_leg,avg_intel_hit_rate_leg
2026-05-04,NBA Goblin 5-Leg #10,OTHER,1,2026-05-04|NBA Goblin 5-Leg #10|1|1,5,0,1,NBA,5,0,0,0,0,0,0,5,0,3,1,1,0,0,0,0,0,0,0,0,LOSS,"leg_466a73c555efd964a14b,leg_f7d04ca9399f7cf95204,leg_49ee8f159b02f4fe43ce,leg_67fa769ed22ab7c832f7,leg_cae916fe8f83f963a141","MISS,HIT,VOID,HIT,HIT",INJURY_REPORT_DNP,0.0,0,0.0,-10.0,4.5,0.4055,0.8248,0.1366,1.4562,0.7723,2.8173,0.533,10.66,5.33,0.1366044882488524,0.8400000000000001,0.71178,0.6605,0.7593,0.0318717053199228,0.8379999999999999,0.8,1.75,1.7,1.9,1.75,1.5574477999999998,1.3399120000000002,,
2026-05-04,NBA Goblin 5-Leg #11,OTHER,1,2026-05-04|NBA Goblin 5-Leg #11|1|1,5,0,1,NBA,5,0,0,0,0,0,0,5,0,2,3,0,0,0,0,0,0,0,0,0,LOSS,"leg_e681df20b5b6c683c0c5,leg_9654ae465a07d303f820,leg_44895640098b1ccf2ffa,leg_2c0bb02ac82a46751ff5,leg_2798c0906ebe662a6f54","HIT,MISS,MISS,MISS,HIT",,0.0,0,0.0,-10.0,4.5,0.7685,2.4581,0.1366,2.7321,2.8956,2.8956,1.0,20.0,10.0,0.1366044882488524,0.96,0.71504,0.6605,0.7603,0.0391663937579144,0.9520000000000002,0.8,1.62,1.55,1.7,1.62,1.524619,1.008696,,
2026-05-04,NBA Goblin 5-Leg #12,OTHER,1,2026-05-04|NBA Goblin 5-Leg #12|1|1,5,0,1,NBA,5,0,0,0,0,0,0,5,0,3,2,0,0,0,0,0,0,0,0,0,LOSS,"leg_210af6526a50b798f726,leg_2cec5ed944bbbd0edac1,leg_b6822068a015e7e1e09c,leg_44a6dfa4d828ddd93803,leg_b47bbeab313ae376ec99","HIT,HIT,HIT,MISS,MISS",,0.0,0,0.0,-10.0,4.5,0.621,1.7945,0.1366,1.8551,0.3659,3.168,0.679,13.58,6.79,0.1366044882488524,0.92,0.7245600000000001,0.6621,0.7603,0.0354282147447482,0.914,0.8,1.52,1.45,1.55,1.52,1.303908,0.5639919999999999,,
2026-05-04,NBA Goblin 5-Leg #13,OTHER,1,2026-05-04|NBA Goblin 5-Leg #13|1|1,5,0,1,NBA,5,0,0,0,0,0,0,5,0,3,2,0,0,0,0,0,0,0,0,0,LOSS,"leg_eb17e8fd538f39058db9,leg_0a0fb8480ed96e793f53,leg_1c66e0d6a7d5b780fbc3,leg_f03c53780a29eb206e66,leg_a8f3218801bd69ea2868","MISS,MISS,HIT,HIT,HIT",,0.0,0,0.0,-10.0,4.5,0.4055,0.8248,0.1366,0.918,0.9017,2.9003,0.336,6.72,3.36,0.1366044882488524,0.8400000000000001,0.7147600000000001,0.6605,0.7519,0.0297406523129537,0.8380000000000001,0.8,1.3699999999999997,1.3,1.45,1.3699999999999997,1.5762230000000002,1.258425,,
2026-05-04,NBA Goblin 5-Leg #18,OTHER,1,2026-05-04|NBA Goblin 5-Leg #18|1|1,5,0,1,NBA,5,0,0,0,0,0,0,5,0,4,1,0,0,0,0,0,0,0,0,0,LOSS,"leg_1ee4152a85e975d5cc12,leg_8d839e9b702592a772a4,leg_400f83d8a2b77ade7820,leg_842dfc216cf467dc771c,leg_3e4ff917476d44355e8a","HIT,HIT,HIT,HIT,MISS",,0.0,0,0.0,-10.0,4.5,0.621,1.7945,0.1366,2.7321,1.4849,1.4849,1.0,20.0,10.0,0.1366044882488524,0.92,0.6528,0.6311,0.6779,0.017821784422442,0.914,0.8,0.6100000000000001,0.45,0.8,0.6100000000000001,1.6159526,1.512466,,
2026-05-04,NBA Goblin 5-Leg #2,OTHER,1,2026-05-04|NBA Goblin 5-Leg #2|1|1,5,0,1,NBA,5,0,0,0,0,0,0,5,0,3,2,0,0,0,0,0,0,0,0,0,LOSS,"leg_f20f563615e8085a6b54,leg_ce1a6b35443cf091da89,leg_e3b0b7c376ae5bece4c5,leg_42ced7f0db7f8ba4af6e,leg_c0b00b4f6dec8509255b","HIT,MISS,HIT,HIT,MISS",,0.0,0,0.0,-10.0,4.5,0.5018,1.2582,0.1366,0.489,0.078,2.5045,0.179,3.58,1.79,0.1366044882488524,0.8800000000000001,0.7020000000000001,0.5808,0.7476,0.062125936612658,0.876,0.8,3.862000000000001,3.76,3.98,3.862000000000001,1.3325236,0.5684589999999999,,
2026-05-04,NBA Goblin 5-Leg #5,OTHER,1,2026-05-04|NBA Goblin 5-Leg #5|1|1,5,0,1,NBA,5,0,0,0,0,0,0,5,0,3,2,0,0,0,0,0,0,0,0,0,LOSS,"leg_faad86923d4d26a2d34e,leg_dd3ab8c2eadc5aec1b9f,leg_72fd713e4c4c944c155f,leg_a4949179ef4fc801808c,leg_82959a9947536affda70","MISS,HIT,HIT,MISS,HIT",,0.0,0,0.0,-10.0,4.5,0.5018,1.2582,0.1366,0.9521,0.6588,3.6063,0.3485,6.97,3.49,0.1366044882488524,0.8799999999999999,0.7385200000000001,0.7153,0.756,0.0183537897993847,0.876,0.8,3.072,3.0,3.14,3.072,1.3907688000000002,0.81432,,
2026-05-04,NBA Goblin 5-Leg #6,OTHER,1,2026-05-04|NBA Goblin 5-Leg #6|1|1,5,0,1,NBA,5,0,0,0,0,0,0,5,0,3,2,0,0,0,0,0,0,0,0,0,LOSS,"leg_e48756dd7eaf8a09aec7,leg_a50bb2cdafc082cfb8cf,leg_32eea27ed34bf2dc9707,leg_b6c23cde1d824cd1abd9,leg_49f33cc4160cb77f457b","HIT,HIT,MISS,HIT,MISS",,0.0,0,0.0,-10.0,4.5,0.4055,0.8248,0.1366,0.974,0.9614,3.1908,0.3565,7.13,3.56,0.1366044882488524,0.8400000000000001,0.7245600000000001,0.7153,0.7479,0.0121086085079995,0.8380000000000001,0.8,2.83,2.76,2.87,2.83,1.1574064,0.8574020000000001,,
2026-05-04,NBA Goblin 6-Leg #1,OTHER,1,2026-05-04|NBA Goblin 6-Leg #1|1|1,6,0,1,NBA,6,0,0,0,0,0,0,6,0,3,3,0,0,0,0,0,0,0,0,0,LOSS,"leg_1ad1a1244d8682d618c0,leg_9b3594b775a0f0a779d1,leg_84fe7596741c766b3d6c,leg_5ce746d05fc13e206167,leg_beae42e57e27dddd012e,leg_54dec805de5865271628","MISS,MISS,MISS,HIT,HIT,HIT",,0.0,0,0.0,-10.0,8.4,0.2621,1.202,0.0925,0.3421,1.0117,2.3455,0.0925,3.7,2.31,0.0924539176468233,0.7999999999999999,0.6670166666666667,0.6216,0.7473,0.0451810585926841,0.7999999999999999,0.8,5.536666666666666,5.45,5.62,5.536666666666666,1.2012345,0.6130150000000001,,
2026-05-04,NBA Goblin 6-Leg #10,OTHER,1,2026-05-04|NBA Goblin 6-Leg #10|1|1,6,0,1,NBA,6,0,0,0,0,0,0,6,0,3,3,0,0,0,0,0,0,0,0,0,LOSS,"leg_c611c37d54c4696f7c7d,leg_df1b26f8f659c898eb09,leg_f0d77dbaed92e613aa64,leg_bac791255e5302c2fb5a,leg_bdbe04627dafad5a1dd2,leg_e393b1e6bd34d09ee043","HIT,HIT,MISS,MISS,HIT,MISS",,0.0,0,0.0,-10.0,8.4,0.3244,1.725,0.0925,0.907,0.5491,2.0645,0.2453,9.81,6.13,0.0924539176468233,0.8333333333333334,0.6560166666666667,0.6291,0.6761,0.0139054445771751,0.8316666666666667,0.8,2.143333333333333,2.03,2.24,2.143333333333333,1.206054,0.7733420000000001,,
