nba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,is_combo_player,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,ESPN_ATHLETE_ID,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,min_last5_avg
1631170,10806644,10806644,177386,138259,2026-03-23T19:00:00.000-04:00,,,Jaime Jaquez,G,MIA,SAS,20.5,Fantasy Score,fantasy,Goblin,25.5,1,https://static.prizepicks.com/images/players/NBA/Jaime_Jaquez_NBA_player_93WtzdYg1jI8Uxy2vKBQ4a6X.webp,,,,,OK,0,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7,12,13,25,8,25,11,11,2,24,9.903225806451612,9,Above Avg,4432848,15.7,47.9,21.3,24.7,44.2,34.9,40.4,43,25.6,36.8,30.76,33.45,33.45,4,1,0,0.8,0.8,0.2,0.9,0.1,OK,27.8
1630170,10806673,10806673,56347,138259,2026-03-23T19:00:00.000-04:00,,,Devin Vassell,G-F,SAS,MIA,20.5,Fantasy Score,fantasy,Goblin,25.5,1,https://static.prizepicks.com/images/players/NBA/Devin_Vassell_NBA_player_1FsPF0NOGQH4fepI0eeG7MYw.webp,,,,,OK,0,116.6,93.0,42.6,39.3,13.7,22.1,15.7,53.7,28.900000000000002,57.800000000000004,19,20,27,28,21,22,15,15,7,8,18.827956989247312,20,Avg,4395630,21.9,39.1,19.5,35.7,27.9,18,28.8,19.1,45.5,38.9,28.82,29.44,29.44,4,1,0,0.8,0.8,0.2,0.7,0.3,OK,33.2
1630558,10806642,10806642,227883,138259,2026-03-23T19:00:00.000-04:00,,,Davion Mitchell,G,MIA,SAS,19.0,Fantasy Score,fantasy,Goblin,23.5,1,https://static.prizepicks.com/images/players/NBA/Davion_Mitchell_NBA_player_ZoDFOmDX207i6ik62UoG3uK.webp,,,,,OK,0,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7,12,13,25,8,25,11,11,2,24,9.903225806451612,9,Above Avg,4278053,40.7,39.6,14.6,27.4,35.5,33.9,19.4,31.4,16.4,18.6,31.56,27.75,27.75,4,1,0,0.8,0.8,0.2,0.7,0.3,OK,29.6
1641796,10806663,10806663,233790,138259,2026-03-23T19:00:00.000-04:00,,,Pelle Larsson,G,MIA,SAS,19.0,Fantasy Score,fantasy,Goblin,23.5,1,https://static.prizepicks.com/images/players/NBA/Pelle_Larsson_NBA_player_Jx5ZqeLyqZECGQziJT6zXdNr.webp,,,,,OK,0,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7,12,13,25,8,25,11,11,2,24,9.903225806451612,9,Above Avg,4601025,34,23.4,19.4,34.1,52.2,26.9,28,22.3,28.2,12.9,32.62,28.14,28.14,5,0,0,1,1,0,0.9,0.1,OK,33
1629640,10806662,10806662,55140,138259,2026-03-23T19:00:00.000-04:00,,,Keldon Johnson,F-G,SAS,MIA,18.0,Fantasy Score,fantasy,Goblin,22.5,1,https://static.prizepicks.com/images/players/NBA/Keldon_Johnson_NBA_player_ytnN6jT7zYkcukGvVWoYp2zk.webp,,,,,OK,0,116.6,93.0,42.6,39.3,13.7,22.1,15.7,53.7,28.900000000000002,57.800000000000004,19,20,27,28,21,22,15,15,7,8,18.827956989247312,20,Avg,4395723,40.3,12.3,26.2,13,24,21.4,16.2,30.7,22.7,14.3,23.16,22.11,22.11,3,2,0,0.6,0.6,0.4,0.6,0.4,OK,21.6
1630577,10806672,10806672,125266,138259,2026-03-23T19:00:00.000-04:00,,,Julian Champagnie,F,SAS,MIA,18.0,Fantasy Score,fantasy,Goblin,22.5,1,https://static.prizepicks.com/images/players/NBA/Julian_Champagnie_NBA_player_wWXts7QJavucRoRUsMbfxn9.webp,,,,,OK,0,116.6,93.0,42.6,39.3,13.7,22.1,15.7,53.7,28.900000000000002,57.800000000000004,19,20,27,28,21,22,15,15,7,8,18.827956989247312,20,Avg,4592479,28.4,31.4,25.7,25.6,26.3,18.4,5.5,38,38.3,31.9,27.48,26.95,26.95,5,0,0,1,1,0,0.9,0.1,OK,29.4
1631094,10806946,10806946,188001,138260,2026-03-23T19:00:00.000-04:00,,,Paolo Banchero,F,ORL,IND,49.5,Fantasy Score,fantasy,Demon,42.5,1,https://static.prizepicks.com/images/players/NBA/Paolo_Banchero_NBA_player_cSms4hTTjMfoXUcRKPQkTQDA.webp,,,,,OK,0,119.9,89.5,43.9,33.4,11.8,26.5,13.7,56.1,32.099999999999994,64.19999999999999,26,1,2,18,25,29,30,30,27,21,22.967741935483872,25,Weak,4432573,46,43.6,64.5,50.5,50.1,46.5,49.6,52,56,53.4,50.94,51.22,51.22,3,2,0,0.6,0.6,0.4,0.7,0.3,OK,34
1630217,10806944,10806944,271602,138260,2026-03-23T19:00:00.000-04:00,,,Desmond Bane,G,ORL,IND,42.0,Fantasy Score,fantasy,Demon,35.5,1,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp,,,,,OK,0,119.9,89.5,43.9,33.4,11.8,26.5,13.7,56.1,32.099999999999994,64.19999999999999,26,1,2,18,25,29,30,30,27,21,22.967741935483872,25,Weak,4066320,38.8,43.4,30.6,34.9,38.3,46.2,59.7,53,46.1,32.6,37.2,42.36,42.36,1,4,0,0.2,0.2,0.8,0.5,0.5,OK,33.2
1627783,10806933,10806933,185263,138260,2026-03-23T19:00:00.000-04:00,,,Pascal Siakam,F,IND,ORL,40.0,Fantasy Score,fantasy,Demon,33.5,1,https://static.prizepicks.com/images/players/NBA/Pascal_Siakam_NBA_player_c9ZZucfkQc3rXxArEsds4Rd1.webp,,,,,OK,0,114.2,87.8,41.6,33.7,11.8,24.9,14.9,54.099999999999994,29.8,59.6,11,1,3,8,14,24,25,25,25,12,13.709677419354838,13,Above Avg,3149673,30.9,46.2,46,41.5,47.1,10.6,6.7,57.7,29.8,42.2,42.34,35.87,35.87,4,1,0,0.8,0.8,0.2,0.6,0.4,OK,29.8
1630591,10806940,10806940,53830,138260,2026-03-23T19:00:00.000-04:00,,,Jalen Suggs,G,ORL,IND,40.0,Fantasy Score,fantasy,Demon,33.5,1,https://static.prizepicks.com/images/players/NBA/Jalen_Suggs_NBA_player_I7jpOaNuORX9n8iyAuZi5K2s.webp,,,,,OK,0,119.9,89.5,43.9,33.4,11.8,26.5,13.7,56.1,32.099999999999994,64.19999999999999,26,1,2,18,25,29,30,30,27,21,22.967741935483872,25,Weak,4432165,33.6,19,42.9,27.2,36,55.3,33.4,36.1,39.3,44.4,31.74,36.72,36.72,1,4,0,0.2,0.2,0.8,0.3,0.7,OK,30.2
