nba_player_id,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player_1,player_2,team_1,team_2,id_status,is_combo_player
1630224,Jalen Green,G,PHX,ORL,29.5,Pts+Rebs+Asts,pra,Demon,24.5,1,10029315,10029315,272587,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630692,Jordan Goodwin,G,PHX,ORL,29.5,Pts+Rebs+Asts,pra,Demon,16.5,3,10029328,10029328,174556,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630224,Jalen Green,G,PHX,ORL,29.5,Pts+Rebs,pr,Demon,21.5,2,10029598,10029598,272587,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1631109,Mark Williams,C,PHX,ORL,29.5,Pts+Rebs,pr,Demon,19.5,2,10029951,10029951,271611,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1631221,Collin Gillespie,G,PHX,ORL,29.5,Fantasy Score,fantasy,Standard,29.5,0,10031818,10031818,233411,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1641710,Anthony Black,G,ORL,PHX,28.5,Pts+Rebs+Asts,pra,Demon,25.5,1,10022947,10022947,173641,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1628415,Dillon Brooks,G-F,PHX,ORL,28.5,Points,pts,Demon,22.5,2,10023069,10023069,269531,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1631094,Paolo Banchero,F,ORL,PHX,28.5,Points,pts,Demon,22.5,3,10023269,10023269,188001,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1628960,Grayson Allen,G,PHX,ORL,28.0,Fantasy Score,fantasy,Standard,28.0,0,10031821,10031821,174039,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1631221,Collin Gillespie,G,PHX,ORL,27.5,Pts+Rebs+Asts,pra,Demon,22.5,2,10022991,10022991,233411,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630217,Desmond Bane,G,ORL,PHX,27.5,Pts+Rebs+Asts,pra,Standard,27.5,0,10023038,10023038,271602,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630591,Jalen Suggs,G,ORL,PHX,27.5,Pts+Rebs+Asts,pra,Demon,24.5,2,10023161,10023161,53830,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1631094,Paolo Banchero,F,ORL,PHX,27.5,Pts+Asts,pa,Standard,27.5,0,10023274,10023274,188001,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1628415,Dillon Brooks,G-F,PHX,ORL,27.5,Pts+Rebs+Asts,pra,Goblin,29.5,1,10030538,10030538,269531,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1628415,Dillon Brooks,G-F,PHX,ORL,27.0,Pts+Rebs,pr,Standard,27.0,0,10023075,10023075,269531,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1631109,Mark Williams,C,PHX,ORL,27.0,Fantasy Score,fantasy,Standard,27.0,0,10031825,10031825,271611,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1628415,Dillon Brooks,G-F,PHX,ORL,26.5,Points,pts,Demon,22.5,1,10023068,10023068,269531,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1628415,Dillon Brooks,G-F,PHX,ORL,26.5,Pts+Rebs+Asts,pra,Goblin,29.5,2,10023079,10023079,269531,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1628960,Grayson Allen,G,PHX,ORL,26.5,Pts+Rebs+Asts,pra,Demon,21.5,1,10023118,10023118,174039,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1631109,Mark Williams,C,PHX,ORL,26.5,Pts+Rebs+Asts,pra,Demon,20.5,3,10023202,10023202,271611,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1631094,Paolo Banchero,F,ORL,PHX,26.5,Points,pts,Demon,22.5,2,10023268,10023268,188001,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630224,Jalen Green,G,PHX,ORL,26.5,Fantasy Score,fantasy,Standard,26.5,0,10031822,10031822,272587,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1641710,Anthony Black,G,ORL,PHX,25.5,Pts+Rebs+Asts,pra,Standard,25.5,0,10022951,10022951,173641,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1631221,Collin Gillespie,G,PHX,ORL,25.5,Pts+Rebs+Asts,pra,Demon,22.5,1,10022989,10022989,233411,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630217,Desmond Bane,G,ORL,PHX,25.5,Pts+Rebs+Asts,pra,Goblin,27.5,1,10023036,10023036,271602,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630591,Jalen Suggs,G,ORL,PHX,25.5,Pts+Rebs+Asts,pra,Demon,24.5,1,10023162,10023162,53830,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1628415,Dillon Brooks,G-F,PHX,ORL,25.5,Pts+Rebs,pr,Goblin,27.0,1,10030537,10030537,269531,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1631094,Paolo Banchero,F,ORL,PHX,25.5,Pts+Asts,pa,Goblin,27.5,1,10030549,10030549,188001,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1628976,Wendell Carter,C-F,ORL,PHX,25.0,Fantasy Score,fantasy,Standard,25.0,0,10031829,10031829,37711,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630217,Desmond Bane,G,ORL,PHX,24.5,Points,pts,Demon,18.5,3,10023026,10023026,271602,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630217,Desmond Bane,G,ORL,PHX,24.5,Pts+Rebs+Asts,pra,Goblin,27.5,2,10023035,10023035,271602,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1628415,Dillon Brooks,G-F,PHX,ORL,24.5,Pts+Asts,pa,Standard,24.5,0,10023074,10023074,269531,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630591,Jalen Suggs,G,ORL,PHX,24.5,Pts+Rebs+Asts,pra,Standard,24.5,0,10023165,10023165,53830,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1631109,Mark Williams,C,PHX,ORL,24.5,Pts+Rebs+Asts,pra,Demon,20.5,2,10023200,10023200,271611,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1631094,Paolo Banchero,F,ORL,PHX,24.5,Points,pts,Demon,22.5,1,10023270,10023270,188001,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1628976,Wendell Carter,C-F,ORL,PHX,24.5,Pts+Rebs+Asts,pra,Demon,19.5,3,10023362,10023362,37711,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1641710,Anthony Black,G,ORL,PHX,24.5,Pts+Rebs,pr,Demon,20.5,1,10026037,10026037,173641,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630591,Jalen Suggs,G,ORL,PHX,24.5,Pts+Rebs,pr,Demon,17.5,1,10026050,10026050,53830,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1631094,Paolo Banchero,F,ORL,PHX,24.5,Pts+Rebs,pr,Goblin,31.5,2,10026054,10026054,188001,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1628976,Wendell Carter,C-F,ORL,PHX,24.5,Pts+Rebs,pr,Demon,16.5,2,10026062,10026062,37711,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1631221,Collin Gillespie,G,PHX,ORL,24.5,Pts+Asts,pa,Demon,18.5,1,10026717,10026717,233411,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1631221,Collin Gillespie,G,PHX,ORL,24.5,Pts+Rebs,pr,Demon,17.5,1,10026721,10026721,233411,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1628415,Dillon Brooks,G-F,PHX,ORL,24.5,Pts+Rebs,pr,Goblin,27.0,2,10026728,10026728,269531,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1628415,Dillon Brooks,G-F,PHX,ORL,24.5,Pts+Rebs+Asts,pra,Goblin,29.5,3,10026729,10026729,269531,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1628960,Grayson Allen,G,PHX,ORL,24.5,Pts+Asts,pa,Demon,19.5,1,10026730,10026730,174039,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1628960,Grayson Allen,G,PHX,ORL,24.5,Pts+Rebs,pr,Demon,17.5,1,10026733,10026733,174039,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1631109,Mark Williams,C,PHX,ORL,24.5,Pts+Rebs,pr,Demon,19.5,1,10026739,10026739,271611,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1641710,Anthony Black,G,ORL,PHX,24.5,Pts+Asts,pa,Demon,21.5,1,10026871,10026871,173641,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630217,Desmond Bane,G,ORL,PHX,24.5,Pts+Asts,pa,Demon,22.5,1,10026875,10026875,271602,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630591,Jalen Suggs,G,ORL,PHX,24.5,Pts+Asts,pa,Demon,19.5,1,10026878,10026878,53830,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1631094,Paolo Banchero,F,ORL,PHX,24.5,Pts+Asts,pa,Goblin,27.5,2,10026885,10026885,188001,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630224,Jalen Green,G,PHX,ORL,24.5,Points,pts,Demon,18.5,3,10027940,10027940,272587,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630217,Desmond Bane,G,ORL,PHX,24.5,Pts+Rebs,pr,Demon,23.5,1,10027972,10027972,271602,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630224,Jalen Green,G,PHX,ORL,24.5,Pts+Rebs+Asts,pra,Standard,24.5,0,10027979,10027979,272587,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630224,Jalen Green,G,PHX,ORL,24.5,Pts+Asts,pa,Demon,21.5,1,10029312,10029312,272587,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
1630692,Jordan Goodwin,G,PHX,ORL,24.5,Pts+Asts,pa,Demon,11.5,3,10029324,10029324,174556,129171,2026-02-21T17:00:00.000-05:00,,,,,,,OK,0
