projection_id,player_id,player_name,team,position,stat_type,line_score,standard_line,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,game_date,delta_pct
12526007,61274,Seth Jarvis,CAR,F,Blocked Shots,0.5,0.5,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12526008,218224,Sebastian Aho,CAR,F,Blocked Shots,0.5,0.5,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12526009,226405,Taylor Hall,CAR,F,Blocked Shots,0.5,0.5,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12526010,232486,Jackson Blake,CAR,F,Blocked Shots,0.5,0.5,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12527895,232486,Jackson Blake,CAR,F,Hits,0.5,0.5,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12527898,218704,Shayne Gostisbehere,CAR,D,Hits,0.5,0.5,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12527899,218569,Jack Eichel,VGK,F,Hits,0.5,,goblin,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12527900,267801,Mitch Marner,VGK,F,Hits,0.5,,goblin,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12527904,291688,Dylan Coghlan,VGK,D,Hits,0.5,0.5,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12523007,311689,Carter Hart,VGK,G,Goalie Saves,32.5,26.5,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.226415
12523006,311689,Carter Hart,VGK,G,Goalie Saves,30.5,26.5,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.150943
12523013,58566,Frederik Andersen,CAR,G,Goalie Saves,30.5,22.5,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.355556
12555283,269552,Brandon Bussi,CAR,G,Goalie Saves,29.5,22.5,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.311111
12523008,311689,Carter Hart,VGK,G,Goalie Saves,28.5,26.5,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.075472
12523011,58566,Frederik Andersen,CAR,G,Goalie Saves,28.5,22.5,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.266667
12555282,269552,Brandon Bussi,CAR,G,Goalie Saves,27.5,22.5,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.222222
12521116,311689,Carter Hart,VGK,G,Goalie Saves,26.5,26.5,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12523012,58566,Frederik Andersen,CAR,G,Goalie Saves,26.5,22.5,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.177778
12523009,311689,Carter Hart,VGK,G,Goalie Saves,24.5,26.5,goblin,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,0.924528
12555281,269552,Brandon Bussi,CAR,G,Goalie Saves,24.5,22.5,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.088889
12521123,58566,Frederik Andersen,CAR,G,Goalie Saves,22.5,22.5,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12538909,311689,Carter Hart,VGK,G,Goalie Saves,22.5,26.5,goblin,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,0.849057
12542925,269552,Brandon Bussi,CAR,G,Goalie Saves,22.5,22.5,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12523014,58566,Frederik Andersen,CAR,G,Goalie Saves,20.5,22.5,goblin,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,0.911111
12555284,269552,Brandon Bussi,CAR,G,Goalie Saves,19.5,22.5,goblin,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,0.866667
12521102,218693,Andrei Svechnikov,CAR,F,Shots On Goal,4.5,2.5,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.8
12521159,218569,Jack Eichel,VGK,F,Shots On Goal,4.5,2.5,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.8
12521226,231268,Logan Stankoven,CAR,F,Shots On Goal,4.5,,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521267,265264,Nikolaj Ehlers,CAR,F,Shots On Goal,4.5,,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521295,172624,Pavel Dorofeyev,VGK,F,Shots On Goal,4.5,2.5,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.8
12521325,218224,Sebastian Aho,CAR,F,Shots On Goal,4.5,2.0,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,2.25
12521341,61274,Seth Jarvis,CAR,F,Shots On Goal,4.5,2.5,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.8
12522970,232486,Jackson Blake,CAR,F,Shots On Goal,4.5,2.0,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,2.25
12522972,267801,Mitch Marner,VGK,F,Shots On Goal,4.5,2.0,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,2.25
12521101,218693,Andrei Svechnikov,CAR,F,Shots On Goal,3.5,2.5,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.4
12521158,218569,Jack Eichel,VGK,F,Shots On Goal,3.5,2.5,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.4
12521168,232486,Jackson Blake,CAR,F,Shots On Goal,3.5,2.0,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.75
12521224,231268,Logan Stankoven,CAR,F,Shots On Goal,3.5,,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521238,57428,Mark Stone,VGK,F,Shots On Goal,3.5,2.0,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.75
12521251,267801,Mitch Marner,VGK,F,Shots On Goal,3.5,2.0,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.75
12521265,265264,Nikolaj Ehlers,CAR,F,Shots On Goal,3.5,,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521294,172624,Pavel Dorofeyev,VGK,F,Shots On Goal,3.5,2.5,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.4
12521323,218224,Sebastian Aho,CAR,F,Shots On Goal,3.5,2.0,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.75
12521340,61274,Seth Jarvis,CAR,F,Shots On Goal,3.5,2.5,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.4
12521368,57765,Shea Theodore,VGK,D,Shots On Goal,3.5,1.5,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,2.333333
12521378,226405,Taylor Hall,CAR,F,Shots On Goal,3.5,2.0,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.75
12521392,218580,Tomas Hertl,VGK,F,Shots On Goal,3.5,1.5,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,2.333333
12521405,218753,William Karlsson,VGK,F,Shots On Goal,3.5,,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12522611,231718,Sean Walker,CAR,D,Shots On Goal,3.5,1.5,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,2.333333
12522969,125904,Ivan Barbashev,VGK,F,Shots On Goal,3.5,,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12522971,64225,Jordan Martinook,CAR,F,Shots On Goal,3.5,1.5,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,2.333333
