rank,tier,player,team,opp,is_home,player_role,position_group,prop_display,prop_type,line,direction,composite_hr,hit_rate,hr_L5,hr_L10,hr_L20,hr_season,sample_L5,hit_L5,sample_L10,hit_L10,sample_L20,sample_season,avg_L5,avg_L10,avg_L20,avg_season,gap_vs_line_L5,gap_vs_line_L10,projection,over_L5_raw,under_L5_raw,over_L10_raw,under_L10_raw,last1_raw,last2_raw,last3_raw,games_played,scoring_tier,pp_tier,def_tier,def_rank,opp_gaa,implied_team_total,game_total,opp_saa,opp_shots_allowed_avg,opp_pk_pct,player_avg_shots_L5,player_avg_shots_L10,pts_per_game,pp_pts_per_game,toi_avg_L10,toi_per_game_api,prop_score,edge,abs_edge,ml_prob,edge_score,blended_score,pick_type,Game Date,game_date,Game Time,game_start,game_script_mult,game_script_note,open_line,line_movement,line_direction_shift,rest_days,back_to_back,goalie_name,goalie_sv_pct,line_combo,line_combo_toi_pct,on_pp1_line,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
261,D,Rickard Rakell,PIT,DAL,0,SKATER,F,Shots On Goal,shots_on_goal,3.5,OVER,0.34,0.34,0.4,0.3,0.3,0.3,5,2/5,10,3/10,10,10,2.80,3.10,,3.10,-0.7,-0.4,2.80,2,3,3,7,,,,,UNKNOWN,N/A,Elite,2,2.707,,,26.159,26.2,0.803,2.80,3.10,0.000,0.000,,,0.09970,-0.7000,0.7000,0.0851,,0.0997,demon,2026-03-28,2026-03-28,5:00 PM,2026-03-28T17:00:00.000-04:00,0.980,"PIT -1.5 pt margin vs DAL, shots_on_goal: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)",3.50,0.000,stable,2,0,,,,,0,4.00,5.00,1.00,3.00,1.00,2.00,2.00,2.00,8.00,3.00
262,D,Kyle Connor,WPG,COL,0,SKATER,F,Goals,goals,0.5,OVER,0.38,0.38,0.2,0.5,0.5,0.5,5,1/5,10,5/10,10,10,0.20,0.70,,0.70,-0.3,0.2,0.20,1,4,5,5,,,,,UNKNOWN,N/A,Elite,1,2.402,,,26.134,26.1,0.846,,,0.000,0.000,,,0.09753,-0.3000,0.3000,0.2388,,0.0975,demon,2026-03-28,2026-03-28,7:00 PM,2026-03-28T19:00:00.000-04:00,0.980,"WPG -1.5 pt margin vs COL, goals: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)",0.50,0.000,stable,2,0,,,,,0,0.00,1.00,0.00,0.00,0.00,2.00,2.00,0.00,1.00,1.00
263,D,Brayden Schenn,NYI,FLA,0,SKATER,F,Goals,goals,0.5,OVER,0.32,0.32,0.2,0.4,0.4,0.4,5,1/5,10,4/10,10,10,0.20,0.40,,0.40,-0.3,-0.1,0.20,1,4,4,6,,,,,UNKNOWN,N/A,Below Avg,28,3.341,,,26.793,26.8,0.810,,,0.000,0.000,,,0.09711,-0.3000,0.3000,0.1818,,0.0971,demon,2026-03-28,2026-03-28,1:00 PM,2026-03-28T13:00:00.000-04:00,1.000,"NYI +1.5 pt margin vs FLA, goals: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)",0.50,0.000,stable,2,0,,,,,0,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00
264,D,Nick Suzuki,MTL,NSH,0,SKATER,F,Goals,goals,0.5,OVER,0.32,0.32,0.2,0.4,0.4,0.4,5,1/5,10,4/10,10,10,0.20,0.40,,0.40,-0.3,-0.1,0.20,1,4,4,6,,,,,UNKNOWN,N/A,Below Avg,26,3.256,,,29.622,29.6,0.817,,,0.000,0.000,,,0.09711,-0.3000,0.3000,0.1818,,0.0971,demon,2026-03-28,2026-03-28,7:00 PM,2026-03-28T19:00:00.000-04:00,1.000,"MTL +1.5 pt margin vs NSH, goals: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)",0.50,0.000,stable,2,0,,,,,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00
265,D,Erik Haula,NSH,MTL,0,SKATER,F,Goals,goals,0.5,OVER,0.34,0.34,0.4,0.3,0.3,0.3,5,2/5,10,3/10,10,10,0.40,0.30,,0.30,-0.1,-0.2,0.40,2,3,3,7,,,,,UNKNOWN,N/A,Avg,16,3.061,,,27.829,27.8,0.782,,,0.000,0.000,,,0.09283,-0.1000,0.1000,0.1818,,0.0928,demon,2026-03-28,2026-03-28,7:00 PM,2026-03-28T19:00:00.000-04:00,0.980,"NSH -1.5 pt margin vs MTL, goals: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)",0.50,0.000,stable,2,0,,,,,0,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
275,D,David Perron,DET,PHI,0,SKATER,F,Goals,goals,0.5,OVER,0.34,0.34,0.4,0.3,0.3,0.3,5,2/5,10,3/10,10,10,0.40,0.30,,0.30,-0.1,-0.2,0.40,2,3,3,7,,,,,UNKNOWN,N/A,Above Avg,9,2.915,,,25.451,25.5,0.776,,,0.000,0.000,,,0.08142,-0.1000,0.1000,0.1818,,0.0814,demon,2026-03-28,2026-03-28,8:00 PM,2026-03-28T20:00:00.000-04:00,1.000,"DET +1.5 pt margin vs PHI, goals: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)",0.50,0.000,stable,1,1,,,,,0,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
276,D,Dylan Larkin,DET,PHI,0,SKATER,F,Goals,goals,0.5,OVER,0.34,0.34,0.4,0.3,0.3,0.3,5,2/5,10,3/10,10,10,0.80,0.50,,0.50,0.3,0.0,0.80,2,3,3,7,,,,,UNKNOWN,N/A,Above Avg,9,2.915,,,25.451,25.5,0.776,,,0.000,0.000,,,0.08142,0.3000,0.3000,0.1818,,0.0814,demon,2026-03-28,2026-03-28,8:00 PM,2026-03-28T20:00:00.000-04:00,1.000,"DET +1.5 pt margin vs PHI, goals: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)",0.50,0.000,stable,1,1,,,,,0,0.00,0.00,3.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
277,D,Artemi Panarin,LA,UTA,0,SKATER,F,Goals,goals,0.5,OVER,0.34,0.34,0.4,0.3,0.3,0.3,5,2/5,10,3/10,10,10,0.40,0.30,,0.30,-0.1,-0.2,0.40,2,3,3,7,,,,,UNKNOWN,N/A,Above Avg,10,2.927,,,26.146,26.1,0.781,,,0.000,0.000,,,0.08142,-0.1000,0.1000,0.1818,,0.0814,demon,2026-03-28,2026-03-28,9:00 PM,2026-03-28T21:00:00.000-04:00,1.000,"LA +1.5 pt margin vs ARZ, goals: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)",0.50,0.000,stable,1,1,,,,,0,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
282,D,Michael Carcone,UTA,LA,0,SKATER,F,Goals,goals,0.5,OVER,0.34,0.34,0.4,0.3,0.3,0.3,5,2/5,10,3/10,10,10,0.40,0.30,,0.30,-0.1,-0.2,0.40,2,3,3,7,,,,,UNKNOWN,N/A,Above Avg,7,2.902,,,27.171,27.2,0.746,,,0.000,0.000,,,0.07979,-0.1000,0.1000,0.1818,,0.0798,demon,2026-03-28,2026-03-28,9:00 PM,2026-03-28T21:00:00.000-04:00,0.980,"UTA -1.5 pt margin vs ?, goals: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)",0.50,0.000,stable,1,1,,,,,0,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
287,D,Clayton Keller,UTA,LA,0,SKATER,F,Shots On Goal,shots_on_goal,5.5,OVER,0.28,0.28,0.4,0.2,0.2,0.2,5,2/5,10,2/10,10,10,3.80,2.60,,2.60,-1.7,-2.9,3.80,2,3,2,8,,,,,UNKNOWN,N/A,Above Avg,7,2.902,,,27.171,27.2,0.746,3.80,2.60,0.000,0.000,,,0.07546,-1.7000,1.7000,0.0851,,0.0755,demon,2026-03-28,2026-03-28,9:00 PM,2026-03-28T21:00:00.000-04:00,0.980,"UTA -1.5 pt margin vs ?, shots_on_goal: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)",5.50,0.000,stable,1,1,,,,,0,7.00,4.00,7.00,0.00,1.00,2.00,1.00,2.00,2.00,0.00
