SEASON,EVENT_ID,GAME_DATE,TEAM,ESPN_ATHLETE_ID,PLAYER,PLAYER_NORM,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG3M,FG3A,FTM,FTA
2025-26,401810480,2026-01-22,MIL,3102533,Thanasis Antetokounmpo,thanasis antetokounmpo,2,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
2025-26,401810480,2026-01-22,MIL,4397233,Pete Nance,pete nance,30,11,4,1,1,0,2,4.0,7.0,3.0,5.0,0.0,0.0
2025-26,401810480,2026-01-22,MIL,4277922,Jericho Sims,jericho sims,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,401810480,2026-01-22,MIL,4066387,Amir Coffey,amir coffey,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,401810480,2026-01-22,MIL,4277843,Gary Trent Jr.,gary trent,6,0,0,1,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
2025-26,401810480,2026-01-22,MIL,4432190,Andre Jackson Jr.,andre jackson,6,3,2,0,0,0,0,1.0,4.0,1.0,3.0,0.0,0.0
2025-26,401810480,2026-01-22,MIL,4432809,Cole Anthony,cole anthony,24,17,3,3,0,0,5,7.0,9.0,3.0,4.0,0.0,0.0
2025-26,401810481,2026-01-22,TOR,3913176,Brandon Ingram,brandon ingram,35,23,3,4,0,0,0,7.0,15.0,3.0,5.0,6.0,6.0
2025-26,401810481,2026-01-22,TOR,4278580,Sandro Mamukelashvili,sandro mamukelashvili,32,22,9,4,0,0,1,8.0,14.0,3.0,8.0,3.0,4.0
2025-26,401810481,2026-01-22,TOR,4433134,Scottie Barnes,scottie barnes,32,23,8,7,4,1,3,8.0,17.0,1.0,3.0,6.0,6.0
2025-26,401810481,2026-01-22,TOR,4395724,Immanuel Quickley,immanuel quickley,36,18,6,8,2,0,2,6.0,12.0,1.0,4.0,5.0,5.0
2025-26,401810481,2026-01-22,TOR,4432241,Jamal Shead,jamal shead,33,15,5,6,2,0,1,5.0,12.0,3.0,5.0,2.0,2.0
2025-26,401810481,2026-01-22,TOR,4431893,Jamison Battle,jamison battle,8,3,3,0,0,0,0,1.0,3.0,1.0,2.0,0.0,0.0
2025-26,401810481,2026-01-22,TOR,5107897,Jonathan Mogbo,jonathan mogbo,23,3,9,0,0,1,1,1.0,5.0,0.0,0.0,1.0,2.0
2025-26,401810481,2026-01-22,TOR,4067017,A.J. Lawson,a j lawson,3,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,401810481,2026-01-22,TOR,4397018,Ochai Agbaji,ochai agbaji,20,4,2,1,1,1,0,2.0,4.0,0.0,0.0,0.0,0.0
2025-26,401810481,2026-01-22,TOR,5106258,Gradey Dick,gradey dick,19,11,1,0,2,0,1,5.0,12.0,1.0,6.0,0.0,0.0
2025-26,401810481,2026-01-22,SAC,4431679,Precious Achiuwa,precious achiuwa,21,11,8,1,0,0,0,5.0,6.0,1.0,1.0,0.0,0.0
2025-26,401810481,2026-01-22,SAC,4898371,Maxime Raynaud,maxime raynaud,22,8,7,2,0,0,1,3.0,7.0,0.0,1.0,2.0,2.0
2025-26,401810481,2026-01-22,SAC,3468,Russell Westbrook,russell westbrook,35,23,3,3,3,0,4,9.0,22.0,2.0,8.0,3.0,3.0
2025-26,401810481,2026-01-22,SAC,3978,DeMar DeRozan,demar derozan,33,9,1,2,1,0,0,3.0,8.0,0.0,1.0,3.0,5.0
2025-26,401810481,2026-01-22,SAC,3064440,Zach LaVine,zach lavine,38,19,1,5,1,1,2,7.0,17.0,2.0,8.0,3.0,4.0
2025-26,401810481,2026-01-22,SAC,4433174,Dylan Cardwell,dylan cardwell,25,2,13,3,1,4,1,1.0,2.0,0.0,0.0,0.0,0.0
2025-26,401810481,2026-01-22,SAC,3032979,Dennis Schroder,dennis schroder,20,16,1,3,0,0,1,5.0,13.0,1.0,6.0,5.0,6.0
2025-26,401810481,2026-01-22,SAC,4066262,Malik Monk,malik monk,25,17,4,3,0,0,4,6.0,7.0,3.0,4.0,2.0,2.0
2025-26,401810481,2026-01-22,SAC,4702384,Nique Clifford,nique clifford,21,4,7,3,0,1,1,2.0,6.0,0.0,4.0,0.0,0.0
2025-26,401810482,2026-01-23,CHA,4066383,Miles Bridges,miles bridges,30,10,8,2,1,0,2,4.0,12.0,1.0,5.0,1.0,2.0
2025-26,401810482,2026-01-23,CHA,4433249,Moussa Diabate,moussa diabate,16,10,4,1,0,1,1,4.0,4.0,0.0,0.0,2.0,3.0
2025-26,401810482,2026-01-23,CHA,4433287,Brandon Miller,brandon miller,27,20,2,4,2,0,3,8.0,15.0,2.0,7.0,2.0,2.0
2025-26,401810482,2026-01-23,CHA,4432816,LaMelo Ball,lamelo ball,28,16,6,7,0,1,2,6.0,12.0,4.0,8.0,0.0,0.0
